,p_id,gof,As,Bs,Af,Bf,Eps
0,641,-1106.5462607900972,1.0,0.49290479025865386,0.9277134984122427,0.4929062149179,0.020466857872238592
1,642,-703.3162748389276,1.0,0.0,0.9789862665867135,0.9858664566504898,0.050344347877393614
2,643,-1039.2914483059337,1.0,0.1451247552220896,0.868409014203499,0.7641729382824308,0.023783124750323924
3,644,-706.73406587013,0.995935856173993,0.3000426506650602,0.9723213735186409,0.6810534714191148,0.0499631292075027
4,645,-1100.3515465021596,1.0,0.48755603075211784,0.9219820238399397,0.48755606790982475,0.020752238824731428
5,646,-716.5953119550512,0.9990310242404429,0.495721222242324,0.9798489293215842,0.4957335408511174,0.048871203306201066
6,647,-1010.3064962456705,0.992458150803182,0.0012485872114045005,0.9783276074118432,0.9888121103106041,0.025373011065947713
7,648,-715.621565519726,0.9994148302353872,0.4814605809522208,0.988901986525675,0.49094032083974254,0.048981089808771375
8,649,-1090.5780699469356,0.9825897237094585,0.001855680080095715,0.9825706681322428,0.9965865948604273,0.02121044656037718
9,650,-714.2416945921955,0.999994685088512,0.18978391095565272,0.9839793612061494,0.7923115347347017,0.04913289474079302
10,651,-1010.1217866927868,1.0,0.06600766917071872,0.951198009913357,0.9185486294321492,0.02538288089799397
11,652,-707.6850177175667,0.9965108563376615,0.26680190843005286,0.9739056017314981,0.7190226091576332,0.049857118904299884
12,653,-1110.5983392383976,0.9992068885997301,0.4933921679273727,0.9193009120931013,0.49339420592927286,0.020285667473391507
13,654,-717.0602481640796,0.9993395787226591,0.06821159900092055,0.9828663540735806,0.9154429537600972,0.048824607435458606
14,655,-1082.1203124880283,0.9983614584286338,0.5013637165034515,0.9380899362921244,0.5020799760182688,0.02161257980327338
15,656,-710.4272137503093,0.9959880679566864,0.49264540521912237,0.9688425055543046,0.4926482375517076,0.04955820221474772
16,657,-1055.529555334452,1.0,0.2256519693453673,0.9232387456666582,0.7495326138327091,0.022936126148628777
17,658,-714.349272064283,0.9996015404946716,0.3134357629685636,0.97639021141007,0.657866798828306,0.049121268453700406
18,659,-1098.5785088735574,1.0,0.37202638619396544,0.9331522393521863,0.6043926335369911,0.020834852779995153
19,660,-714.3026677986487,0.9997344424495829,0.2801675742387653,0.9802498250910108,0.7062294981570106,0.04912585256431393
20,661,-1104.9747848314971,0.9993344588985134,0.4409589668092865,0.900617325844692,0.49943273001131094,0.02051761850614612
21,662,-720.8845433688724,0.9980385414124344,0.4929565463684441,0.9685612660608087,0.49295748385214444,0.048406351654264906
22,663,-976.8956975512443,0.9961686970785004,0.15467887279397963,0.8498449451358945,0.7990278060198022,0.0273391601946254
23,664,-714.4266347001037,0.9989168280571734,0.31236248473365175,0.9692885744963806,0.6725024108187462,0.049112639242847846
24,665,-1086.4747291924928,0.995269665910117,0.4100435290397519,0.9896394169904388,0.5807452099898983,0.021405506145845746
25,666,-713.9344786015619,0.9986563429227202,0.4894107748134924,0.9761489962297467,0.49134135212795704,0.049169855658966886
26,667,-995.8616484156536,1.0,0.11406044846575189,0.9119339509521979,0.881517447194044,0.026203662262139764
27,668,-714.4324869647972,0.997335872658843,0.4934911025206524,0.9679887868750654,0.4935594903639589,0.04910721686624002
28,669,-1115.1951032443867,1.0,0.49491956890935845,0.9330206643563164,0.4949195913273333,0.02007574914279606
29,670,-715.0154099868585,0.9988303644818397,0.4685860801046098,0.9591938730105803,0.5018767984676691,0.049048183468211694
30,671,-1048.3512719948224,1.0,0.26399645199913657,0.8817652078619002,0.705032627407161,0.023306461083227783
31,672,-711.8391321591128,1.0,0.07573261725150887,0.9875974467349375,0.9140797037696279,0.04939710385327825
32,673,-1098.2411085975216,0.9982648443872071,0.4620708800403595,0.9667584156091097,0.4692368916577563,0.0208506227413885
33,674,-717.4069944693694,0.9994667948877447,0.29964323282815797,0.9782602424090749,0.6800561446384698,0.04878697744300968
34,675,-1108.3350018575825,0.9995905579477493,0.4876069229204416,0.9427299149220896,0.4876070177875671,0.02033602540480408
35,676,-711.9039745811331,1.0,0.10797014497795178,0.9816948467888783,0.8764014934846271,0.04938993741205244
36,677,-1100.6553608746904,1.0,0.4965046214905011,0.9207077013691007,0.4965046312221779,0.020738123562533774
37,678,-717.2093493875254,0.9983853651332244,0.36236750297441644,0.97840265236124,0.6236636335270791,0.04880846852596275
38,679,-1122.526011484973,0.9959120111495358,0.10933011452893991,0.9959119697296791,0.8730796807436105,0.019750498691034117
39,680,-726.9393686391112,1.0,0.19787871562374348,0.9894547612431444,0.7862286110131945,0.04775984109473447
40,681,-1079.9269393207487,0.9934443460641588,0.039618430211641485,0.9934249066451097,0.9488398622945964,0.021720480747786437
41,682,-710.4019963536218,0.9984187383388475,0.2735427377752396,0.9724700471702356,0.7010109052251918,0.04955584871912416
42,683,-1105.548732472816,0.9952619960678539,3.0229678474665174e-05,0.9952476411641735,0.9856382444551169,0.02051331408935509
43,684,-715.3747998168778,0.9987238316402871,0.47941988776842454,0.978007609735886,0.5086105633890875,0.049008767126682826
44,685,-1110.372269277425,0.996856395401585,0.19561472247378633,0.9968562915196864,0.7872067608793513,0.020293672999544224
45,686,-1692.4576426334506,0.9957415072464426,0.0752744669375753,0.974189286198592,0.9105809652947362,0.03659470004664543
46,687,-1026.5394947448415,1.0,0.0,0.9819026536273381,0.9866686315021014,0.024469334197667947
47,688,-713.5064456706115,0.9990639704528352,0.4925964077266185,0.9736115412027626,0.4926167029371973,0.049212961660011614
48,689,-1093.160302155993,0.9963870117884552,0.21068726855392733,0.9963866727750713,0.6996881029479589,0.021088414374959393
49,690,-712.2698620658144,1.0,0.24577999210633594,0.9863104040237745,0.7375829746174414,0.049349754982807796
50,691,-1031.8996594992354,1.0,0.27093836410143113,0.8745939874044197,0.6884880104397433,0.024178384786282293
