,Participant_ID,Rotation,Emphasis,A,B,single_sigma,single_neg2ll,Af,Bf,As,Bs,dual_sigma,dual_neg2ll,AIC_single,AIC_dual
0,0,Sudden,Speed,0.8396685352943969,0.007462640493928708,0.12423416354371086,-853.3040362485152,5.633333113295564e-07,0.010595131469507604,0.004836808176684488,3.680385647670643e-11,0.12612386901617328,-806.983508416955,-849.3040362485152,-798.983508416955
1,1,Sudden,Accuracy,0.9979419402117302,0.006884134540830743,0.13176152183706336,-778.0636283848091,0.9980551102252655,0.006679919881086564,0.9980579410498691,1.681726792655897e-10,0.12454628962793503,-773.3565915735586,-774.0636283848091,-765.3565915735586
2,2,Gradual,Speed,0.9999999923385076,0.004274012357548329,0.12650793144866102,-830.1977331881349,0.9997574573062853,0.004406968346799086,0.999999999712008,0.00011080250334910902,0.05017127910639124,1423.4305768116997,-826.1977331881349,1431.4305768116997
3,3,Gradual,Accuracy,0.9960604247979232,0.02625447955085252,0.08520434773267213,-1336.1176235769683,0.9960275270618422,0.026171180982458006,0.9999999893428693,9.703078488355608e-05,0.08519303390299361,-1336.1853944121328,-1332.1176235769683,-1328.1853944121328
4,4,Sudden,Speed,0.9350472821801633,0.05821039904833385,0.08772981566877143,-1298.8095314477098,0.9113126142707311,0.06355692280313271,0.9950781608683033,0.0011914105848886453,0.08635298222506843,-1318.78486855183,-1294.8095314477098,-1310.78486855183
5,5,Sudden,Accuracy,0.9911365819988533,0.057544350792584076,0.12103703874338977,-886.7508418506652,0.9911310170920852,0.05754830501018008,0.9927822359572949,8.209636382684361e-06,0.12104219794970031,-886.7512838488867,-882.7508418506652,-878.7512838488867
6,6,Gradual,Speed,0.9745807171883286,0.09084175883485619,0.044300705927427464,-2173.2266893872197,0.9745896519267339,0.09070144847573383,0.9748947847698434,0.00011101665364186928,0.04430093560482262,-2173.226678162685,-2169.2266893872197,-2165.226678162685
7,7,Gradual,Accuracy,0.9970629054291016,0.026633689215880073,0.06797420731376189,-1625.470603978064,0.9970463503122207,0.026583366576888486,0.9996083435963422,7.57314998283097e-05,0.06798070767879086,-1625.4412076876602,-1621.470603978064,-1617.4412076876602
8,8,Sudden,Speed,0.9203202688065301,0.36890215290971595,0.14993316058555578,-612.6511588566198,0.8942530101162136,0.485098678284118,0.9999998438599011,1.9707811028775313e-05,0.14957296717752067,-612.151189387281,-608.6511588566198,-604.151189387281
9,9,Sudden,Accuracy,0.9998482264047608,0.004072454298809704,0.1647716733030057,-491.8351015961261,0.9999866868151918,0.003771567075784836,0.9999999987317321,1.4084877523231813e-12,0.130524530306026,-402.5766757439372,-487.8351015961261,-394.5766757439372
10,10,Gradual,Speed,0.9499043796659654,0.09120142297215017,0.09880195014749218,-1146.4586647834867,0.9499258564867433,0.09102750300878207,0.9552293712806456,0.00012345925272715057,0.09879897915650339,-1146.4582329431648,-1142.4586647834867,-1138.4582329431648
11,11,Gradual,Accuracy,0.9925804975285208,0.03095444097843511,0.05325883979073538,-1937.3396593284358,0.9924680473298668,0.03102306903519671,0.9997091574877008,9.793118097182273e-05,0.053262300146886446,-1937.2926437557276,-1933.3396593284358,-1929.2926437557276
12,12,Sudden,Speed,0.6322120743269064,0.02604979995812507,0.12532492627090996,-842.1257891064644,0.6321719228861912,0.026050794533271877,0.792745654740588,9.038459632828661e-07,0.12532413895257527,-842.1257715767697,-838.1257891064644,-834.1257715767697
13,13,Sudden,Accuracy,1.8226362720275403e-08,0.6804398307235562,0.14820891637611006,-126.49163535073974,3.525313231792183e-16,0.6779475252841586,0.9923915273415915,1.2400725206312206e-10,0.15731995120886128,-178.1559774234186,-122.49163535073974,-170.1559774234186
14,14,Gradual,Speed,0.9502932591921703,0.03548706673147832,0.13370703346331164,-759.1079034149503,0.9502198920667458,0.035367754546757904,0.9555831436724576,0.00015396754195216706,0.13371497700483007,-759.1073942412514,-755.1079034149503,-751.1073942412514
15,15,Gradual,Accuracy,0.9940782654365716,0.04011354435034625,0.03754105500595022,-2385.206363428893,0.9940774253283728,0.04011276415341898,0.996726745777994,3.4505217198623405e-07,0.03753143093743204,-2385.2062756882756,-2381.206363428893,-2377.2062756882756
16,16,Sudden,Speed,0.9820820610859327,0.008052033224798605,0.10117676819263499,-1116.2462678013603,0.9821003469692124,0.008043697000772478,0.982835563980065,7.769828106091255e-08,0.10114850448078724,-1116.2463557012063,-1112.2462678013603,-1108.2463557012063
17,17,Sudden,Accuracy,0.992306799901763,0.0803497385581953,0.05590200681985318,-1875.1635181954553,0.952704459400552,0.07675940989501641,0.9968132330728519,0.03495942919979447,0.0496177204847838,-2028.061085482887,-1871.1635181954553,-2020.061085482887
18,18,Gradual,Speed,0.9975054584159578,0.008809347603062836,0.10775186205590216,-1035.7106606532393,0.9974881341483448,0.008723595771925633,0.9986530862053047,8.917026245571313e-05,0.10772802469594056,-1035.6877915007458,-1031.7106606532393,-1027.6877915007458
