,participant_id,rotation,emphasis,A,Af,As,B,Bf,Bs,condition,Bf-B,B-Bs,log(Bf/B),log(B/Bs),BA,BfAf,BsAs
0,0,Sudden,Speed,0.8396873057189576,0.8667838511470725,0.8667873161020849,0.007461135891182604,0.0035880402232379704,0.002623435037119216,Sudden Speed,-0.0038730956679446336,0.004837700854063388,-0.7321015122345698,1.0452231249339656,0.0062650210940701345,0.0031100553227688095,0.002273960214792739
1,1,Sudden,Accuracy,0.9979421897276227,0.781631184827557,0.9993225362149285,0.006882930534460546,0.08476857130269148,0.00428760656478498,Sudden Accuracy,0.07788564076823094,0.0025953239696755656,2.510880341639595,0.47331584408711164,0.006868766769302674,0.06625775882346199,0.004284701866612704
2,2,Gradual,Speed,0.9999999961872406,0.08648975790139915,0.9999999972999029,0.004274195691429988,0.004265493108044353,0.004265247206251172,Gradual Speed,-8.70258338563426e-06,8.948485178815468e-06,-0.002038150710774471,0.0020958014618674297,0.004274195675133508,0.00036892146624484273,0.00426524719473459
3,3,Gradual,Accuracy,0.9960582757473466,0.9462937042756561,0.9999999986748976,0.026257693201905557,0.08588629150932847,0.008614686212238994,Gradual Accuracy,0.05962859830742291,0.017643006989666563,1.1850652091767135,1.1144905745612288,0.026154192615792875,0.08127365693886127,0.008614686200823653
4,4,Sudden,Speed,0.9350410252978163,0.917622360638839,0.9955116450551638,0.05821132173060535,0.06674712997235491,0.0005817516062414476,Sudden Speed,0.008535808241749557,0.057629570124363906,0.13683143241483273,4.605791583024802,0.05442997395492628,0.06124865897109971,0.0005791404985429074
5,5,Sudden,Accuracy,0.9911301604516329,0.9562990680830885,0.9963824106554411,0.05756318337663909,0.04771940452111394,0.0238093614844275,Sudden Accuracy,-0.009843778855525155,0.03375382189221159,-0.18754506730203727,0.8828043428304397,0.05705260717619507,0.045634022073021176,0.023723228992020683
6,6,Gradual,Speed,0.9745850015124489,0.9739045477081046,0.9761768586759145,0.090832673585228,0.04485803996186925,0.04437477206060797,Gradual Speed,-0.04597463362335874,0.046457901524620024,-0.7055162263240065,0.7163479510068862,0.0885241613234392,0.043687449120136355,0.043317625594584026
7,7,Gradual,Accuracy,0.9970614585253961,0.8976881098087278,0.9976238768434522,0.026634418501160058,0.04936372630288087,0.02239937515336303,Gradual Accuracy,0.022729307801720812,0.004235043347797028,0.6170115611090674,0.17317124446571053,0.02655615215774244,0.04431323015794851,0.02234615147936892
8,8,Sudden,Speed,0.996303678629409,0.48611026674622704,0.9980578797866412,0.02297911515448988,0.4452758634080374,0.014006334997093653,Sudden Speed,0.4222967482535475,0.008972780157396228,2.9641082412147415,0.49507603959221713,0.02289417696006707,0.2164531687369376,0.013979133010780723
9,9,Sudden,Accuracy,0.9998479818644761,0.14830478359473592,0.9999596602347238,0.0040729765719933805,0.045777156399753036,0.003922814059357421,Sudden Accuracy,0.04170417982775965,0.00015016251263595942,2.419411121506806,0.03756480808220475,0.0040723574056888735,0.0067889712734477544,0.003922655813959045
10,10,Gradual,Speed,0.9499268329331344,0.9498559052906669,0.9501170618139646,0.09116754241213088,0.06130477099953574,0.02983241018189678,Gradual Speed,-0.029862771412595135,0.061335132230234096,-0.3968412688823968,1.1171035466205785,0.08660249482985269,0.05823069875640104,0.02834428190885277
11,11,Gradual,Accuracy,0.9925890692215682,0.9925743534114633,0.9926006570207255,0.03092434176422943,0.01589563595706589,0.015034554851640496,Gradual Accuracy,-0.01502870580716354,0.015889786912588934,-0.6654990297004691,0.72119242461534,0.03069516360804616,0.015777600582148683,0.014923309023752494
12,12,Sudden,Speed,0.9999999951182823,0.24805297049812286,0.9999999975463194,0.00020266478448105615,0.014533180809325762,0.0001504434756005398,Sudden Speed,0.014330516024844706,5.222130888051635e-05,4.272636339687902,0.2979658699178588,0.00020266478349170388,0.0036049986705395686,0.00015044347523139956
13,13,Sudden,Accuracy,0.9991568578746001,0.872353832740126,0.9995911226814359,0.0022443750371557896,0.007004535015570653,0.0019172043523353875,Sudden Accuracy,0.004760159978414864,0.0003271706848204021,1.1381306960989839,0.15755904410053362,0.0022424827100167677,0.006110432967395478,0.0019164204509606651
14,14,Gradual,Speed,0.9502656694455351,0.9409477911351493,0.9602281412720709,0.03550576964046241,0.029955652986516312,0.008163395443479375,Gradual Speed,-0.005550116653946099,0.027342374196983037,-0.16997715414516865,1.4700350176625385,0.03373991395657297,0.02818670550967356,0.007838722033161093
15,15,Gradual,Accuracy,0.9940787155865584,0.4691862850492056,0.9952326993231921,0.04010906168648356,0.32745737000101827,0.030925735953833498,Gradual Accuracy,0.28734830831453473,0.009183325732650061,2.0997555926643447,0.26001356998507413,0.039871564524681616,0.15363850694276096,0.030778303671890005
16,16,Sudden,Speed,0.9820995322474393,0.7465334748346124,0.9844932184016782,0.008043191516132208,0.020045482486191417,0.005759021059891808,Sudden Speed,0.012002290970059209,0.0022841704562404,0.9131778567885217,0.3340584537840583,0.007899214625770014,0.014964623695152843,0.005669717178095931
17,17,Sudden,Accuracy,0.9923082411485544,0.9527237531582162,0.9968132121455209,0.08034025893585375,0.07677236094814618,0.03495554994482657,Sudden Accuracy,-0.003567897987707569,0.04538470899102719,-0.04542616003401931,0.8321935991487825,0.07972230103805647,0.07314285186133511,0.03484415402281576
18,18,Gradual,Speed,0.997503431071576,0.07335381911830952,0.9975474835655068,0.008811808847599715,0.008706950178679895,0.008706896268104301,Gradual Speed,-0.00010485866891981992,0.00010491257949541387,-0.011971158576047417,0.01197735026675275,0.008789809559427587,0.0006386880484790178,0.008685542461913349
