,Participant_no,Rotation,Emphasis,Incorrect_Criterion,Block,Drift,Drift_Noise,Boundary,Ter,neg_LL
0,0,Sudden,Speed,10,0,5.447755188083677,4.794783629778067,3.60120289001238,0.31670860850181115,37.19494739504438
1,0,Sudden,Speed,15,0,6.051104028763141,4.349995903130662,3.566909656936118,0.29317210448081155,29.154614485469747
2,0,Sudden,Speed,20,0,6.514685952684094,3.7368164923851785,3.620740275802737,0.2579682706714703,18.244875106022356
3,0,Sudden,Speed,30,0,7.865071169269789,4.511397842186153,4.371260426747023,0.2581980599222624,18.244875106029014
4,0,Sudden,Speed,45,0,4.882780895171673,2.8007581724164243,2.713758602767576,0.25032081742407086,18.24487510602444
5,0,Sudden,Speed,10,1,-5.712969106821286,4.211701541704266,4.848769984118869,0.15123043439032413,46.78538214396807
6,0,Sudden,Speed,15,1,-6.713231072009076,4.949111285787545,5.6977216082003554,0.15040142069654067,46.785382143966544
7,0,Sudden,Speed,20,1,-6.080821786273739,4.4669138491089395,5.221785722459627,0.14912004441997423,46.8019534943879
8,0,Sudden,Speed,30,1,-6.7395964890760816,4.968547971280984,5.72009846411078,0.15909630438354416,46.78538214396679
9,0,Sudden,Speed,45,1,-3.5797795015452674,2.6390759554275642,3.0382667332162594,0.15789952118682038,46.785382143966594
10,0,Sudden,Speed,10,2,-5.166210451224983,2.769456579683654,2.7995935231384466,0.16183594311409644,13.194932306490903
11,0,Sudden,Speed,15,2,-7.285324358666755,3.9054333310912166,3.9479483432098146,0.1687223379449635,13.194932308692344
12,0,Sudden,Speed,20,2,-7.639797705703375,4.095477542061293,4.140043338969191,0.16685712592929514,13.194932306490301
13,0,Sudden,Speed,30,2,-7.948207010356133,4.260805720096664,4.307171074894561,0.16257454751964906,13.194932306488061
14,0,Sudden,Speed,45,2,-8.206919060370728,4.399493784378864,4.447368223794923,0.16316764000372808,13.194932306488214
15,0,Sudden,Speed,10,3,-10.290359839592867,4.359512257151359,4.260851931904013,0.20578394519115667,-9.178936473652524
16,0,Sudden,Speed,15,3,-11.364424005261347,4.814540587908197,4.705582354671631,0.20638950864507805,-9.178936473651767
17,0,Sudden,Speed,20,3,-10.695632205230144,4.531206225150437,4.428660192910872,0.20726128451095982,-9.178936473652739
18,0,Sudden,Speed,30,3,-10.365277920036286,4.391251745326005,4.291872965818073,0.20519038618417917,-9.178936473652705
19,0,Sudden,Speed,45,3,-10.54103124537246,4.465709592990829,4.3646458009437765,0.20443136498440395,-9.178936473652728
20,0,Sudden,Speed,10,4,-11.959656414462764,4.859529230850586,4.742751376955398,0.2099964213896171,-12.486412392888894
21,0,Sudden,Speed,15,4,-10.996752678467493,4.468275143115629,4.360899677810212,0.2003986538888609,-12.486412392889214
22,0,Sudden,Speed,20,4,-9.94560296017334,4.041164908823921,3.9440531359925712,0.20748706405133271,-12.486412392889225
23,0,Sudden,Speed,30,4,-10.05824819751989,4.086935855508142,3.988724101234474,0.20757431103906254,-12.486412392889191
24,0,Sudden,Speed,45,4,-10.376247618459173,4.2161474583832685,4.114830718424428,0.20612817475299744,-12.486412392889225
25,0,Sudden,Speed,10,5,-8.321992262200498,4.54898271850583,5.813313708870875,0.0033705550751085833,23.12975782471232
26,0,Sudden,Speed,15,5,-5.142405087670698,2.810951202357648,3.5922186270008734,0.008963665169518242,23.129757824711543
27,0,Sudden,Speed,20,5,-7.989477024477072,4.367222945191246,5.581035916160555,0.003607176583066196,23.12975782471173
28,0,Sudden,Speed,30,5,-8.55158723691593,4.674483429940312,5.9736964137079855,0.003451053495344747,23.12975782471628
29,0,Sudden,Speed,45,5,-7.792013594902605,4.259285187508536,5.443098368324158,0.007376804830187711,23.129757824711536
30,0,Sudden,Speed,10,6,-10.41506917272425,3.8743287829212565,4.349918319699725,0.10020320689304374,-14.742127736481864
31,0,Sudden,Speed,15,6,-12.879566089043982,4.79110407214244,5.379231102460815,0.10151820285295621,-14.742127736483212
32,0,Sudden,Speed,20,6,-8.887722764582133,3.3061678690664213,3.7120129913098183,0.10027016675769318,-14.742127736483308
33,0,Sudden,Speed,30,6,-8.207855252466054,3.0532608644766794,3.4280613415150847,0.10143913133386828,-14.742127736476473
34,0,Sudden,Speed,45,6,-10.33484773906067,3.844487605754155,4.316413691902872,0.1011866773117483,-14.742127736483297
35,0,Sudden,Speed,10,7,-12.45164481674422,4.595106814765732,3.3697251562188906,0.2985457765112868,-32.566295344375945
36,0,Sudden,Speed,15,7,-12.305398448962615,4.53310468661006,3.324529156870325,0.29411406347128116,-32.566112820915144
37,0,Sudden,Speed,20,7,-10.809913053123518,3.9892297871399527,2.925418709325867,0.29692729748306596,-32.56629534275914
38,0,Sudden,Speed,30,7,-13.150388089902396,4.852963369794394,3.5588405602976825,0.29968878669104193,-32.566295336500836
39,0,Sudden,Speed,45,7,-13.529860572462722,4.993020976425965,3.661520231921014,0.2970178956745824,-32.566295344673094
40,0,Sudden,Speed,10,8,-14.82429104487692,4.486923034943326,5.9922563236423745,0.13683266390883514,-25.831659513130518
41,0,Sudden,Speed,15,8,-11.699256836232005,3.5410579805967286,4.729058968616406,0.13543209068950168,-25.831659513132376
42,0,Sudden,Speed,20,8,-14.799758251348912,4.479499002126692,5.982340079549835,0.13651439859628645,-25.831659513131495
43,0,Sudden,Speed,30,8,-15.629402330572015,4.730609686266914,6.317697354991305,0.13529032139077934,-25.831659513132294
44,0,Sudden,Speed,45,8,-15.926377255169813,4.820495807673479,6.4377400027436815,0.13488558027582842,-25.83165951313169
