,Curvature_n,Curvature_n1
0,116.07283015964362,113.95068323710777
1,113.95068323710777,109.62334845931801
2,109.62334845931801,103.67808935415832
3,103.67808935415832,97.64317265501286
4,97.64317265501286,93.1335662312512
5,93.1335662312512,90.74588929997124
6,90.74588929997124,89.92881999560412
7,89.92881999560412,89.80283189871332
8,89.80283189871332,89.88402430650464
9,89.88402430650464,90.1222419264868
10,90.1222419264868,90.56299651987386
11,90.56299651987386,91.04032993065323
12,91.04032993065323,91.10566981494924
13,91.10566981494924,90.35692283325432
14,90.35692283325432,89.10922315994918
15,89.10922315994918,88.66212831867455
16,88.66212831867455,90.45636938216748
17,90.45636938216748,94.64530267802736
18,94.64530267802736,99.68103071602562
19,99.68103071602562,103.45389653284433
20,103.45389653284433,104.67319825841359
21,104.67319825841359,103.39843272524517
22,103.39843272524517,100.81102458344829
23,100.81102458344829,98.38345798707877
24,98.38345798707877,96.82124132052306
25,96.82124132052306,95.75808413701057
26,95.75808413701057,94.52544953273204
27,94.52544953273204,93.03028744989766
28,93.03028744989766,91.78268303185175
29,91.78268303185175,91.23551612533433
30,91.23551612533433,91.25051233879003
31,91.25051233879003,91.10869552193923
32,91.10869552193923,90.02856698264105
33,90.02856698264105,87.83273378336614
34,87.83273378336614,85.29360222242562
35,85.29360222242562,83.73181792929506
36,83.73181792929506,84.0232891818309
37,84.0232891818309,85.94522073958183
38,85.94522073958183,88.56086395617987
39,88.56086395617987,91.10384705306461
40,91.10384705306461,93.35514942684152
41,93.35514942684152,95.3235591919154
42,95.3235591919154,96.77559647863175
43,96.77559647863175,97.13830467027836
44,97.13830467027836,95.87671626882701
45,95.87671626882701,93.05839105214736
46,93.05839105214736,89.59633705184115
47,89.59633705184115,86.86998956175871
48,86.86998956175871,85.90136600612145
49,85.90136600612145,86.73321401533278
50,86.73321401533278,88.53977549185812
51,88.53977549185812,90.14628260329204
52,90.14628260329204,90.26616148064787
53,90.26616148064787,87.68172187995826
54,87.68172187995826,82.02434371706268
55,82.02434371706268,74.60991586547664
56,74.60991586547664,67.85407682569547
57,67.85407682569547,63.371715516403235
58,63.371715516403235,60.97092758196669
59,60.97092758196669,59.68024122741551
60,59.68024122741551,59.05853634140102
61,59.05853634140102,59.066605331841245
62,59.066605331841245,59.338042992619194
63,59.338042992619194,66.62143999569678
64,66.62143999569678,62.48106069785222
65,62.48106069785222,56.266750510295346
66,56.266750510295346,50.8874617249203
67,50.8874617249203,48.7106568130117
68,48.7106568130117,50.6976691003927
69,50.6976691003927,56.00750442409817
70,56.00750442409817,62.09217231314041
71,62.09217231314041,65.66478546700888
72,65.66478546700888,64.75816315847284
73,64.75816315847284,60.676690203391686
74,60.676690203391686,57.54598040700563
75,57.54598040700563,58.84576203658814
76,58.84576203658814,64.14236540967094
77,64.14236540967094,69.86626179206013
78,69.86626179206013,73.09368501108662
79,73.09368501108662,73.74737005426415
80,73.74737005426415,73.43681279628967
81,73.43681279628967,73.44876851231211
82,73.44876851231211,74.1997464026134
83,74.1997464026134,75.70112735118077
84,75.70112735118077,77.74599396940681
85,77.74599396940681,79.69444706081885
86,79.69444706081885,80.46916789041136
87,80.46916789041136,78.9351201606214
88,78.9351201606214,74.59574873418308
89,74.59574873418308,68.3560338520978
90,68.3560338520978,62.549338171170604
91,62.549338171170604,59.53542097127148
92,59.53542097127148,59.91323606252347
93,59.91323606252347,62.22101771625321
94,62.22101771625321,64.26725217508792
95,64.26725217508792,64.72810841661995
96,64.72810841661995,63.94199786914818
97,63.94199786914818,63.396053698997584
98,63.396053698997584,64.03905631772525
99,64.03905631772525,65.01375913314132
100,65.01375913314132,64.50200570682009
101,64.50200570682009,61.92670532799097
102,61.92670532799097,58.90762780144513
103,58.90762780144513,57.87228009837866
