"","f_a","f_v","f_ter","f_wald_gsq"
"1",0.0515540509799539,0.20069354851498,0.188306201673181,17.7441307491174
"2",0.00996448391496567,0.0100000387019078,0.000149995687567991,911.837399861867
"3",0.00999999362320918,0.0100000188121366,1.10030533914323e-05,485.808681422801
"4",0.00999999470775697,0.0100000829828148,0.000149995654738054,545.824608101978
"5",0.0287098829840915,0.0100000000292546,0.203184117798789,25.6832338396613
"6",0.00999998259866348,0.00999999975184092,0.00014999992704335,736.878825935938
"7",0.00996355440494866,0.00999999521845559,0.000149998368631193,959.559915264808
"8",0.0762175850816445,0.206832540638136,0.000149995246418668,39.3623631167981
"9",0.00999999993151605,0.0100000223292029,-1.2953686281376e-06,794.565561462687
"10",0.0838249956791911,0.205369894137703,0.0753915628557,10.9147895904403
"11",0.00999999333727544,0.00999998466544888,0.000149998764527754,889.032160976528
"12",0.00999211872135144,0.00999999272332282,0.000149999912898282,428.653146568684
