p_id,Rotation,Emphasis,block,target_x,target_y,avg errors,trial,init errors,init signed errors,init errors degrees,init signed errors degrees
641,Gradual,Accuracy,0.0,0.0,0.0,,31.5,0.14996264777518484,0.05069073362125473,8.592226802125017,2.9043650969198005
641,Gradual,Accuracy,1.0,0.0,0.0,0.13200848357712056,95.5,0.23732739950561355,-0.04789659096932118,13.597858354486837,-2.744272515606516
641,Gradual,Accuracy,2.0,0.0,0.0,0.13837081392904052,159.5,0.2001595257198303,0.009521661073264394,11.46829605308653,0.5455509934520553
641,Gradual,Accuracy,3.0,0.0,0.0,0.2188451542987216,223.5,0.22829344140996055,0.12400524415183573,13.080250683307877,7.104977127389521
641,Gradual,Accuracy,4.0,0.0,0.0,0.17658366004469533,287.5,0.17871529275621115,0.04303057471684117,10.239632009375834,2.4654703212973463
641,Gradual,Accuracy,5.0,0.0,0.0,0.16870634412617577,351.5,0.19276350801290199,0.015319146992554482,11.04453545327551,0.8777224684138996
641,Gradual,Accuracy,6.0,0.0,0.0,0.23978646550077098,415.5,0.17038502272351022,0.11651469550172118,9.762342694297763,6.675800303500542
641,Gradual,Accuracy,7.0,0.0,0.0,0.18031342387792512,479.5,0.17554043000864455,0.07811680437644099,10.05772577340696,4.475763199819147
641,Gradual,Accuracy,8.0,0.0,0.0,0.3267800054157081,543.5,0.5244817799856586,-0.5202943439687177,30.050592424687245,-29.810670013935457
641,Gradual,Accuracy,9.0,0.0,0.0,0.22817817438190224,607.5,0.2457145439004005,0.11003206357056092,14.078406330474934,6.3043728537083155
641,Gradual,Accuracy,10.0,0.0,0.0,0.20358316788118908,671.5,0.16682239194310233,-0.018430036157883384,9.558218986616993,-1.0559632881202212
642,Sudden,Speed,0.0,0.0,0.0,,31.5,0.17806914367514673,0.012963004258748313,10.202610394094584,0.7427254338363906
642,Sudden,Speed,1.0,0.0,0.0,0.7104133602890285,95.5,0.987471321017631,0.7660638047105068,56.57793908451832,43.89222284764615
642,Sudden,Speed,2.0,0.0,0.0,0.6848295809047643,159.5,1.1446278857101766,1.0992019102151616,65.58234696417588,62.979630288046806
642,Sudden,Speed,3.0,0.0,0.0,0.7042885407571349,223.5,1.431294750626479,0.9279468142700403,82.00714845012689,53.16743607028339
642,Sudden,Speed,4.0,0.0,0.0,0.6467707212922433,287.5,1.3391257322003915,1.1746295856141113,76.72625269244855,67.30131774688937
642,Sudden,Speed,5.0,0.0,0.0,0.6302290767061564,351.5,1.2063248298837908,1.1982705335192778,69.11732147417823,68.65584428554406
642,Sudden,Speed,6.0,0.0,0.0,0.6642349958770669,415.5,1.5880086101243724,1.2913667416038754,90.98619119056235,73.9898640974632
642,Sudden,Speed,7.0,0.0,0.0,0.5245881613859087,479.5,1.0592287783768972,0.9754679208028486,60.689338539794235,55.89019491240486
642,Sudden,Speed,8.0,0.0,0.0,0.9852238015324724,543.5,1.0953571617984619,-0.9771544083191113,62.75934243048031,-55.986823529288216
642,Sudden,Speed,9.0,0.0,0.0,0.5960912551195626,607.5,1.207834340545074,1.131491270381964,69.20381006419974,64.82967434878242
642,Sudden,Speed,10.0,0.0,0.0,0.47075328831608304,671.5,0.8702291603500522,0.848702872557654,49.86045809727135,48.627092658182946
643,Gradual,Speed,0.0,0.0,0.0,,31.5,1.030613889072817,-0.15396409822026813,59.049826151436406,-8.821493024559032
643,Gradual,Speed,1.0,0.0,0.0,0.6607650823221934,95.5,1.2363771495685396,-0.17172754240352794,70.83919255669225,-9.839263405876034
643,Gradual,Speed,2.0,0.0,0.0,0.6946856058556754,159.5,1.3514958677223003,0.2517751301255823,77.4350092498588,14.425652342552976
643,Gradual,Speed,3.0,0.0,0.0,0.7158339459664821,223.5,1.38043816940181,0.3528478810235275,79.09328098548909,20.216694392782337
643,Gradual,Speed,4.0,0.0,0.0,0.6772608422239728,287.5,1.2601617028370187,0.383190455856289,72.20194707658018,21.95519587025944
643,Gradual,Speed,5.0,0.0,0.0,0.44682354726207807,351.5,0.5430897649753749,0.37828496538085304,31.11675142984078,21.674131969575335
643,Gradual,Speed,6.0,0.0,0.0,0.4825056823711769,415.5,0.4402192583715754,0.29837260863025156,25.222705565070402,17.0954911968221
643,Gradual,Speed,7.0,0.0,0.0,0.3704623246709311,479.5,0.4032122097412419,0.20345500697553995,23.1023578663169,11.657113220503163
643,Gradual,Speed,8.0,0.0,0.0,1.0312798515833128,543.5,1.6074107835301064,-0.9351026738464694,92.09785384009187,-53.577436622801045
643,Gradual,Speed,9.0,0.0,0.0,0.5385165682954868,607.5,0.40169288706830614,0.2805750814722367,23.015307089439148,16.075768004898382
643,Gradual,Speed,10.0,0.0,0.0,0.2685803166307914,671.5,0.30329372756313805,0.23307671420571596,17.377450542158417,13.354312026764402
644,Sudden,Accuracy,0.0,0.0,0.0,,31.5,0.5977057119386964,-0.14200590271836053,34.246014684949444,-8.136338891707402
644,Sudden,Accuracy,1.0,0.0,0.0,0.5544214672080869,95.5,1.0775811309438597,0.6980714849528151,61.74085088601728,39.996549886226454
644,Sudden,Accuracy,2.0,0.0,0.0,0.48189329446007517,159.5,0.8635811877181475,0.27363650018387237,49.47955732314473,15.67821658126666
644,Sudden,Accuracy,3.0,0.0,0.0,0.3260310946753233,223.5,0.5279424325266076,0.42918813765588115,30.24887320964485,24.59066890476179
644,Sudden,Accuracy,4.0,0.0,0.0,0.3441130288020963,287.5,0.8041897335699368,0.4928463642185479,46.07667766130752,28.238016618090185
