,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(2.Gradual).13,3.4928877889508634,0.3474700885010531,2.880999887526958,3.2447300634139156,3.4717234913581922,3.7173319176660637,4.2416482275142755,0.006605051723129261
a_subj(2.Sudden).0,2.3899255291492425,0.1490291109279389,2.1105152755640377,2.288628831068375,2.383204786050173,2.4853201606485498,2.6980177686117246,0.0019643636656364845
a_subj(2.Sudden).2,3.2554670492932285,0.49243023400112296,2.4788163356393804,2.8831201138055325,3.1861376923648552,3.576078451114307,4.357030215364022,0.016471452778722088
a_subj(2.Sudden).4,2.3447147116672302,0.1802634671537846,2.0200956902332536,2.2179738245044422,2.3349396546082075,2.460294612639138,2.7193687733493226,0.002865292843414374
a_subj(2.Sudden).6,2.3697226265169316,0.13958575074758095,2.1050189608971164,2.2723449550649364,2.368203802909937,2.4627972054171687,2.6507175033026447,0.0016233666707934948
a_subj(2.Sudden).8,2.1261011165247288,0.1201454486528626,1.9028521230861628,2.0401923318022286,2.1250120362730223,2.2056468754792737,2.372678379089784,0.0012773089732157738
a_subj(2.Sudden).10,2.4184770550901633,0.13530814841166766,2.1628797516885028,2.324119508164916,2.4141310232559445,2.5088149000274518,2.695259634819023,0.0014064847336979396
a_subj(2.Sudden).12,2.7247389721378474,0.1994350902768173,2.3706855445413977,2.5865784429205094,2.712625007531807,2.848190553099063,3.1529254741338177,0.0027735586160659107
a_subj(3.Gradual).1,3.6290483380677245,0.32751608591199954,3.0622625843821174,3.4006003338388537,3.6006724073868286,3.8251866301201667,4.354032258535682,0.005456587880727024
a_subj(3.Gradual).3,2.8076489675607488,0.28342394260309567,2.313125228352746,2.608664552469311,2.7870415360484224,2.987368332642885,3.418090839828208,0.010498681698478955
a_subj(3.Gradual).5,2.6516768279608627,0.18886915245628677,2.3007171965356683,2.519134496485429,2.6455176280328563,2.7781142745175047,3.0390018710461932,0.002461006763352003
a_subj(3.Gradual).7,1.2401992014269303,0.08239272252480456,1.0908134114467483,1.1823364121720257,1.2358732018777878,1.2940197705707142,1.409907056708974,0.00114572496137622
a_subj(3.Gradual).9,1.7175440913190183,0.11936881280142109,1.4967290823490345,1.6343303604642687,1.7132528530092577,1.7961883429689138,1.9666691805417864,0.0017657767153131695
a_subj(3.Gradual).11,3.7463116052028953,0.29434581641946234,3.215333009570882,3.540332540920458,3.7304817584260044,3.9308088171309934,4.368873696761872,0.005351660829422386
a_subj(3.Gradual).13,3.010226719262116,0.17703988951364397,2.667869346950165,2.8892044876688034,3.007699571535052,3.126344858976306,3.3692333247693034,0.0020751397290158205
a_subj(3.Sudden).0,2.459010725939431,0.191483729105189,2.115294996180129,2.3260430474442773,2.447658872045809,2.5801179852946916,2.8671111210880147,0.0030159690777068577
a_subj(3.Sudden).2,4.421497380103592,0.47573012481959814,3.557277750975498,4.093648215149423,4.394281828379528,4.734140858095312,5.436447452041368,0.016816561750153163
a_subj(3.Sudden).4,3.829842528015603,0.4150089341920982,3.0015830713686014,3.557687732958904,3.8375217941034436,4.111772429218444,4.620838647832118,0.013199984714999929
a_subj(3.Sudden).6,2.5123941967874095,0.14659680437029296,2.2378603286924235,2.4107864112924973,2.5096948784413065,2.606895332160615,2.813416111658049,0.001752467663749849
a_subj(3.Sudden).8,1.460848908132362,0.08557848724690578,1.3007141638251714,1.4011842173099778,1.458771896471393,1.5169832704372244,1.6347969476178519,0.0009812630387972352
