,participant_id,condition,Trial,ITs,block,MTs
82,12,Sudden,5,0.9907171404920518,0,0.7605017386376858
83,13,Gradual,5,1.783230590027415,0,0.2999635672022123
84,0,Sudden,6,0.0,0,0.0
85,1,Gradual,6,0.0,0,0.0
86,2,Sudden,6,0.0,0,0.0
87,3,Gradual,6,0.6170684495009482,0,0.14985114056617022
88,4,Sudden,6,0.7506045235786587,0,0.15000970452092588
89,5,Gradual,6,1.3109143705805764,0,0.28018068871460855
90,6,Sudden,6,1.1666423175483942,0,0.4666198608465493
91,7,Gradual,6,1.0499698459170759,0,1.1166208568029106
92,8,Sudden,6,0.8205733380746096,0,0.20016511320136487
93,9,Gradual,6,0.6104969088919461,0,1.1307164763566107
94,10,Sudden,6,1.2166396314278245,0,0.2999899182468653
95,11,Gradual,6,0.8333281013183296,0,1.7332359780557454
96,12,Sudden,6,4.212915952317417,0,0.30018322402611375
97,13,Gradual,6,0.6500655458321489,0,0.2332912459569343
98,0,Sudden,7,0.0,0,0.0
99,1,Gradual,7,0.0,0,0.0
100,2,Sudden,7,0.0,0,0.0
101,3,Gradual,7,0.766718253493309,0,0.14997248584404588
102,4,Sudden,7,0.5904123198706657,0,2.451436624629423
103,5,Gradual,7,1.4210300403647125,0,0.29016384528949857
104,6,Sudden,7,1.2332812547683716,0,0.39996613282710314
105,7,Gradual,7,1.0999822518788278,0,0.7166348015889525
106,8,Sudden,7,0.8906842384021729,0,0.1800994905643165
107,9,Gradual,7,0.9006861099041998,0,0.22012901166453958
108,10,Sudden,7,1.2999627524986863,0,0.2500064894556999
109,11,Gradual,7,1.6166063682176173,0,2.183168636634946
110,12,Sudden,7,1.0207293955609202,0,0.490344051271677
111,13,Gradual,7,1.733323090697013,0,0.29996145428140153
112,0,Sudden,8,0.29850323230493814,0,1.1706789651652798
113,1,Gradual,8,0.0,0,0.0
114,2,Sudden,8,0.0,0,0.0
115,3,Gradual,8,0.6834856639616191,0,0.1332038980908692
116,4,Sudden,8,0.5303595990408212,0,0.24012666707858443
117,5,Gradual,8,1.3709352588048205,0,0.2101546087069437
118,6,Sudden,8,1.133283307775855,0,0.3666370054706931
119,7,Gradual,8,1.0499737695790827,0,0.6666314518079162
120,8,Sudden,8,4.092836444498971,0,0.17010275041684508
121,9,Gradual,8,0.7705727342981845,0,2.251513486728072
122,10,Sudden,8,1.3333096886053681,0,0.2333962582051754
123,11,Gradual,8,1.5333010558970273,0,1.44990005902946
124,12,Sudden,8,1.4810862452723086,0,0.8905305955559015
125,13,Gradual,8,1.6665765153647953,0,0.250003848535016
126,0,Sudden,9,0.0,0,0.0
127,1,Gradual,9,1.1806886778213084,0,0.29986163415014744
128,2,Sudden,9,0.0,0,0.0
129,3,Gradual,9,1.0000265631824732,0,0.1499742972664535
130,4,Sudden,9,0.5903748907148838,0,0.20015007816255093
131,5,Gradual,9,1.4210061939666048,0,0.3302157035795972
132,6,Sudden,9,1.2333138543181121,0,0.39990848023444414
133,7,Gradual,9,1.1499602468684316,0,0.6666344697587192
134,8,Sudden,9,4.332994252676144,0,0.18007232365198433
135,9,Gradual,9,0.8706146918702871,0,0.24014603602699935
136,10,Sudden,9,1.3833015691488981,0,0.20020416798070073
137,11,Gradual,9,1.2333962582051754,0,1.183253756724298
138,12,Sudden,9,1.4410531022585928,0,0.46056724013760686
139,13,Gradual,9,3.633236128898716,0,0.4832365363909048
140,0,Sudden,10,0.0,0,0.0
141,1,Gradual,10,0.0,0,0.0
142,2,Sudden,10,0.0,0,0.0
143,3,Gradual,10,0.5000526737421751,0,0.23331585573032498
144,4,Sudden,10,0.5304051779676229,0,0.19013329246081412
145,5,Gradual,10,1.4010127140209079,0,0.24010921001899987
146,6,Sudden,10,1.0166561123915017,0,0.3667571395635605
147,7,Gradual,10,1.2499606092460454,0,0.8832855713553727
148,8,Sudden,10,0.7306041873525828,0,0.1800499865785241
149,9,Gradual,10,0.8005771413445473,0,0.23016801103949547
150,10,Sudden,10,1.1667192880995572,0,0.2166251428425312
151,11,Gradual,10,1.3667815891094506,0,1.699953938368708
152,12,Sudden,10,1.3909854865632951,0,0.5003616190515459
153,13,Gradual,10,1.9665600043954328,0,0.41662367878234363
154,0,Sudden,11,0.0,0,0.0
155,1,Gradual,11,0.880884695565328,0,0.31646522553637624
156,2,Sudden,11,0.0,0,0.0
157,3,Gradual,11,0.6500942842103541,0,0.18337654368951917
158,4,Sudden,11,0.5903848516754806,0,0.21011102222837508
159,5,Gradual,11,1.2009109898936003,0,0.26014585490338504
160,6,Sudden,11,1.0833176877349615,0,0.39998907316476107
161,7,Gradual,11,1.2166073340922594,0,0.7166634774766862
162,8,Sudden,11,1.4810738691594452,0,0.16009574756026268
163,9,Gradual,11,0.5504440246149898,0,0.29017108981497586
164,10,Sudden,11,1.1499656802043319,0,0.08335360744968057
165,11,Gradual,11,1.766565709374845,0,1.2666212492622435
166,12,Sudden,11,0.9907207624055445,0,0.32021715259179473
167,13,Gradual,11,0.8333255356483278,0,0.2833327648568229
168,0,Sudden,12,0.0,0,0.0
169,1,Gradual,12,0.0,0,0.0
170,2,Sudden,12,0.0,0,0.0
171,3,Gradual,12,0.6000263821333647,0,0.15000478411093354
172,4,Sudden,12,0.7306835411582142,0,0.11987241543829441
173,5,Gradual,12,1.5810946971178055,0,0.210130158578977
174,6,Sudden,12,1.0166370957158506,0,0.34997968561947346
175,7,Gradual,12,1.1333023239858449,0,0.4833541503176093
176,8,Sudden,12,1.0107444277964532,0,0.25019710953347385
177,9,Gradual,12,0.6504823598079383,0,1.8613221729174256
178,10,Sudden,12,1.0500250831246376,0,0.13329387223348022
179,11,Gradual,12,1.633289948105812,0,1.7165741310454905
180,12,Sudden,12,1.4910875130444765,0,0.2601712103933096
181,13,Gradual,12,2.1499132645867576,0,0.21663991809055005
182,0,Sudden,13,0.0,0,0.0
183,1,Gradual,13,0.0,0,0.0
184,2,Sudden,13,0.0,0,0.0
185,3,Gradual,13,0.7667288184165955,0,0.1332751358859241
186,4,Sudden,13,0.6605159344617277,0,0.1500133266672492
187,5,Gradual,13,1.7812344545964152,0,0.2601793606299907
188,6,Sudden,13,0.5666763661429286,0,0.5333282221108675
189,7,Gradual,13,1.1502512255683541,0,0.2830521846190095
190,8,Sudden,13,1.1108096279203892,0,0.2001273815985769
191,9,Gradual,13,0.5604640070814639,0,0.17012810613960028
192,10,Sudden,13,1.133340054191649,0,0.18330839090049267
193,11,Gradual,13,1.1833231812343001,0,2.8997919685207307
194,12,Sudden,13,0.9510338436812162,0,0.23983150580897927
