target_x,target_y,rotation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Welcome.started,Welcome.stopped,mouse.started,mouse.stopped,text.started,text.stopped,mouse_2.started,mouse_2.stopped,demo_enclosing.started,demo_enclosing.stopped,demo_target.started,demo_target.stopped,demo_fixation.started,demo_fixation.stopped,demo_mouse.x,demo_mouse.y,demo_mouse.leftButton,demo_mouse.midButton,demo_mouse.rightButton,demo_mouse.time,demo_mouse.started,demo_mouse.stopped,demo_enclosing_feedback.started,demo_enclosing_feedback.stopped,demo_target_feedback.started,demo_target_feedback.stopped,demo_fixation_feedback.started,demo_fixation_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.282344200000807,None,0.0039252399910765234,None,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_13_1648,vm_20xx,2020.2.4,60.07120841025471,
0.3,0.3,0,0,0,0,0,0,0,0,0,,,,,12.268361400001595,None,0.5002654600029928,None,13.604426300000341,None,13.604426300000341,None,13.604426300000341,None,"[0.02962962962962963, 0.02962962962962963, 0.02962962962962963, 0.02962962962962963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007407407407407408, 0.027777777777777776, 0.041666666666666664, 0.053703703703703705, 0.062037037037037036, 0.08055555555555556, 0.08888888888888889, 0.09907407407407408, 0.10925925925925926, 0.125, 0.13425925925925927, 0.14629629629629629, 0.16203703703703703, 0.18055555555555555, 0.1925925925925926, 0.2037037037037037, 0.2212962962962963, 0.23425925925925925, 0.24444444444444444, 0.2537037037037037, 0.2611111111111111, 0.2675925925925926, 0.27685185185185185, 0.2833333333333333, 0.2953703703703704]","[-0.12037037037037036, -0.12037037037037036, -0.12037037037037036, -0.12037037037037036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007407407407407408, 0.021296296296296296, 0.03518518518518519, 0.04722222222222222, 0.05925925925925926, 0.07314814814814814, 0.08148148148148149, 0.09166666666666666, 0.10185185185185185, 0.12314814814814815, 0.13518518518518519, 0.14629629629629629, 0.16203703703703703, 0.18425925925925926, 0.19722222222222222, 0.20925925925925926, 0.23333333333333334, 0.24814814814814815, 0.262037037037037, 0.27314814814814814, 0.2861111111111111, 0.29259259259259257, 0.30185185185185187, 0.31203703703703706, 0.32314814814814813]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019700000120792538, 0.014971000000514323, 0.024871500001609093, 0.04180100000303355, 0.0587154000022565, 0.07731720000083442, 0.09326270000019576, 0.10994720000235247, 0.1268435000019963, 0.14386070000182372, 0.16013139999995474, 0.17722610000055283, 0.19332040000153938, 0.21050480000121752, 0.2264318000015919, 0.24156300000322517, 0.2582916999999725, 0.2748754000022018, 0.2915260000008857, 0.3081728000033763, 0.3246562000022095, 0.34161590000076103, 0.35831820000021253, 0.37605400000029476, 0.39310350000232575, 0.4095776000031037, 0.4265508000025875, 0.4428639000034309, 0.45968010000069626, 0.4761313000017253, 0.49276520000057644, 0.5096660000017437, 0.5263064000027953, 0.5426993000000948, 0.5596540000005916, 0.5761807000017143, 0.59273210000174, 0.609537200001796, 0.6269287000031909, 0.6426970000029542, 0.6594422000016493, 0.676336700002139, 0.6927510000023176, 0.709381000000576, 0.7260368000024755, 0.7424938000003749, 0.7592416000006779, 0.775927300001058, 0.7924589000031119, 0.809292000001733, 0.8258465000035358, 0.8425113000012061, 0.8592586000013398, 0.8760200000033365, 0.893040100003418, 0.909228800002893, 0.9258870000012394, 0.9426276000012876, 0.9592314000001352, 0.9759434000006877, 0.9923527999999351, 1.0090980000022682, 1.0257515000012063, 1.0424520000015036, 1.0591723000034108, 1.0759885000006761, 1.092389200002799, 1.1093176000031235, 1.1257436000014422, 1.1421453000002657, 1.1589652000002388, 1.1756878000014694, 1.1920970999999554, 1.209443800002191, 1.2255433000027551, 1.2422980000010284, 1.258752200003073, 1.276047200000903, 1.2930096000018239, 1.308924200002366, 1.3249546000006376, 1.3416141000016069, 1.358341200000723, 1.3748199000001478, 1.3915589000025648, 1.4080870000034338, 1.424787900003139, 1.441335600000457, 1.458042900001601, 1.474777700001141, 1.4913903000015125, 1.507935700003145, 1.5245807000028435, 1.5416872000023432, 1.558581100001902, 1.5752258000029542, 1.5928146000005654, 1.6084202000020014, 1.6251617000016267, 1.642088300002797, 1.6598893000009411, 1.6754695000017819, 1.6928744000033475, 1.7083978000009665, 1.7252295000034792, 1.7417383000029076, 1.7586792000001878, 1.7749793000002683, 1.7919605000024603, 1.8087057000011555, 1.8251439000014216, 1.8426713000008021, 1.8582955000019865, 1.8756468999999925, 1.8918922000011662, 1.9091468000005989, 1.9248656000017945, 1.9414827000000514, 1.9582191000008606]",0.0088677200001257,None,15.57376860000295,None,15.57376860000295,None,15.57376860000295,None,0,001,2020_Oct_13_1648,vm_20xx,2020.2.4,60.07120841025471,
0.3,-0.3,0,0,0,0,0,0,1,1,3,,,,,,,,,16.08242160000009,None,16.08242160000009,None,16.08242160000009,None,"[0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.39166666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009259259259259259, 0.028703703703703703, 0.04259259259259259, 0.05648148148148148, 0.06944444444444445, 0.08703703703703704, 0.09907407407407408, 0.11296296296296296, 0.12777777777777777, 0.1537037037037037, 0.16944444444444445, 0.18888888888888888, 0.21388888888888888, 0.22777777777777777, 0.23981481481481481, 0.2518518518518518, 0.2675925925925926, 0.2777777777777778, 0.28425925925925927, 0.29074074074074074, 0.29814814814814816, 0.30277777777777776, 0.3055555555555556, 0.30925925925925923]","[0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.44351851851851853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008333333333333333, -0.02962962962962963, -0.04351851851851852, -0.05740740740740741, -0.06944444444444445, -0.08981481481481482, -0.10185185185185185, -0.11666666666666667, -0.12962962962962962, -0.14907407407407408, -0.1648148148148148, -0.18518518518518517, -0.20555555555555555, -0.22037037037037038, -0.23425925925925925, -0.2462962962962963, -0.2611111111111111, -0.27037037037037037, -0.2777777777777778, -0.2851851851851852, -0.29444444444444445, -0.29907407407407405, -0.3037037037037037, -0.3074074074074074]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004031999997096136, 0.013364000002184184, 0.027278400000795955, 0.04391560000294703, 0.06077300000106334, 0.07710170000063954, 0.09360899999956018, 0.11030290000053355, 0.1268372000013187, 0.14381350000257953, 0.1607205000000249, 0.176852600001439, 0.19369110000116052, 0.21042710000256193, 0.22704950000115787, 0.2435806000030425, 0.26024170000164304, 0.27700540000296314, 0.29581060000055004, 0.31059559999994235, 0.32782240000233287, 0.3438246000005165, 0.3605048999997962, 0.3775098000005528, 0.3938820000003034, 0.4106578000028094, 0.42707160000281874, 0.4437878000026103, 0.4605840000003809, 0.47725220000211266, 0.4937430999998469, 0.5103178000026674, 0.5272334000001138, 0.5437540000020817, 0.561053900000843, 0.5784834000005503, 0.5950408999997308, 0.6107212999995681, 0.6272337000009429, 0.6436472000023059, 0.6609213000010641, 0.6772325000019919, 0.6935683000010613, 0.7107192000003124, 0.7270057999994606, 0.7435839999998279, 0.7601350000004459, 0.7769757000023674, 0.7934663000014552, 0.8110637999998289, 0.8276355000016338, 0.8434274000028381, 0.8602191000027233, 0.8769007000009879, 0.8934107000022777, 0.9103570000006584, 0.9270643000018026, 0.9434295999999449, 0.9600781000008283, 0.9767494000006991, 0.9933130000026722, 1.0102337999996962, 1.0267381000012392, 1.0434617999999318, 1.0598349000028975, 1.0766720999999961, 1.0931822000020475, 1.1100208000025305, 1.1265905000000203, 1.143249000000651, 1.1600146000018867, 1.176595000000816, 1.1932433000001765, 1.2098675000015646, 1.2264633000013418, 1.2430792000013753, 1.2596465999995416, 1.2765792999998666, 1.2930919000027643, 1.3097845000011148, 1.3263163000010536, 1.3429938000008406, 1.3598158000022522, 1.3767318000027444, 1.3930957000011404, 1.4095248000012361, 1.4263773000020592, 1.443005600001925, 1.4619050000001153, 1.4758154000010109, 1.4924140000002808, 1.5090874000015901, 1.5255537000011827, 1.5421875000029104, 1.559040100000857, 1.5755007000007026, 1.5923920000022918, 1.6090350000013132, 1.6257919000017864, 1.6420820000021195, 1.6587297000005492, 1.675779799999873, 1.6925967000024684, 1.709282700001495, 1.7259744000002684, 1.7427870000028634, 1.7599941000007675, 1.7760305000010703, 1.792734400001791, 1.8099385000023176, 1.8261601000012888, 1.842648800000461, 1.859339500002534, 1.8761021999998775, 1.8927413000019442, 1.9091597000006004, 1.9260443000021041, 1.9437858000019332, 1.9592608000020846, 1.975889700002881, 1.9924290000017209, 2.0099831000006816, 2.0258472000023175, 2.042297400003008, 2.0590740000006917, 2.076537600001757, 2.092384100000345, 2.1088409000003594]",0.010018859997217078,None,18.200944600001094,None,18.200944600001094,None,18.200944600001094,None,0,001,2020_Oct_13_1648,vm_20xx,2020.2.4,60.07120841025471,
-0.3,-0.3,0,0,0,0,0,0,2,2,2,,,,,,,,,18.711343200000556,None,18.711343200000556,None,18.711343200000556,None,"[0.34074074074074073, 0.34074074074074073, 0.34074074074074073, 0.34074074074074073, 0.34074074074074073, 0.34074074074074073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009259259259259259, -0.023148148148148147, -0.041666666666666664, -0.05925925925925926, -0.07407407407407407, -0.08796296296296297, -0.11018518518518519, -0.125, -0.1398148148148148, -0.1527777777777778, -0.17314814814814813, -0.18796296296296297, -0.20555555555555555, -0.225, -0.23796296296296296, -0.24814814814814815, -0.2574074074074074, -0.26851851851851855, -0.2740740740740741, -0.28055555555555556, -0.28703703703703703, -0.2935185185185185, -0.29814814814814816, -0.3037037037037037, -0.30833333333333335, -0.31574074074074077, -0.32222222222222224, -0.32592592592592595, -0.33240740740740743, -0.33796296296296297, -0.34074074074074073, -0.34444444444444444, -0.3490740740740741]","[-0.3435185185185185, -0.3435185185185185, -0.3435185185185185, -0.3435185185185185, -0.3435185185185185, -0.34444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012962962962962963, -0.028703703703703703, -0.04814814814814815, -0.06388888888888888, -0.07592592592592592, -0.08796296296296297, -0.10740740740740741, -0.11851851851851852, -0.12777777777777777, -0.13518518518518519, -0.14814814814814814, -0.15833333333333333, -0.1648148148148148, -0.17407407407407408, -0.18055555555555555, -0.18518518518518517, -0.18981481481481483, -0.19722222222222222, -0.20185185185185187, -0.2064814814814815, -0.20925925925925926, -0.21666666666666667, -0.22037037037037038, -0.22592592592592592, -0.22870370370370371, -0.2361111111111111, -0.23981481481481481, -0.24166666666666667, -0.24722222222222223, -0.2490740740740741, -0.25092592592592594, -0.25555555555555554, -0.2601851851851852]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00045959999988554046, 0.013286400000652066, 0.029052100002445513, 0.04580090000308701, 0.06222220000199741, 0.08000960000208579, 0.09609390000332496, 0.11309890000120504, 0.12947970000095665, 0.1460984000004828, 0.16272190000017872, 0.17960840000159806, 0.19585940000251867, 0.21277270000064163, 0.22916460000124061, 0.24618259999988368, 0.26289470000119763, 0.2791352000022016, 0.29598010000336217, 0.31249400000160676, 0.32902800000010757, 0.34592410000186646, 0.3626271000030101, 0.3793212000018684, 0.39599920000182465, 0.41246520000277087, 0.4289502000028733, 0.4458178000022599, 0.4624613000014506, 0.479041500002495, 0.4955907000003208, 0.5122403000023041, 0.5290499000002455, 0.5456005000014557, 0.5623479000023508, 0.5792959999998857, 0.5958031000009214, 0.6122145000008459, 0.6289332000014838, 0.645616700003302, 0.6622893000021577, 0.6788551000026928, 0.6961349000011978, 0.7120930000019143, 0.7287058000001707, 0.7455655000012484, 0.7623631000024034, 0.7786411000015505, 0.7954878000018653, 0.8118872000013653, 0.8282807000032335, 0.8447551000026579, 0.8615798000028008, 0.8781430000017281, 0.8946942000002309, 0.911524900002405, 0.9280029000001377, 0.9448384000024816, 0.961330200003431, 0.9781171000031463, 0.994858000001841, 1.0111792000025162, 1.0281226000006427, 1.0449158000010357, 1.0613790000024892, 1.0805010000003676, 1.0952246000015293, 1.1118221000033373, 1.128651600000012, 1.1462025000000722, 1.1619248000024527, 1.1792218000009598, 1.1951272000005702, 1.2120654999998806, 1.228491900001245, 1.244988900001772, 1.261616600000707, 1.2783137000005809, 1.2953644000008353, 1.3119595000025583, 1.3288364000000001, 1.3449163000004773, 1.3618512000030023, 1.3786377000033099, 1.3956660000003467, 1.4116057000028377, 1.4279662000008102, 1.4448480999999447, 1.4618714000025648, 1.4781790000015462, 1.4947722000033536, 1.5112893000004988, 1.5282252000033623, 1.5448973000020487, 1.561532800002169, 1.578445200000715, 1.5948751000032644, 1.6113573000002361, 1.6279840000024706]",0.012059460001182742,None,20.349097000002075,None,20.349097000002075,None,20.349097000002075,None,0,001,2020_Oct_13_1648,vm_20xx,2020.2.4,60.07120841025471,
