target_x,target_y,rotation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Welcome.started,Welcome.stopped,mouse.started,mouse.stopped,text.started,text.stopped,mouse_2.started,mouse_2.stopped,demo_enclosing.started,demo_enclosing.stopped,demo_target.started,demo_target.stopped,demo_fixation.started,demo_fixation.stopped,demo_mouse.x,demo_mouse.y,demo_mouse.leftButton,demo_mouse.midButton,demo_mouse.rightButton,demo_mouse.time,demo_mouse.started,demo_mouse.stopped,demo_target_feedback.started,demo_target_feedback.stopped,demo_fixation_feedback.started,demo_fixation_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,13.288653200001136,None,0.0003624499913712498,None,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_13_1643,vm_20xx,2020.2.4,59.99584828755181,
-0.3,-0.3,0,0,0,0,0,0,0,0,2,,,,,13.964205300002504,None,0.5045884100036346,None,15.26985760000025,None,15.26985760000025,None,15.26985760000025,None,"[-0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.017592592592592594, 0.028703703703703703, 0.03981481481481482, 0.05277777777777778, 0.06296296296296296, 0.07314814814814814, 0.0824074074074074, 0.09444444444444444, 0.10185185185185185, 0.1111111111111111, 0.12314814814814815, 0.12777777777777777, 0.13425925925925927, 0.14074074074074075, 0.15, 0.15648148148148147, 0.16296296296296298, 0.16944444444444445, 0.1787037037037037, 0.18518518518518517, 0.19074074074074074, 0.19814814814814816, 0.2101851851851852, 0.21666666666666667, 0.225, 0.2361111111111111, 0.23981481481481481, 0.24537037037037038, 0.2490740740740741, 0.2537037037037037, 0.2601851851851852, 0.2657407407407407, 0.27037037037037037, 0.2777777777777778, 0.2824074074074074, 0.2851851851851852, 0.28888888888888886, 0.2916666666666667, 0.2935185185185185, 0.2972222222222222, 0.3]","[0.07685185185185185, 0.07685185185185185, 0.07685185185185185, 0.07685185185185185, 0.07685185185185185, 0.07685185185185185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006481481481481481, 0.017592592592592594, 0.025925925925925925, 0.03333333333333333, 0.044444444444444446, 0.05555555555555555, 0.06759259259259259, 0.07685185185185185, 0.09074074074074075, 0.09722222222222222, 0.10740740740740741, 0.12222222222222222, 0.12962962962962962, 0.13796296296296295, 0.14444444444444443, 0.15185185185185185, 0.1574074074074074, 0.1638888888888889, 0.17037037037037037, 0.1814814814814815, 0.18888888888888888, 0.19722222222222222, 0.20277777777777778, 0.21388888888888888, 0.2222222222222222, 0.23055555555555557, 0.24351851851851852, 0.25, 0.2564814814814815, 0.2601851851851852, 0.26481481481481484, 0.2722222222222222, 0.27685185185185185, 0.28055555555555556, 0.28888888888888886, 0.2953703703703704, 0.29907407407407405, 0.30462962962962964, 0.3101851851851852, 0.3111111111111111, 0.3148148148148148, 0.31851851851851853]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002356000004510861, 0.012391299998853356, 0.022695700001349906, 0.03673799999887706, 0.053264099999069, 0.07075339999937569, 0.08721499999955995, 0.10394159999850672, 0.12060199999905308, 0.13738690000172937, 0.15391950000048382, 0.17031240000142134, 0.18699320000087027, 0.20389369999975315, 0.22058760000072652, 0.23711750000074971, 0.2538961999998719, 0.27028359999894747, 0.2871975000016391, 0.30392959999880986, 0.320240000000922, 0.3370624000017415, 0.35341909999988275, 0.37032729999918956, 0.38660620000155177, 0.4028208000017912, 0.4191830999989179, 0.4364577999986068, 0.4534112000001187, 0.46971340000163764, 0.48728900000060094, 0.503422199999477, 0.5196935999993002, 0.536632200000895, 0.5532486000010977, 0.5695526999988942, 0.5862183999997796, 0.6031370000018796, 0.6198275999995531, 0.6363588999993226, 0.6534635999996681, 0.6702527999987069, 0.6866014000006544, 0.7028452000013203, 0.7197234999985085, 0.7364281000009214, 0.7529385999987426, 0.7695492999991984, 0.7864359999985027, 0.8030261999992945, 0.819974900001398, 0.8365527999994811, 0.8531035999985761, 0.8698632999985421, 0.8868213999994623, 0.9028464000002714, 0.9197999999996682, 0.9362865000002785, 0.9527186000013899, 0.9691329000015685, 0.9861488999995345, 1.0026096000001417, 1.0192639000015333, 1.0358986999999615, 1.053156800000579, 1.0698383000017202, 1.0862291000012192, 1.1026024999991932, 1.119149499998457, 1.1365703000010399, 1.1531104999994568, 1.1695083000013256, 1.1862594000012905, 1.2030487000010908, 1.219105899999704, 1.2360196000008727, 1.2526402000003145, 1.269368299999769, 1.2856591000017943, 1.3020968999990146, 1.318760599999223, 1.3355874000008043, 1.3523513000000094, 1.3690468999993755, 1.3855108999996446, 1.4022537000018929, 1.4190325000017765, 1.4354008000009344, 1.4521631999996316, 1.468873199999507, 1.485635100001673, 1.5023959999998624, 1.518651200000022, 1.535301600000821, 1.552625899999839, 1.568583000000217, 1.5850415999993857, 1.6018112000019755, 1.6187596000017948, 1.6352536999984295, 1.6518904000004113, 1.6687356000002183, 1.685213400000066, 1.7021845999988727, 1.7191180000008899, 1.7352926999992633, 1.7515991000000213, 1.7685861999998451, 1.7852510000011534, 1.8015441999996256, 1.8190270000013697, 1.8359879999989062, 1.8521375000018452, 1.8690726999993785, 1.8855097999985446, 1.9023605000002135, 1.9189417000015965, 1.9353120000014314, 1.9517779000016162, 1.9688897999985784, 1.985457700000552, 2.0022742000001017, 2.01873070000147, 2.0351856000015687, 2.0517798000000766, 2.0689534000011918, 2.085184300001856, 2.1018401000001177, 2.1181069999984175, 2.134861300000921, 2.151910799999314, 2.167885599999863, 2.1845403000006627, 2.201341700001649, 2.21799430000101, 2.2350646999984747, 2.2514817000010225, 2.267852100001619, 2.284591300001921, 2.3014073000013013, 2.3178197000015643, 2.334568499998568, 2.3512765999985277, 2.3679952999991656]",0.0022860500030219555,None,17.64424650000001,None,17.64424650000001,None,0,001,2020_Oct_13_1643,vm_20xx,2020.2.4,59.99584828755181,
