target_x,target_y,rotation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,baseline_trials.thisRepN,baseline_trials.thisTrialN,baseline_trials.thisN,baseline_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,block_trials.thisRepN,block_trials.thisTrialN,block_trials.thisN,block_trials.thisIndex,Welcome.started,Welcome.stopped,mouse.started,mouse.stopped,text_3.started,text_3.stopped,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,mouse_3.started,mouse_3.stopped,rotated_enclosing_1.started,rotated_enclosing_1.stopped,rotated_enclosing.started,rotated_enclosing.stopped,rotated_target.started,rotated_target.stopped,rotated_fixation.started,rotated_fixation.stopped,rotated_mouse.x,rotated_mouse.y,rotated_mouse.leftButton,rotated_mouse.midButton,rotated_mouse.rightButton,rotated_mouse.time,rotated_mouse.started,rotated_mouse.stopped,rotated_enclosing_feedback_1.started,rotated_enclosing_feedback_1.stopped,rotated_enclosing_feedback.started,rotated_enclosing_feedback.stopped,rotated_target_feedback.started,rotated_target_feedback.stopped,rotated_fixation_feedback.started,rotated_fixation_feedback.stopped,rotated_score_text.started,rotated_score_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,18.277306200005114,None,0.01576043333625421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1226,vm_20xx,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,19.180297200000496,None,1.0034433666587574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1226,vm_20xx,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20.412399400011054,None,0.24959019999369048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1226,vm_20xx,2020.2.4,None,
0.3,0.3,0,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,21.424296299999696,None,21.424296299999696,None,22.643015499998,None,21.424296299999696,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030555555555555555, 0.05555555555555555, 0.1, 0.11944444444444445, 0.1638888888888889, 0.20555555555555555, 0.2388888888888889, 0.26296296296296295, 0.2824074074074074, 0.3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.05555555555555555, 0.10925925925925926, 0.13333333333333333, 0.1787037037037037, 0.2212962962962963, 0.2574074074074074, 0.2833333333333333, 0.3074074074074074, 0.32592592592592595]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00029209999775048345, 0.014983000000938773, 0.034725300007266924, 0.05325070000253618, 0.0663559999957215, 0.08109560000593774, 0.10126100000343286, 0.11765569999988656, 0.1333015999989584, 0.1489043000037782, 0.16027350000513252, 0.18189199999324046, 0.19956029999593738, 0.21882999999797903, 0.24258239999471698, 0.2615228999929968, 0.2799245000060182, 0.30036419999669306, 0.3120210000051884, 0.32900440000230446, 0.3446544000034919, 0.3623403999954462, 0.37967379999463446, 0.39838110000710003, 0.41561820000060834, 0.43407920000026934, 0.44862819999980275, 0.4638742999959504, 0.4770087999932002, 0.5021736000053352, 0.5198856000060914, 0.5357287999941036, 0.5590929000027245, 0.5823996999970404, 0.6028762000059942, 0.6387112999946112, 0.6522835000068881, 0.6732324000040535, 0.6875978000025498, 0.7085597999976017, 0.7353032999963034, 0.7600379999930738, 0.7835391999979038, 0.8031721000006655, 0.8219016999937594]",1.2528719333495246,None,23.523533400002634,None,23.523533400002634,None,23.523533400002634,None,23.523533400002634,24.02457300000242,23.523533400002634,None,0,001,2020_Oct_14_1226,vm_20xx,2020.2.4,None,
-0.3,-0.3,0,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,24.526134400002775,None,24.526134400002775,None,25.40839280000364,None,24.526134400002775,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032407407407407406, -0.06666666666666667, -0.10555555555555556, -0.1685185185185185, -0.2611111111111111, -0.3111111111111111, -0.3574074074074074, -0.4064814814814815, -0.43796296296296294]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.021296296296296296, -0.03333333333333333, -0.05555555555555555, -0.09166666666666666, -0.11018518518518519, -0.1259259259259259, -0.14814814814814814, -0.16203703703703703]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0010479000047780573, 0.016199599995161407, 0.03967850000481121, 0.06465610000304878, 0.09507320000557229, 0.11082420000457205, 0.12931449999450706, 0.14685889999964274, 0.16365919999952894, 0.18232710000302177, 0.20185969999874942, 0.22237309999763966, 0.2430882000044221, 0.26232720000552945, 0.278470200006268, 0.30561490000400227, 0.3280001999955857, 0.3500553000048967, 0.3642748999991454, 0.3780261000065366, 0.39540530000522267, 0.41056629999366123, 0.4293818000005558, 0.45322419999865815, 0.47843610000563785, 0.49859360000118613, 0.512751100002788, 0.5299394000030588, 0.5461031000013463, 0.5662536000018008, 0.5806239999947138, 0.6066011999937473, 0.6308221000072081, 0.6516415999940364, 0.668011400004616, 0.6875761999981478, 0.7131229999940842, 0.7307453999965219, 0.7489693999959854, 0.7717640000046231, 0.7946254999988014, 0.8201084000029368, 0.8299859999970067, 0.8484437000006437, 0.8598691999941366, 0.8739781000040239, 0.8935844999941764, 0.9103944999951636, 0.9274681999959284, 0.9456523999979254, 0.9646718000003602, 0.9939450999954715, 1.0123310000053607, 1.032183699993766, 1.0506485999940196, 1.0727932000008877]",0.9035097666637739,None,26.505378600006225,None,26.505378600006225,None,26.505378600006225,None,26.505378600006225,27.003566500003217,26.505378600006225,None,0,001,2020_Oct_14_1226,vm_20xx,2020.2.4,None,
