target_x,target_y,rotation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Welcome.started,Welcome.stopped,mouse.started,mouse.stopped,text.started,text.stopped,mouse_2.started,mouse_2.stopped,demo_enclosing_1.started,demo_enclosing_1.stopped,demo_enclosing.started,demo_enclosing.stopped,demo_target.started,demo_target.stopped,demo_fixation.started,demo_fixation.stopped,demo_mouse.x,demo_mouse.y,demo_mouse.leftButton,demo_mouse.midButton,demo_mouse.rightButton,demo_mouse.time,demo_mouse.started,demo_mouse.stopped,demo_enclosing_feedback_1.started,demo_enclosing_feedback_1.stopped,demo_enclosing_feedback.started,demo_enclosing_feedback.stopped,demo_target_feedback.started,demo_target_feedback.stopped,demo_fixation_feedback.started,demo_fixation_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,12.73931409999932,None,0.014812709981924854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
0.3,0.3,0,0,0,0,0,0,0,0,0,,,,,14.468181199998071,None,0.5032189900011872,None,16.474736299998767,None,16.474736299998767,None,17.814263300002494,None,16.474736299998767,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025925925925925925, 0.05462962962962963, 0.10833333333333334, 0.14722222222222223, 0.17777777777777778, 0.22962962962962963, 0.25092592592592594, 0.275, 0.2962962962962963, 0.3194444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021296296296296296, 0.05277777777777778, 0.10555555555555556, 0.15092592592592594, 0.18518518518518517, 0.2361111111111111, 0.2611111111111111, 0.2851851851851852, 0.3101851851851852, 0.337037037037037]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00034730000334093347, 0.016840000003867317, 0.03295330000401009, 0.04977099999814527, 0.0662226999993436, 0.08310720000008587, 0.09960580000188202, 0.11634739999863086, 0.13439649999781977, 0.15011070000036852, 0.166203000000678, 0.1827606000006199, 0.1995353000020259, 0.21619959999952698, 0.23310189999756403, 0.250012999997125, 0.2665110000016284, 0.2827525000029709, 0.2994216000006418, 0.3165369999987888, 0.3327572999987751, 0.34963109999807784, 0.3660147999980836, 0.38282210000033956, 0.40070530000230065, 0.41504210000130115, 0.43185790000279667, 0.4484396999978344, 0.4652118000012706, 0.48191709999809973, 0.4985722999990685, 0.5151753000027384, 0.5318021999992197, 0.5486411000019871, 0.565095999998448, 0.5816742000024533, 0.5985919000013382, 0.6151953000007779, 0.6317679999992833, 0.6487959000005503, 0.6653539999970235, 0.6821247999978368, 0.6992883999992046, 0.7153719999987516, 0.7333808999974281, 0.7489093999975012, 0.7656159000034677, 0.7834548000028008, 0.7998907000001054]",1.3626873300017905,None,18.642506199998024,None,18.642506199998024,None,18.642506199998024,None,18.642506199998024,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
-0.3,-0.3,0,0,0,0,0,0,1,1,2,,,,,,,,,19.149647400001413,None,19.149647400001413,None,20.278496099999757,None,19.149647400001413,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013888888888888888, -0.03518518518518519, -0.05740740740740741, -0.09814814814814815, -0.12222222222222222, -0.15648148148148147, -0.18518518518518517, -0.21851851851851853, -0.2388888888888889, -0.2564814814814815, -0.275, -0.287962962962963, -0.30092592592592593, -0.3148148148148148, -0.3296296296296296]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.014814814814814815, -0.03518518518518519, -0.062037037037037036, -0.1, -0.12314814814814815, -0.15555555555555556, -0.17962962962962964, -0.21203703703703702, -0.2351851851851852, -0.25092592592592594, -0.26481481481481484, -0.27314814814814814, -0.2833333333333333, -0.29444444444444445, -0.30833333333333335]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003372000064700842, 0.016884500000742264, 0.03360800000518793, 0.05030640000040876, 0.06677620000118623, 0.08346700000402052, 0.1013608000066597, 0.11663750000298023, 0.13331820000166772, 0.15018620000046212, 0.1666384000054677, 0.18328630000178237, 0.20000670000445098, 0.21665340000618016, 0.233396100004029, 0.24980390000564512, 0.2667098000019905, 0.2839918000026955, 0.2999047000048449, 0.3165262000038638, 0.3331456000014441, 0.3500622999999905, 0.36644190000515664, 0.38332770000124583, 0.4000582000007853, 0.41644340000493685, 0.4331531000061659, 0.44981730000290554, 0.46637400000327034, 0.48361380000278587, 0.49962800000503194, 0.5163947000037297, 0.5332418000034522, 0.5496854000011808, 0.5678686000028392, 0.5826211000021431, 0.5989788000006229, 0.6154048000025796, 0.632011000001512, 0.6490164000060759, 0.6652893000064068, 0.6820555000012973, 0.6987297000014223, 0.715445500005444, 0.7321146000031149, 0.7487265000017942, 0.7652293000064674, 0.7822826000046916, 0.7993832000065595, 0.8165002000023378, 0.8345385000066017, 0.8494248000060907, 0.8658238000061829, 0.8823642000061227, 0.8991464999999152, 0.9159129000036046, 0.932555900006264, 0.9502026000045589, 0.9657109000036144, 0.9825510000009672, 0.9993207000006805, 1.0165306000053533]",1.1509590900022886,None,21.31729450000421,None,21.31729450000421,None,21.31729450000421,None,21.31729450000421,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
0.3,-0.3,0,0,0,0,0,0,2,2,3,,,,,,,,,21.828738199998043,None,21.828738199998043,None,23.225841100000252,None,21.828738199998043,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030555555555555555, 0.07037037037037037, 0.09814814814814815, 0.12037037037037036, 0.14629629629629629, 0.16018518518518518, 0.17222222222222222, 0.18425925925925926, 0.20092592592592592, 0.2111111111111111, 0.22314814814814815, 0.23796296296296296, 0.2490740740740741, 0.2611111111111111, 0.27037037037037037, 0.2833333333333333, 0.2898148148148148, 0.29907407407407405, 0.3101851851851852, 0.3148148148148148, 0.3194444444444444, 0.3212962962962963, 0.3287037037037037, 0.33055555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026851851851851852, -0.06481481481481481, -0.08796296296296297, -0.10740740740740741, -0.13333333333333333, -0.14722222222222223, -0.15925925925925927, -0.1712962962962963, -0.18981481481481483, -0.2, -0.21203703703703702, -0.225, -0.23425925925925925, -0.24166666666666667, -0.25, -0.2611111111111111, -0.2657407407407407, -0.2722222222222222, -0.27870370370370373, -0.2824074074074074, -0.28425925925925927, -0.2861111111111111, -0.29074074074074074, -0.2935185185185185]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003273999973316677, 0.016739200000301935, 0.033309999998891726, 0.05022629999439232, 0.06679929999518208, 0.08337319999554893, 0.10019659999670694, 0.11665910000010626, 0.1333943999998155, 0.1499368000004324, 0.16658839999581687, 0.18325159999949392, 0.19997190000140108, 0.2165378999998211, 0.2331105999983265, 0.25010199999815086, 0.26643789999798173, 0.28310249999776715, 0.2997927999967942, 0.3163749999948777, 0.3331054000009317, 0.3500047999987146, 0.3663942999992287, 0.3830260999966413, 0.39980809999542544, 0.4163512000013725, 0.43300040000031004, 0.449582699999155, 0.4663589999981923, 0.4829950999992434, 0.4997388999981922, 0.5163897999955225, 0.5329496999984258, 0.5496520000015153, 0.5666520000013406, 0.5828361999956542, 0.5995216999945114, 0.6185769000003347, 0.6319360999987111, 0.648772699998517, 0.6652944999950705, 0.6819207000007736, 0.698782299994491, 0.7151704999996582, 0.7321961999987252, 0.7487287999974797, 0.7653962999975192, 0.7820241000008537, 0.7987805000011576, 0.8153409000005922, 0.8319434000004549, 0.8489961999948719, 0.8655786999952397, 0.8826046999965911, 0.8993765999985044, 0.9168375999943237, 0.9322383999970043, 0.9492663999990327, 0.9669024999966496, 0.9822856999962823, 0.9990236999947228, 1.0156226999970386, 1.0330258999965736, 1.049003599997377, 1.0656662999972468, 1.0822033000004012, 1.0990282999991905, 1.1156200999976136, 1.1322801999995136, 1.1498843000008492, 1.1655192999969586, 1.1823277000003145, 1.1988117000000784, 1.2156590000013239, 1.2328473999950802]",1.4217515900018043,None,24.482458700003917,None,24.482458700003917,None,24.482458700003917,None,24.482458700003917,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
-0.3,0.3,0,0,0,0,0,0,3,3,1,,,,,,,,,24.993041200003063,None,24.993041200003063,None,26.189575600001263,None,24.993041200003063,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008333333333333333, -0.05925925925925926, -0.0824074074074074, -0.11388888888888889, -0.1398148148148148, -0.17407407407407408, -0.20462962962962963, -0.22777777777777777, -0.24351851851851852, -0.26296296296296295, -0.275, -0.2861111111111111, -0.3, -0.3055555555555556, -0.30925925925925923]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006481481481481481, 0.06111111111111111, 0.08888888888888889, 0.12222222222222222, 0.1527777777777778, 0.18611111111111112, 0.21388888888888888, 0.23425925925925925, 0.25, 0.2675925925925926, 0.2796296296296296, 0.2916666666666667, 0.3074074074074074, 0.31574074074074077, 0.3212962962962963]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00037880000309087336, 0.01642580000043381, 0.033072999998694286, 0.04987070000061067, 0.06699949999892851, 0.08307210000202758, 0.0996171000006143, 0.11621680000098422, 0.13295690000086324, 0.14963900000293506, 0.16634920000069542, 0.1831030000030296, 0.19974740000179736, 0.21624470000097062, 0.23455140000442043, 0.24960660000215285, 0.266127900002175, 0.28329840000515105, 0.3007391999999527, 0.3160321000032127, 0.3328380000020843, 0.3494118000016897, 0.36617110000224784, 0.3828293000042322, 0.3994243999986793, 0.41597680000268156, 0.43275100000028033, 0.44942140000057407, 0.4659014999997453, 0.48254699999961304, 0.5004559000008157, 0.5179410000055213, 0.5322162000011303, 0.5485334000040893, 0.5651806000023498, 0.5819665000017267, 0.6003506000051857, 0.6160450000024866, 0.631674700001895, 0.6484008000043104, 0.664985000003071, 0.6816127999991295, 0.6983144000041648, 0.7150985000043875, 0.732033300002513, 0.7496877000012319, 0.7653714000043692, 0.7822521999987657, 0.7988620000032824, 0.8158100000000559, 0.8324307000002591, 0.8488631000000169, 0.8664911000014399, 0.8821008000013535, 0.8988844000050449, 0.915726999999606, 0.9322351000009803, 0.9486443999994663, 0.9661916000040947]",1.2216753900065669,None,27.18044640000153,None,27.18044640000153,None,27.18044640000153,None,27.18044640000153,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
0.3,0.3,0,1,0,1,0,0,0,0,0,,,,,27.68817349999881,None,0.5092341900017345,None,29.11421749999863,None,29.11421749999863,None,30.11929770000279,None,29.11421749999863,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012037037037037037, 0.05277777777777778, 0.07962962962962963, 0.12037037037037036, 0.1425925925925926, 0.17314814814814813, 0.2064814814814815, 0.22037037037037038, 0.23148148148148148, 0.25, 0.262037037037037, 0.2722222222222222, 0.2833333333333333, 0.3037037037037037, 0.3175925925925926, 0.32592592592592595]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014814814814814815, 0.05462962962962963, 0.09074074074074075, 0.12685185185185185, 0.14629629629629629, 0.1712962962962963, 0.1935185185185185, 0.20277777777777778, 0.21388888888888888, 0.22962962962962963, 0.24166666666666667, 0.25277777777777777, 0.26666666666666666, 0.28703703703703703, 0.30092592592592593, 0.31203703703703706]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003201999934390187, 0.016749999995226972, 0.03353919999790378, 0.050014699998428114, 0.06754319999890868, 0.0834264999939478, 0.10011279999889666, 0.1166492999982438, 0.1338287999969907, 0.14998589999595424, 0.16659459999937098, 0.18413759999384638, 0.19996229999378556, 0.2166240000005928, 0.23327669999707723, 0.24982349999481812, 0.2665594999998575, 0.2833028999957605, 0.29989849999401486, 0.3166080999944825, 0.33317259999603266, 0.34994699999515433, 0.36646489999839105, 0.38364509999519214, 0.40027310000004945, 0.41659689999505645, 0.43250029999762774, 0.4489925999951083, 0.46562579999590525, 0.4823197999940021, 0.49902479999582283, 0.5154562999960035, 0.5323493999967468, 0.5486748999974225, 0.5654871000006096, 0.5822217999957502, 0.5987558999986504, 0.6156259999988833, 0.6328840999995009, 0.649564499995904, 0.6668850999994902, 0.68293669999548, 0.6994104999976116, 0.7161873999939417, 0.733045699998911, 0.7492627999963588, 0.7657837000006111, 0.7838638999965042, 0.7992161000001943, 0.8156887999939499, 0.8342495999968378, 0.8497986000002129, 0.865995699998166, 0.883895200000552]",1.0323403699949267,None,31.029371900003753,None,31.029371900003753,None,31.029371900003753,None,31.029371900003753,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
0.3,-0.3,0,1,0,1,0,0,1,1,3,,,,,,,,,31.537258900003508,None,31.537258900003508,None,32.21719840000151,None,31.537258900003508,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023148148148148147, 0.075, 0.10648148148148148, 0.14814814814814814, 0.18333333333333332, 0.20277777777777778, 0.21666666666666667, 0.23425925925925925, 0.2462962962962963, 0.25833333333333336, 0.26944444444444443, 0.28055555555555556, 0.2861111111111111, 0.2935185185185185, 0.30092592592592593]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02962962962962963, -0.075, -0.10925925925925926, -0.14722222222222223, -0.18518518518518517, -0.2064814814814815, -0.22314814814814815, -0.24166666666666667, -0.25555555555555554, -0.26944444444444443, -0.2824074074074074, -0.2953703703703704, -0.3037037037037037, -0.31296296296296294, -0.3212962962962963]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00034980000054929405, 0.016712199998437427, 0.033421699998143595, 0.050621700000192504, 0.06769899999926565, 0.0844409999990603, 0.100182300004235, 0.1177668000018457, 0.1338501999998698, 0.15081710000231396, 0.1670998999979929, 0.1831393000029493, 0.20007040000200504, 0.21666310000000522, 0.23317089999909513, 0.24998510000295937, 0.26650640000298154, 0.2832840000046417, 0.3002704000027734, 0.3164422999980161, 0.33302379999804543, 0.34972840000409633, 0.36639419999846723, 0.3835661999983131, 0.3996580000020913, 0.4164094000007026, 0.4329961000039475, 0.4496498000007705, 0.46623060000274563, 0.48308340000221506, 0.5000123999998323, 0.5162103000038769, 0.5325139999986277, 0.54872990000149, 0.5655582000035793, 0.5821001000003889, 0.598698499998136, 0.6152842000010423, 0.6322273000041605, 0.6487410000045202, 0.6652109999995446, 0.6818996000001789, 0.6987815000029514, 0.7154783000005409, 0.7332096000027377, 0.7492415000015171, 0.7658588999984204, 0.7837660000004689, 0.7992615999974078, 0.8163973999980954, 0.8326110999987577, 0.8500762000039686, 0.8659326999986661, 0.8822990999979083, 0.8990773000041372, 0.9156378999978187, 0.9328683999992791, 0.9490349999978207, 0.9674878000005265]",0.7030977899994468,None,33.2067504000006,None,33.2067504000006,None,33.2067504000006,None,33.2067504000006,None,0,001,2020_Oct_13_1811,vm_20xx,2020.2.4,60.08080868837662,
