target_x,target_y,rotation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,baseline_trials.thisRepN,baseline_trials.thisTrialN,baseline_trials.thisN,baseline_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,Welcome.started,Welcome.stopped,mouse.started,mouse.stopped,text_3.started,text_3.stopped,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,mouse_3.started,mouse_3.stopped,transfer_enclosing_1.started,transfer_enclosing_1.stopped,transfer_enclosing.started,transfer_enclosing.stopped,transfer_target.started,transfer_target.stopped,transfer_fixation.started,transfer_fixation.stopped,transfer_mouse.x,transfer_mouse.y,transfer_mouse.leftButton,transfer_mouse.midButton,transfer_mouse.rightButton,transfer_mouse.time,transfer_mouse.started,transfer_mouse.stopped,transfer_enclosing_feedback_1.started,transfer_enclosing_feedback_1.stopped,transfer_enclosing_feedback.started,transfer_enclosing_feedback.stopped,transfer_target_feedback.started,transfer_target_feedback.stopped,transfer_fixation_feedback.started,transfer_fixation_feedback.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,21.926845499998308,None,0.0024053299566730857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
,,,,,,,,,,,,,,,,,,,,,,,22.285676800005604,None,1.0073088299977826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04960050000227,None,0.2599869999976363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
-0.3,-0.3,0,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,24.783161900006235,None,24.783161900006235,None,25.947452600012184,None,24.783161900006235,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04259259259259259, -0.08796296296296297, -0.1361111111111111, -0.17407407407407408, -0.2212962962962963, -0.25925925925925924, -0.3055555555555556, -0.3277777777777778, -0.36018518518518516]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032407407407407406, -0.06759259259259259, -0.09907407407407408, -0.125, -0.15648148148148147, -0.18518518518518517, -0.21203703703703702, -0.225, -0.2518518518518518]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0011126000026706606, 0.018287700004293583, 0.03674949999549426, 0.054178699996555224, 0.07152230000065174, 0.08738040000025649, 0.10503999999491498, 0.11894349999784026, 0.13813659999868833, 0.15395079999871086, 0.18139779999910388, 0.2000112999958219, 0.21815080000669695, 0.23729390000517014, 0.2533415000070818, 0.26997239999764133, 0.2873260000051232, 0.3041425999981584, 0.32116269999824, 0.33702740000444464, 0.3536891999974614, 0.3797922999947332, 0.40106590000505093, 0.4194978000014089, 0.43744059999880847, 0.45375780000176746, 0.47208300000056624, 0.4876326999947196, 0.5036630999966292, 0.5202775999932783, 0.5368999000056647, 0.553926099993987, 0.5702119000052335, 0.5972107999987202, 0.616632599994773, 0.6336093999998411, 0.6502078000048641, 0.6688717000070028, 0.6872173000010662, 0.7069102999957977, 0.7254487000027439, 0.7412769999937154, 0.7659509999939473, 0.7844762000022456, 0.801801699999487, 0.8215578999952413, 0.8382973999978276, 0.857482199993683, 0.873971499997424]",1.1948896199755836,None,26.888400299998466,None,26.888400299998466,None,26.888400299998466,None,26.888400299998466,27.399906700011343,26.888400299998466,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
-0.3,0.3,0,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,27.870209000000614,None,27.870209000000614,None,28.68247970000084,None,27.870209000000614,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05555555555555555, -0.1, -0.14907407407407408, -0.2037037037037037, -0.225, -0.2638888888888889, -0.2851851851851852, -0.29907407407407405, -0.3101851851851852, -0.3194444444444444, -0.325, -0.3333333333333333, -0.3388888888888889, -0.34444444444444444, -0.35185185185185186, -0.35462962962962963, -0.35833333333333334, -0.3611111111111111, -0.3638888888888889, -0.36574074074074076, -0.3685185185185185, -0.37222222222222223, -0.3731481481481482, -0.37777777777777777, -0.3814814814814815, -0.3851851851851852]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04814814814814815, 0.0962962962962963, 0.14722222222222223, 0.20833333333333334, 0.23148148148148148, 0.2712962962962963, 0.29907407407407405, 0.31851851851851853, 0.33240740740740743, 0.3435185185185185, 0.3509259259259259, 0.35833333333333334, 0.3638888888888889, 0.3712962962962963, 0.3768518518518518, 0.3824074074074074, 0.38796296296296295, 0.3925925925925926, 0.3962962962962963, 0.4009259259259259, 0.4027777777777778, 0.40555555555555556, 0.4083333333333333, 0.41203703703703703, 0.41574074074074074, 0.4185185185185185]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005348999984562397, 0.016110399999888614, 0.033111700002336875, 0.04894809999677818, 0.07622950000222772, 0.096671499995864, 0.11591029999544844, 0.13329379999777302, 0.15937890000350308, 0.17843499999435153, 0.1968025999958627, 0.2155607000022428, 0.23306259998935275, 0.24844309999025427, 0.27600149999489076, 0.29652059999352787, 0.31715459999395534, 0.33418730000266805, 0.3599155999982031, 0.3792039999971166, 0.3981362999911653, 0.416459300002316, 0.44318319999729283, 0.4646479999937583, 0.4830262000032235, 0.49834269999701064, 0.5151787999930093, 0.5318731000006665, 0.5484143999929074, 0.5655897999968147, 0.5817400999949314, 0.5985318000020925, 0.6148792000021785, 0.6323058999987552, 0.6484208999900147, 0.6654466999898432, 0.6921104999928502, 0.7130743000016082, 0.7320554999896558, 0.7503571999986889, 0.7666056000016397, 0.7939343000034569, 0.8123191999911796, 0.8320709999970859, 0.8495288999984041, 0.8679908999911277, 0.8823673000006238, 0.8995959000021685, 0.9162243000027956, 0.9343007999996189, 0.9570764999953099, 0.9788008999894373, 0.995815100002801, 1.0151627000013832, 1.0333651999972062, 1.0472844999894733, 1.0659908999950858, 1.0829518999962602, 1.0999893999978667, 1.1261330999986967, 1.1458018999983324, 1.164937399997143, 1.1840877999929944]",0.8154624300077558,None,29.883192900000722,None,29.883192900000722,None,29.883192900000722,None,29.883192900000722,30.397696800006088,29.883192900000722,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
0.3,-0.3,0,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,30.907883100007894,None,30.907883100007894,None,31.51277270000719,None,30.907883100007894,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.02962962962962963, 0.04722222222222222, 0.07685185185185185, 0.09166666666666666, 0.11944444444444445, 0.14907407407407408]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008333333333333333, -0.044444444444444446, -0.06111111111111111, -0.09444444444444444, -0.11481481481481481, -0.14444444444444443, -0.1787037037037037]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005711999983759597, 0.026669300001231022, 0.04643979998945724, 0.06441839999752119, 0.08277009999437723, 0.10047829999530222, 0.11744419999013189, 0.13406270000268705, 0.150166999999783, 0.1663782999967225, 0.18321350000042003, 0.20007999999506865, 0.22687079999013804, 0.24692599999252707, 0.2650959000020521, 0.28296369999588933, 0.2999070999940159, 0.31691049999790266, 0.3341968999884557, 0.35102639999240637, 0.3761697000009008, 0.39627749999635853, 0.41452120000030845, 0.4328120999998646, 0.45099430000118446, 0.4675537000002805, 0.4937130999896908, 0.513572199997725, 0.5315468999906443, 0.5503229000023566, 0.566931499997736, 0.5842709999997169, 0.6002272999903653, 0.6159310999937588, 0.6327598999923794, 0.6498434999957681, 0.6660552999965148, 0.6832711000024574, 0.7003656000015326, 0.715764799999306, 0.733378899996751, 0.7493172999966191, 0.7668892999936361, 0.7830952999938745, 0.7992519999970682, 0.8181304999889107, 0.8432517999899574, 0.8633804999990389, 0.8816579999984242]",0.6245000300114043,None,32.44808159999957,None,32.44808159999957,None,32.44808159999957,None,32.44808159999957,32.9609216000099,32.44808159999957,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
-0.3,0.3,0,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,33.444794700000784,None,33.444794700000784,None,34.47162060000119,None,33.444794700000784,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.044444444444444446, -0.13333333333333333, -0.2, -0.275, -0.34444444444444444, -0.38981481481481484, -0.4185185185185185]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02962962962962963, 0.11018518518518519, 0.16203703703703703, 0.23055555555555557, 0.2953703703703704, 0.337037037037037, 0.36018518518518516]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005287999956635758, 0.018487900000764057, 0.037440300002344884, 0.0549851999967359, 0.07199470000341535, 0.08941800000320654, 0.10631850000936538, 0.12260729999979958, 0.14997939999739174, 0.16863030000240542, 0.18698150001000613, 0.20515200000954792, 0.2225146999990102, 0.23966960000689141, 0.2557688000088092, 0.28210840000247117, 0.3029778000054648, 0.3211048000084702, 0.3384395000030054, 0.35571590000472497, 0.372752399998717, 0.3977199000073597, 0.41842000000178814, 0.43680950000998564, 0.45481380001001526, 0.4730878999980632, 0.48924039999837987, 0.5075386000098661, 0.5361370000027819, 0.5522678999986965, 0.5680243000097107, 0.5836630999983754, 0.6014357999956701, 0.6176998000009917, 0.6340472000010777, 0.650974899996072, 0.6676722999982303, 0.6841456999973161, 0.7023839000030421, 0.7185697999957483, 0.7353436999983387, 0.7534414999972796, 0.7704557999968529, 0.7868545000092126, 0.803996200003894, 0.8211752000061097, 0.8381540999980643, 0.8541782999964198, 0.8707945000060135, 0.8874261000019033]",1.0522927300044103,None,35.40584010000748,None,35.40584010000748,None,35.40584010000748,None,35.40584010000748,35.9054160000087,35.40584010000748,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
0.3,0.3,0,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,36.40790200000629,None,36.40790200000629,None,37.124862399999984,None,36.40790200000629,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05185185185185185, 0.13148148148148148, 0.24444444444444444, 0.24444444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04351851851851852, 0.10740740740740741, 0.2074074074074074, 0.2074074074074074]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00048329999845009297, 0.024821800005156547, 0.04508350000833161, 0.061935000005178154, 0.07881570000608917, 0.09562420001020655, 0.11198430000513326, 0.12983479999820702, 0.146982600010233, 0.16352119999646675, 0.18218099999648985, 0.19963030000508297, 0.21577190000971314, 0.232256100003724, 0.24901220000174362, 0.26670439999725204, 0.28140050001093186, 0.2992882999969879, 0.31537110000499524, 0.33233750000363216, 0.3501020999974571, 0.3648435000068275, 0.3833935000002384, 0.4095327999966685, 0.428847000002861, 0.44703940000908915, 0.46615180000662804, 0.4858573000092292, 0.5118914000049699, 0.5287855000060517, 0.5456934000103502, 0.5622958000021754, 0.5793344999983674, 0.5958750999998301, 0.6136871000053361, 0.6314831000054255, 0.6485542000009445, 0.6660380000103032, 0.679503500010469, 0.6974891999998363, 0.7169683000101941, 0.7428974000067683, 0.7623943000071449, 0.7809858999971766]",0.740824229986174,None,37.97273480000149,None,37.97273480000149,None,37.97273480000149,None,37.97273480000149,38.4722516000038,37.97273480000149,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
-0.3,-0.3,0,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,,,38.957434000010835,None,38.957434000010835,None,39.549313900002744,None,38.957434000010835,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026851851851851852, -0.08148148148148149, -0.1675925925925926, -0.2814814814814815, -0.3675925925925926, -0.43333333333333335]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01574074074074074, -0.046296296296296294, -0.08888888888888889, -0.14907407407407408, -0.19166666666666668, -0.22037037037037038]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004380000027595088, 0.02756430000590626, 0.047742299997480586, 0.06681279999611434, 0.08440170000540093, 0.11026440000568982, 0.13160900000366382, 0.14958979999937583, 0.16685239999787882, 0.18298500000673812, 0.20999450000817887, 0.2310981000046013, 0.2504551000020001, 0.2681750000047032, 0.29486730000644457, 0.3134814000077313, 0.33231340000929777, 0.3498971000080928, 0.36693380000360776, 0.3827804000029573, 0.4000254999991739, 0.41756590000295546, 0.43213220000325236, 0.45042010000906885, 0.4667121000093175, 0.4809808999998495, 0.4998201999987941, 0.517197599998326, 0.5341271000070265, 0.5599555000080727, 0.5800125000096159, 0.6002355000091484, 0.6187374000001, 0.6436306999967201, 0.6637394999997923, 0.6850391000043601, 0.7095233000000007, 0.7288628000096651, 0.746067200001562, 0.7650356000085594, 0.7836183000035817, 0.7964227000047686, 0.8134617000032449, 0.8300430000090273, 0.8506556000065757, 0.8670274000032805, 0.8832304000097793, 0.9112152000016067, 0.9306838000047719, 0.9498437000002014, 0.9695712999964599, 0.9847332000063034]",0.5869337300100597,None,40.55117630001041,None,40.55117630001041,None,40.55117630001041,None,40.55117630001041,41.05366170000343,40.55117630001041,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
-0.3,-0.3,0,,,,,,,,,,,,,0,6,6,14,,,,,,,,,,,,,41.552434500001254,None,41.552434500001254,None,43.017539200009196,None,41.552434500001254,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01574074074074074, -0.05925925925925926, -0.12407407407407407, -0.2222222222222222, -0.30648148148148147, -0.38796296296296295, -0.4537037037037037]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008333333333333333, -0.03425925925925926, -0.06481481481481481, -0.11481481481481481, -0.15, -0.17777777777777778, -0.20092592592592592]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0008562999864807352, 0.021501999988686293, 0.03873569999996107, 0.055906299996422604, 0.07279529998777434, 0.09845069999573752, 0.11931889998959377, 0.13771019999694545, 0.1562312999885762, 0.17286529998818878, 0.1896651999995811, 0.21660989998781588, 0.2350667999999132, 0.25402629999734927, 0.2734558999945875, 0.28878879999683704, 0.30609179999737535, 0.3225211999961175, 0.3396202999865636, 0.36589979998825584, 0.3870833999972092, 0.4058544999861624, 0.4231413999950746, 0.4390216999890981, 0.4647334999899613, 0.487776699999813, 0.5057969999907073, 0.5215969999990193, 0.5390916999895126, 0.5520360999944387, 0.5684839999885298, 0.5866795999900205, 0.605484499988961, 0.6218532999919262, 0.6394971999980044, 0.6563943999935873, 0.6731698999938089, 0.6903025999927195, 0.7162224999919999, 0.7346325999969849, 0.7535590999905253, 0.7720447999890894, 0.7895057999994606]",1.4696157300058985,None,43.833106300007785,None,43.833106300007785,None,43.833106300007785,None,43.833106300007785,44.35029270000814,43.833106300007785,None,0,001,2020_Oct_14_1326,vm_20xx,2020.2.4,60.273714996512545,
