Block,p_id,Rotation,Emphasis,initsignederrors_mean,initsignederrorsdegrees_mean,initerrors_mean,initerrorsdegrees_mean,initwashoutsignederrors_mean
0,0,Sudden,Speed,0.01682739412307182,0.9641386634552607,0.09962418559322396,5.708045371919755,0.09962418559322396
0,1,Sudden,Accuracy,0.09246918869290419,5.298094247102244,0.19210392047387062,11.006743871069595,0.19210392047387062
0,2,Gradual,Speed,0.0041068130070327545,0.2353030525524072,0.1079603747803864,6.185673829566755,0.1079603747803864
0,3,Gradual,Accuracy,-0.014475937139847593,-0.8294101026099472,0.1431777101117791,8.203478509752514,0.1431777101117791
0,4,Sudden,Speed,0.06302321921852704,3.6109644725493775,0.16582706202405595,9.50119078303254,0.16582706202405595
0,5,Sudden,Accuracy,0.030629854948000308,1.75496141561832,0.09559086357430675,5.476953042818614,0.09559086357430675
0,6,Gradual,Speed,-0.014424541061933393,-0.8264653242619366,0.1469540104088271,8.419844578947364,0.1469540104088271
0,7,Gradual,Accuracy,0.031949720209826955,1.830584124646916,0.11004492912916125,6.305109995917196,0.11004492912916125
0,8,Sudden,Speed,0.03766686198007971,2.158152218960351,0.12119202319951089,6.943791439983536,0.12119202319951089
0,9,Sudden,Accuracy,0.0019369217617202419,0.11097744219361425,0.12853555019880492,7.3645445437834525,0.12853555019880492
0,10,Gradual,Speed,0.04092548764573567,2.3448577166154463,0.09071927035808539,5.197831312024568,0.09071927035808539
0,11,Gradual,Accuracy,0.05429197265740915,3.1107008947092094,0.1155021419946365,6.617785261013422,0.1155021419946365
0,12,Sudden,Speed,0.05897892899779199,3.3792437117752274,0.26164759706466995,14.991303031545137,0.26164759706466995
0,13,Sudden,Accuracy,0.020596164991844645,1.1800733281877953,0.11500843032343891,6.589497665957449,0.11500843032343891
0,14,Gradual,Speed,0.013399454449139508,0.7677321877134875,0.1158186024826089,6.635917111356891,0.1158186024826089
0,15,Gradual,Accuracy,0.028054728943904792,1.6074175638692578,0.09810674815919834,5.621102611274926,0.09810674815919834
0,16,Sudden,Speed,0.023372423666140164,1.339141233061514,0.12600961804826422,7.219819292221067,0.12600961804826422
0,17,Sudden,Accuracy,-0.009360781421110805,-0.5363332683741224,0.08673423205965397,4.969505436326452,0.08673423205965397
0,18,Gradual,Speed,0.023916827502525724,1.3703332752371367,0.42991425743680084,24.632272503629455,0.42991425743680084
0,19,Gradual,Accuracy,-0.003969508601795176,-0.22743608962374023,0.08615790603624844,4.936484387561758,0.08615790603624844
0,20,Sudden,Speed,0.0775394468896547,4.4426830525560135,0.09258891458672786,5.304954035516773,0.09258891458672786
0,21,Sudden,Accuracy,-0.034180469215224094,-1.9583966278091784,0.11412426524603538,6.538838738629369,0.11412426524603538
0,22,Gradual,Speed,-0.028590924120725763,-1.6381392844963705,0.09122137571311023,5.22659982973841,0.09122137571311023
0,23,Gradual,Accuracy,-0.004155160641787604,-0.2380731679732998,0.0744542589112086,4.265914802386555,0.0744542589112086
0,24,Sudden,Speed,0.012444665996084622,0.713026839025618,0.09770334342741951,5.597989222708392,0.09770334342741951
0,25,Sudden,Accuracy,0.004511860092549899,0.25851054105661436,0.10427397482679412,5.974458670628696,0.10427397482679412
0,26,Gradual,Speed,0.009910723948950645,0.5678426541941003,0.14554665000879624,8.339208767771753,0.14554665000879624
0,27,Gradual,Accuracy,0.0014445757621228592,0.08276809435653402,0.0896513679508962,5.136645011160766,0.0896513679508962
0,28,Sudden,Speed,-0.02791327470357121,-1.5993128329039141,0.11743989457172758,6.72881030542134,0.11743989457172758
0,29,Sudden,Accuracy,-0.0009343909826610207,-0.05353665972155787,0.10574523756753053,6.058755816227742,0.10574523756753053
0,30,Gradual,Speed,0.0313631316652655,1.796975076732823,0.11119640238728491,6.371084553829859,0.11119640238728491
0,31,Gradual,Accuracy,0.05358257240883571,3.0700552544804207,0.09414154895078844,5.393913431704423,0.09414154895078844
0,32,Sudden,Speed,0.009359425785108823,0.5362555961526531,0.09767893702415327,5.596590838808142,0.09767893702415327
0,33,Sudden,Accuracy,0.04378014650130036,2.508417620988949,0.11167132884812137,6.398295835614873,0.11167132884812137
0,34,Gradual,Speed,0.03444288221455637,1.9734317851602863,0.13419178905660725,7.688623158253424,0.13419178905660725
0,35,Gradual,Accuracy,0.029190712599532636,1.6725046329325761,0.10594835856723632,6.070393792241361,0.10594835856723632
0,36,Sudden,Speed,0.012940190604279013,0.74141830772003,0.09713356415065985,5.565343274896047,0.09713356415065985
0,37,Sudden,Accuracy,0.03057451851716105,1.7517908716779127,0.11883516877863697,6.80875362874071,0.11883516877863697
0,38,Gradual,Speed,0.011685175991608105,0.6695112671867411,0.12008500539771041,6.880363992094519,0.12008500539771041
0,39,Gradual,Accuracy,0.00833992246106619,0.4778423584854513,0.10153398118363367,5.817468598982926,0.10153398118363367
0,40,Sudden,Speed,-0.04104620935831424,-2.35177456124179,0.1126356101909651,6.453545086823027,0.1126356101909651
0,41,Sudden,Accuracy,0.010909366045056372,0.6250606315450572,0.09394316621411172,5.382546938164592,0.09394316621411172
0,42,Gradual,Speed,-0.028603007013395614,-1.6388315832506628,0.19446817618240875,11.142205744858542,0.19446817618240875
0,43,Gradual,Accuracy,-0.0175356708189742,-1.004719928857938,0.10055046557738505,5.76111730565963,0.10055046557738505
0,44,Sudden,Speed,-0.0014867085486140487,-0.0851821252016053,0.10420708083896693,5.9706259274513975,0.10420708083896693
0,45,Sudden,Accuracy,-0.0012660697468034584,-0.0725404530610347,0.09908209605912742,5.6769859294978104,0.09908209605912742
