p_id,Block,Rotation,Emphasis,avgerrors_mean,avgerrorsdegrees_mean,smoothedavgerror_mean,smoothedavgerrordegrees_mean,initerrors_mean,initerrorsdegrees_mean
0,0,Sudden,Speed,0.06447082830473899,0.070993294427696,0.064470828304739,3.6939063635741127,0.07363109691630151,3.6939063635741123
0,1,Sudden,Speed,0.46316492950764493,0.4628257701846057,0.46316492950764493,26.537395679262342,1.36688308757566,26.53739567926234
0,2,Sudden,Speed,0.47205283794786546,0.47205283794786546,0.4720528379478655,27.046635321585683,1.4220277978480673,27.04663532158568
0,3,Sudden,Speed,0.47175001216241597,0.47175001216241597,0.47175001216241597,27.02928468215169,1.5479385430455395,27.029284682151687
0,4,Sudden,Speed,0.4789892640900264,0.4789892640900264,0.4789892640900264,27.444063264435716,1.5496212403605445,27.444063264435712
0,5,Sudden,Speed,0.4607638524955585,0.4607638524955585,0.46076385249555857,26.39982410018391,1.5031579846483623,26.399824100183906
0,6,Sudden,Speed,0.49126627694826797,0.49126627694826797,0.49126627694826797,28.1474842862408,1.386763394590382,28.147484286240797
0,7,Sudden,Speed,0.4619623591199272,0.4619623591199272,0.4619623591199272,26.468493471478705,1.5242876131723746,26.468493471478702
0,8,Sudden,Speed,0.46684910617375774,0.46684910617375774,0.4668491061737578,26.748483453211186,1.4478998630795452,26.748483453211183
0,9,Sudden,Speed,0.4563816588283563,0.4563816588283563,0.4563816588283563,26.148742898044265,1.4096266114886864,26.14874289804426
0,10,Sudden,Speed,0.4769929357685848,0.4769929357685848,0.47699293576858487,27.329682077094677,1.351564068616217,27.329682077094674
0,11,Sudden,Speed,0.30088386348935986,0.28007834532757264,0.3008838634893599,17.239375501530724,0.7731263279603475,17.239375501530724
1,0,Sudden,Accuracy,0.09261394527734705,0.10062115451828181,0.09261394527734707,5.306388188447549,0.0859029428901144,5.306388188447548
1,1,Sudden,Accuracy,0.5249406649624041,0.5245522990175155,0.5249406649624041,30.076884597136726,0.885535479677452,30.076884597136722
1,2,Sudden,Accuracy,0.48746959236078025,0.4856716451619198,0.4874695923607803,27.92995028323539,0.6734818294460666,27.929950283235385
1,3,Sudden,Accuracy,0.48511694827715757,0.48488290012725704,0.48511694827715757,27.79515370654738,0.6751632646162811,27.79515370654738
1,4,Sudden,Accuracy,0.46195270542956296,0.45092349057926456,0.461952705429563,26.46794035576411,0.5379061176874647,26.467940355764107
1,5,Sudden,Accuracy,0.3693460853938931,0.36472564636854476,0.3693460853938931,21.161971872748573,0.4049709382092492,21.161971872748573
1,6,Sudden,Accuracy,0.29815653011904436,0.3088298962421963,0.2981565301190444,17.083110810086456,0.28993447876070344,17.083110810086456
1,7,Sudden,Accuracy,0.26774210966085915,0.27678429514141367,0.26774210966085915,15.340492881496097,0.2913893761881919,15.340492881496095
1,8,Sudden,Accuracy,0.3113694930534108,0.3176659751093569,0.3113694930534108,17.840157821088443,0.38529387601707527,17.840157821088443
1,9,Sudden,Accuracy,0.25659565837727294,0.2658896447640418,0.25659565837727294,14.701848266398427,0.25770878652349466,14.701848266398425
1,10,Sudden,Accuracy,0.21125178655220944,0.22060417686735218,0.21125178655220947,12.103835784040124,0.19815577416466199,12.103835784040122
1,11,Sudden,Accuracy,0.5142403628433767,0.5138666276869459,0.5142403628433767,29.463802446201566,0.5890486278164424,29.463802446201566
2,0,Gradual,Speed,0.045228471580350885,0.05129276060808116,0.045228471580350885,2.5914005353814944,0.027628018314432155,2.5914005353814944
2,1,Gradual,Speed,0.06111242634842984,0.07112710878484647,0.061112426348429845,3.5014841055691193,0.0993392547297497,3.501484105569119
2,2,Gradual,Speed,0.11569111587787832,0.13226342859444604,0.11569111587787834,6.6286126669613745,0.14562175887418147,6.628612666961374
2,3,Gradual,Speed,0.15741283384541077,0.17692051972308323,0.1574128338454108,9.019091020536118,0.21258861287631958,9.019091020536118
2,4,Gradual,Speed,0.34719876117011556,0.3268675712628886,0.3471987611701156,19.893023667218273,0.2136394283326753,19.89302366721827
2,5,Gradual,Speed,0.36254723267376854,0.3489387234617674,0.3625472326737686,20.7724263063544,0.3179458588824128,20.772426306354397
2,6,Gradual,Speed,0.400639258025582,0.3832572918667966,0.400639258025582,22.954938592118644,0.3409745019927613,22.95493859211864
2,7,Gradual,Speed,0.4069576663510019,0.38521061581432026,0.4069576663510019,23.31695672240553,0.37866482338298557,23.316956722405525
2,8,Gradual,Speed,0.3615781776355492,0.34631790925437134,0.3615781776355493,20.716903542548547,0.4424218160573911,20.716903542548543
2,9,Gradual,Speed,0.4310694689104442,0.4238601953898565,0.43106946891044423,24.698461245514306,0.5742208419891927,24.698461245514306
2,10,Gradual,Speed,0.3872616091937325,0.37199833843214364,0.38726160919373254,22.188455774245554,0.47860201405212643,22.18845577424555
2,11,Gradual,Speed,0.5569674424688735,0.5562674039177334,0.5569674424688736,31.911883779661945,0.7608544714498227,31.91188377966194
3,0,Gradual,Accuracy,0.06803558205353717,0.07134119524017485,0.06803558205353719,3.898151708383687,0.04908740496867576,3.8981517083836867
3,1,Gradual,Accuracy,0.07066625507189638,0.07781031688076678,0.07066625507189639,4.048878169614611,0.07971177783146681,4.048878169614611
3,2,Gradual,Accuracy,0.06959450562374198,0.07385036140230516,0.06959450562374198,3.987471449539888,0.08762107721715362,3.9874714495398877
3,3,Gradual,Accuracy,0.09132780268420661,0.10306980560835133,0.09132780268420662,5.2326976460085906,0.10224756247721235,5.23269764600859
3,4,Gradual,Accuracy,0.15867079621753596,0.1834308306818138,0.15867079621753596,9.091166955245157,0.1512040305563354,9.091166955245157
3,5,Gradual,Accuracy,0.15266857070511916,0.16540901307432912,0.1526685707051192,8.747264765697928,0.20355101437933776,8.747264765697928
3,6,Gradual,Accuracy,0.08666798919535433,0.09373932731321066,0.08666798919535434,4.965709999779223,0.14969700437380737,4.9657099997792224
3,7,Gradual,Accuracy,0.1572714744221108,0.1732210553531299,0.1572714744221108,9.010991722186628,0.3504466676358895,9.010991722186626
3,8,Gradual,Accuracy,0.16719087447173472,0.1782889772369227,0.16719087447173472,9.579331480331938,0.2766247605786929,9.579331480331936
3,9,Gradual,Accuracy,0.26423522491630413,0.2742163139451819,0.2642352249163042,15.13956318639428,0.3359185500436669,15.139563186394279
3,10,Gradual,Accuracy,0.14494529138842607,0.1615964421543128,0.14494529138842607,8.304753456850731,0.1349903267853659,8.30475345685073
3,11,Gradual,Accuracy,0.38787920217541777,0.38746851185983855,0.3878792021754178,22.22384124555302,0.3067961704187462,22.223841245553018
4,0,Sudden,Speed,0.0924533440563021,0.1018064411390777,0.09245334405630211,5.297186416297025,0.1349903274439104,5.297186416297025
4,1,Sudden,Speed,0.46127593263037564,0.4611722455709731,0.4612759326303757,26.42916413068142,0.7741613400705166,26.429164130681418
4,2,Sudden,Speed,0.48525107881896834,0.4852520293385002,0.4852510788189684,27.802838820496945,0.8233359209444838,27.802838820496945
4,3,Sudden,Speed,0.4510606043147195,0.4510606043147195,0.4510606043147195,25.843868931853837,0.6878455352563085,25.843868931853837
4,4,Sudden,Speed,0.463181185786702,0.46188573006893535,0.46318118578670203,26.5383270954429,0.6778450845702493,26.5383270954429
4,5,Sudden,Speed,0.4399245479932411,0.4384359233911499,0.4399245479932411,25.205819904213147,0.5882663371480995,25.205819904213143
4,6,Sudden,Speed,0.4402079513551896,0.4399436860610718,0.4402079513551896,25.222057720752613,0.653640105362411,25.22205772075261
4,7,Sudden,Speed,0.45763070582330373,0.45709485105586817,0.4576307058233038,26.220308019268252,0.6714699926040816,26.22030801926825
4,8,Sudden,Speed,0.446750930925247,0.447301654530178,0.44675093092524704,25.596942835557225,0.6673665126828653,25.596942835557222
4,9,Sudden,Speed,0.4599086258374168,0.45847076927784086,0.4599086258374169,26.350823222145312,0.6612153990618241,26.35082322214531
4,10,Sudden,Speed,0.4323772756867707,0.43235276173683745,0.4323772756867707,24.773393054216424,0.6040755485695017,24.773393054216424
4,11,Sudden,Speed,0.45555259891439764,0.4436510281298572,0.45555259891439764,26.101241264010955,0.527689397947378,26.10124126401095
5,0,Sudden,Accuracy,0.07201496247314643,0.07314788760464314,0.07201496247314644,4.126153411504296,0.02454371302105001,4.126153411504295
5,1,Sudden,Accuracy,0.24843056374051817,0.26211253548683255,0.2484305637405182,14.234022804387475,0.26627116761467595,14.234022804387473
5,2,Sudden,Accuracy,0.1585556375482348,0.1760292492658273,0.15855563754823482,9.084568849519858,0.1963495566544303,9.084568849519858
5,3,Sudden,Accuracy,0.11498182802219895,0.12396181118783411,0.11498182802219896,6.5879734663710625,0.10410396678278298,6.587973466371062
5,4,Sudden,Accuracy,0.08971657509481994,0.0949159744358928,0.08971657509481995,5.140381105301696,0.07363109691630151,5.140381105301696
5,5,Sudden,Accuracy,0.10903619364678051,0.11671818943169442,0.10903619364678052,6.247313710131684,0.11044663483774014,6.247313710131683
5,6,Sudden,Accuracy,0.10577799979420002,0.11845011819344663,0.10577799979420004,6.060632953543353,0.14726217275917877,6.060632953543352
5,7,Sudden,Accuracy,0.12485034738784488,0.1372151949089948,0.1248503473878449,7.153397976065694,0.12271848081155302,7.153397976065694
5,8,Sudden,Accuracy,0.09810990403689274,0.10797869951343432,0.09810990403689275,5.621283429747472,0.09817478886392728,5.621283429747471
5,9,Sudden,Accuracy,0.11879231535200553,0.13382144442497537,0.11879231535200553,6.806298308257054,0.1300318898648068,6.806298308257053
5,10,Sudden,Accuracy,0.08572869070680914,0.09613248099540136,0.08572869070680915,4.911892160682567,0.050355194175047614,4.911892160682566
5,11,Sudden,Accuracy,0.07812500758567113,0.08156108436221828,0.07812500758567115,4.476233209086498,0.11044663549628465,4.476233209086497
6,0,Gradual,Speed,0.07361588044372161,0.07818572986186272,0.07361588044372161,4.217879254564902,2.1073424255447017e-08,4.2178792545649015
6,1,Gradual,Speed,0.060130509506934056,0.06274011559898898,0.06013050950693406,3.445224414718594,0.09389911156004657,3.445224414718594
6,2,Gradual,Speed,0.06321384032311526,0.06922278002050525,0.06321384032311528,3.621886257328405,0.0987275616995723,3.6218862573284047
6,3,Gradual,Speed,0.07432708055355257,0.08070712769396651,0.07432708055355257,4.258628019247457,0.09361226670567402,4.258628019247457
6,4,Gradual,Speed,0.10667298830168337,0.1146871385590329,0.10667298830168338,6.111912017734861,0.15897385145580986,6.11191201773486
6,5,Gradual,Speed,0.14610355098855174,0.1543714622084256,0.14610355098855174,8.371116843518442,0.24891445669551618,8.371116843518442
6,6,Gradual,Speed,0.17428888924004343,0.1820240154945678,0.17428888924004343,9.986017769477554,0.28256002079774295,9.986017769477554
6,7,Gradual,Speed,0.18663854582574627,0.19593663255252738,0.1866385458257463,10.693600970274272,0.32710945708060124,10.69360097027427
6,8,Gradual,Speed,0.2116722435547676,0.21803033700346444,0.21167224355476763,12.127926195753426,0.402039916461096,12.127926195753425
6,9,Gradual,Speed,0.3006004391506156,0.3033283829427233,0.3006004391506156,17.22313648310939,0.2931000166199541,17.22313648310939
6,10,Gradual,Speed,0.2674560167370275,0.2738180220855798,0.26745601673702757,15.324100964411986,0.26371494876806834,15.324100964411985
6,11,Gradual,Speed,0.34458613946129657,0.3516096067684483,0.3445861394612966,19.743331469838687,0.20862140262824316,19.743331469838683
7,0,Gradual,Accuracy,0.0549399002987081,0.06147998599688905,0.05493990029870811,3.1478244139855054,0.02454371302105001,3.147824413985505
7,1,Gradual,Accuracy,0.03550604147528948,0.03892799217603764,0.03550604147528948,2.0343463237505426,0.05713415942846938,2.0343463237505426
7,2,Gradual,Accuracy,0.11838189258163397,0.13752103068088192,0.11838189258163398,6.782782815698696,0.12195267498209306,6.782782815698695
7,3,Gradual,Accuracy,0.07050459752822312,0.08113544116401071,0.07050459752822312,4.039615874635681,0.08885005735280739,4.039615874635681
7,4,Gradual,Accuracy,0.10954473923898543,0.12751392196067698,0.10954473923898544,6.276451226255007,0.1038155491226538,6.2764512262550065
7,5,Gradual,Accuracy,0.1270301938499807,0.1430981698239888,0.12703019384998074,7.278293978332602,0.1285332903093627,7.278293978332601
7,6,Gradual,Accuracy,0.15022210507325176,0.16646419870332324,0.1502221050732518,8.60709261026812,0.17766401510817276,8.607092610268118
7,7,Gradual,Accuracy,0.12714742453345879,0.14631160266106105,0.1271474245334588,7.285010801725329,0.15832060003180007,7.285010801725329
7,8,Gradual,Accuracy,0.19785914857767728,0.20991906518254883,0.19785914857767728,11.336494151552793,0.27365932370360935,11.336494151552792
7,9,Gradual,Accuracy,0.1966676463678968,0.21208835515940538,0.1966676463678968,11.26822610365186,0.17180586470680453,11.268226103651859
7,10,Gradual,Accuracy,0.14478641502820552,0.1559501371730341,0.14478641502820555,8.295650511945693,0.1349903267853659,8.295650511945693
7,11,Gradual,Accuracy,0.5183180081505766,0.5179187391060781,0.5183180081505767,29.697434312655446,0.674951550291677,29.697434312655446
8,0,Sudden,Speed,0.05752392470852873,0.06373817939784196,0.05752392470852874,3.295878106827011,0.049087404968675766,3.295878106827011
8,1,Sudden,Speed,0.25835871700575685,0.27365646648966807,0.25835871700575685,14.802864084844677,0.4466680328293512,14.802864084844675
8,2,Sudden,Speed,0.2214441499884155,0.24201072333321114,0.22144414998841552,12.687815192198187,0.3313398630249164,12.687815192198185
8,3,Sudden,Speed,0.23941708397252784,0.23034286275207397,0.23941708397252787,13.717588454955072,0.42951463147396396,13.71758845495507
