p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
8,5,Sudden,Speed,0.16241137695075955,9.30548644418682
8,6,Sudden,Speed,0.18533953222000832,10.619172973135415
8,7,Sudden,Speed,0.21461129887959418,12.296321661621441
8,8,Sudden,Speed,0.16607637301721756,9.515475250726912
8,9,Sudden,Speed,0.18457439043868143,10.575333578336261
8,10,Sudden,Speed,0.1526927054042959,8.74864758210057
8,11,Sudden,Speed,-0.15531139083940704,-8.89868720540482
9,0,Sudden,Accuracy,0.12853555019880494,7.3645445437834525
9,1,Sudden,Accuracy,1.4806297747911503,84.83383711693848
9,2,Sudden,Accuracy,1.077110555710414,61.71388891119745
9,3,Sudden,Accuracy,1.327621244145454,76.06709408144197
9,4,Sudden,Accuracy,0.6220053122376126,35.63827922593217
9,5,Sudden,Accuracy,0.267869584898889,15.34779667462763
9,6,Sudden,Accuracy,0.2284395080636669,13.088619686092848
9,7,Sudden,Accuracy,0.20705313758102464,11.863270918334287
9,8,Sudden,Accuracy,0.21838693284763327,12.512649552976312
9,9,Sudden,Accuracy,0.19453619645686665,11.146103019506297
9,10,Sudden,Accuracy,0.23241906070409474,13.316631256739507
9,11,Sudden,Accuracy,-0.16568281785518282,-9.492926200936735
10,0,Gradual,Speed,0.09071927035808543,5.197831312024568
10,1,Gradual,Speed,0.11888107048682463,6.8113836028923025
10,2,Gradual,Speed,0.11796001948951616,6.7586112680302115
10,3,Gradual,Speed,0.1398106291763185,8.01055898287166
10,4,Gradual,Speed,0.19250397601342054,11.029665365056632
10,5,Gradual,Speed,0.17374619079025336,9.95492343875629
10,6,Gradual,Speed,0.18949544432391816,10.857289196716781
10,7,Gradual,Speed,0.20605362316166118,11.806002960542292
10,8,Gradual,Speed,0.41659578154826093,23.869180045669367
10,9,Gradual,Speed,0.7626305950880271,43.69551442609436
10,10,Gradual,Speed,0.7342812834797943,42.07121851884139
10,11,Gradual,Speed,-0.4491694036269845,-25.735511114234384
11,0,Gradual,Accuracy,0.11550214199463654,6.617785261013422
11,1,Gradual,Accuracy,0.12888702938780616,7.384682817899904
11,2,Gradual,Accuracy,0.09432986641599678,5.404703227669461
11,3,Gradual,Accuracy,0.1532243889955377,8.779110807915085
11,4,Gradual,Accuracy,0.21540482939656358,12.34178761115862
11,5,Gradual,Accuracy,0.1437494467296702,8.236236604950756
11,6,Gradual,Accuracy,0.2285721618174281,13.096220186319934
