,p_id,gof,As,Bs,Af,Bf,Eps
0,0,938.8344859455311,0.4463220950700324,2.2265710035068465e-16,0.20229815117248234,2.7967469785073624e-16,0.9181754367014634
1,1,658.8156799352167,0.9949330734942267,0.0024744141360388246,0.80355366567689,0.29198446196409267,0.6168565227805946
2,2,168.37346043998568,0.6273674028914533,4.661802590317858e-13,0.6270324716880173,1.0,0.30734889029994206
3,3,1071.3540317904062,1.0,1.0,1.0,1.0,1.0
4,4,481.2864040017023,9.709495032243245e-13,0.17716335867780997,0.0,0.20903534855075234,0.4793649441288521
5,5,435.6697102104061,0.988826508216569,0.006988267526213066,0.979202880578475,0.10660346270539062,0.4492817902072318
6,6,1036.087854142258,1.0,1.0,1.0,1.0,1.0
7,7,1027.8599663644402,1.0,1.0,1.0,1.0,1.0
8,8,303.85967870720884,0.994028829707849,0.008481134603130717,0.7933080256984713,1.0,0.3725630844179868
9,9,742.7025820008993,0.9986211583284699,0.004458616016967519,0.0,0.4300378746497186,0.6949246959558306
10,10,220.5813635153633,0.8753289612475581,1.771210535131117e-11,0.5617964593372899,0.8389458166911794,0.33100800795314056
11,11,110.6359609653476,0.7046333222691361,0.15770320860934944,0.7046322103663671,0.7246498046506267,0.2831481291384387
12,12,985.3052988226552,0.6232947583695969,6.467000166628805e-18,0.5966670177823231,1.1725133399391802e-16,0.9808290136583808
13,13,746.5215660027222,0.9991241209014512,0.0006139633124034598,0.0,0.17801269830063876,0.6987049700214341
14,14,426.2829274512376,0.3307791297270286,0.0,0.06717960160461542,0.4320844370341002,0.4433325407479873
15,15,1038.8670632216495,1.0,1.0,1.0,1.0,1.0
16,16,754.4844356126837,0.0,0.06262829114273508,0.0,0.07379060781541241,0.7066748693350102
17,17,316.2541647410636,0.9880199514225319,0.0820074401560657,0.45670215664234537,0.6697435039594335,0.37919158929685753
18,18,290.0776923724435,0.8896836486105933,0.0,0.6183733632951047,1.0,0.365349688267482
19,19,1025.0649314084271,1.0,1.0,1.0,1.0,1.0
20,20,557.5352537925122,0.9981308362594157,0.0042295641646553726,0.09082767399845545,0.38583606206537724,0.5341999791525811
21,21,427.3884380170475,1.0,5.393458305199064e-05,1.0,7.417346060998013e-05,0.44404015811702013
22,22,597.3379251896487,0.65558951429043,0.48565940662469176,1.9454190537678124e-05,0.4856618579119715,0.565258357897968
23,23,1029.0058568076342,1.0,1.0,1.0,1.0,1.0
24,24,523.5506786677985,0.36073027345500713,0.00688509645452511,0.36066924901892417,0.1933753938023921,0.5090245367963928
25,25,526.9170499212839,0.997926306314157,0.0038989971957573847,0.13638597190782498,0.6935352787818609,0.5114728108348744
26,26,324.3384248045491,0.7589593469541542,7.738834047454756e-15,0.6638258772190317,1.0,0.38357100110438985
27,27,114.28343735498937,0.8015738602014906,0.3246193738355127,0.8015618320090974,0.46049090875001997,0.28461964784224336
28,28,895.006486401974,0.9952398267482572,0.01020788146729492,0.0,0.5087648889018783,0.8627567246488341
29,29,821.1328373125781,0.9988706662971412,0.0008034649670142116,0.0,0.18120184255540062,0.7768133032890459
30,30,180.8346067412716,0.715971996999206,0.0,0.41859490412732214,0.7366177175273573,0.3128375619036574
31,31,1054.0967545482156,1.0,1.0,1.0,1.0,1.0
