,p_id,gof,A,B,Eps
0,0,-375.0641781247,0.6790305529721604,0.8010473587845305,0.1420325906982574
1,1,-68.2305312268672,0.750319296236533,0.8584972548844902,0.21961998714802128
2,2,-161.90266811007237,0.6894690569910725,0.9454558267695236,0.19225933324184533
3,3,-205.29474545165533,0.8069859519260902,0.9591454249518532,0.18076632017002492
4,4,-310.2107416692375,0.6528110104194238,0.8987109161950388,0.1557376498073006
5,5,-451.58000817665106,0.8976472715230832,0.8416479040344583,0.1274039533691937
6,6,-363.38724494883274,0.7522657413513028,0.9269452467647858,0.14440828753753598
7,7,-192.34556106477763,0.7928386523808075,0.9486135522607249,0.18412193144202676
8,8,-406.71946560334214,0.8892915775198382,0.9382479952721922,0.1357863375324418
9,9,-88.5903661036892,0.8147483939296576,0.7935136410509812,0.21335944122950232
10,10,-216.4655700458815,0.7154463167039844,0.8560832098668374,0.1779203154694272
11,11,-292.7393838848761,0.7424183042568513,0.9263672246975284,0.1596510789449783
12,12,-279.9203070072574,0.7019816263729932,0.7861109051071639,0.1625845227771644
13,13,-239.0996841059277,0.7218898994738678,0.7852137976672314,0.17229108287547884
14,14,-286.95508309394864,0.6030894339129302,0.865360793832144,0.1609688504843058
15,15,-466.5439417139348,0.7791124843290747,0.9687956717882571,0.1247248488646161
16,16,-221.5729880734697,0.6804306645798378,0.9151455767199597,0.17663492915976142
17,17,-523.0241318113438,0.8725326898643441,0.9257367645624233,0.11510957289077486
18,18,-131.26465997356593,0.6957503956007245,0.8068629428661891,0.20081044066217751
19,19,-278.25760582405815,0.7967382018972878,0.977550282177134,0.1629706189018819
20,20,-207.45135217166384,0.78949296595049,0.8841365679150752,0.18021453956346362
21,21,-446.1330474252156,0.6819487292204509,0.8063170269989559,0.1283931317432631
22,22,-255.9875107555796,0.76446626226487,0.897094761556801,0.1682077540723792
23,23,-402.57986188696594,0.763350677303622,0.9722804756133383,0.1365885864119072
24,24,-320.7024370271428,0.6906095590337573,0.8082940235355625,0.15343453526690543
25,25,-184.87030782618675,0.7649244150256909,0.8784818923636337,0.18608805818264668
26,26,-181.1532236903649,0.7530622678855294,0.9336607335692038,0.18707248386244307
27,27,-190.54751676245328,0.7816313561751662,0.8325254577254542,0.18459295565700812
28,28,-409.48190819150983,0.8908563510103183,0.9093127805215302,0.13525594276139463
29,29,-356.2790945539344,0.7299022370990202,0.8349601771056734,0.14587339110742792
30,30,-254.66087184367305,0.6279533485888207,0.8919138482789477,0.16852485853805588
31,31,-265.5103581466072,0.7489677957014647,0.9244224971688348,0.1659472115315097
32,32,-233.98849209682922,0.6949744466095978,0.8010830015937169,0.17354600299950768
33,33,-151.83198096119182,0.7432268826973697,0.8055780184125925,0.19502909407190236
34,34,-206.99067585538015,0.6941250016585578,0.8628910050798364,0.18033159307875263
35,35,-366.3042722923554,0.7685777424062785,0.9416490822226044,0.143811714387248
36,36,-219.57978589915365,0.8731782648497719,0.822087349823311,0.1771360819032397
37,37,-262.9093981691196,0.8662770693150854,0.8897824647511933,0.16656097920966714
38,38,-196.52109099093005,0.7202480097055408,0.8993384737643959,0.18303415666159684
39,39,-223.93082410062365,0.7301887598742371,0.955187634450205,0.1760433016750475
40,40,-569.2080641413401,0.6861835816119162,0.8020657398438659,0.10780007824439028
41,41,-379.5667066806485,0.8749445267298307,0.8571087244658393,0.1411276846868535
42,42,-238.29011104749833,0.7081612388199574,0.9339322283827071,0.17248929997516044
43,43,-362.86457213330317,0.8107812512428441,1.0,0.14451499999340858
44,44,-388.67182695708874,0.664082033794842,0.8648076318093758,0.13931386364254134
45,45,-217.61510473167976,0.6721621373746354,0.8287792903072189,0.17763030652106954
46,46,-221.85919369908459,0.6475311279581222,0.8952425355792738,0.17656130426385314
47,47,-180.62126416958088,0.7206639839500899,0.9289548594197703,0.18721345037749665
48,48,-184.0386911480982,0.8102828459734281,0.8415112274909429,0.18630744026693685
49,49,-353.81332103065847,0.9055712784953733,0.8250954922426452,0.14638479502660146
50,50,-180.135365473075,0.7831308309273843,0.9654540649341885,0.18734379431135267
51,51,-265.89167970767915,0.7889693198607202,0.9310607187820208,0.16585687445791045
52,52,-313.13690477051955,0.8858491278987308,0.7497279176606457,0.15509181635353975
53,53,-421.13026372299396,0.9117882334609815,0.9588668884615482,0.1330369182434408
54,54,-135.37917353071953,0.7517196728023179,0.9276397026930162,0.19964004204963132
55,55,-356.2559579748643,0.7384088355085309,0.9146054623054094,0.1458788252490149
56,56,-263.4934192786599,0.6752001479248287,0.8347436194362845,0.1664233152405819
57,57,-536.6040019478212,0.9225056091520852,0.9273072654759644,0.11291113674415633
58,58,-170.53292324794253,0.648460993923622,0.8546659825898617,0.18991615766845385
59,59,-355.2006460989982,0.747987862055727,0.8597600748543159,0.14609800600314699
