,p_id,gof,A,B,Eps
0,0,1658.3542408356052,0.999,0.34028071385786285,0.999
1,1,661.0474871577792,0.999,0.007866385174291978,0.6797509732215006
2,2,132.5281277289634,0.9522226787167014,0.17945086537146157,0.297641611219837
3,3,247.26226153215396,0.9989999999999999,0.999,0.35608311000439796
4,4,472.63524437103047,0.5947016785989477,0.1665252333057839,0.5063899467838042
5,5,495.5889048351691,0.9989999999999999,0.1525525001867847,0.5248812123880117
6,6,-26.30213275916529,0.9601602064344035,0.1943229554747738,0.23222876792482317
7,7,-195.52366879429297,0.9893998111489708,0.32984224355271347,0.17827236186035123
8,8,381.9330646676022,0.9883640737964151,0.8095379221183079,0.4394772765378335
9,9,840.1884224773867,0.999,0.012654256155035995,0.899312967053974
10,10,252.03828074225166,0.7861381838373868,0.5352730162163636,0.3587496486131795
11,11,121.25560042770509,0.9781999430895933,0.0985696823784665,0.2924476132836649
12,12,1752.1363507191397,0.7540570784935502,0.09037285478157636,0.999
13,13,856.7003482092375,0.999,0.0017257038611420308,0.922784920042858
14,14,506.6088804381974,0.0,0.6268738233798573,0.5339968468965126
15,15,-142.14785122920742,0.967308490889089,0.2933976338810681,0.1937778273440387
16,16,860.6118407708063,0.27203653781849146,0.20301513224922219,0.9284557982276083
17,17,379.3028290142635,0.9989999999999999,0.999,0.43767635704487406
18,18,253.52004045868702,0.9714188009510138,0.15460991280598035,0.35958324377200146
19,19,-106.43062308584952,0.999,0.6318753658309378,0.20489945313636984
20,20,546.3628275369609,0.999,0.005697265256044947,0.5682290053067105
21,21,633.4057769567185,0.9989999999999999,0.0003191772980929783,0.6509887099285652
22,22,612.9830036650733,0.9864174862431925,0.061121886905104866,0.6305534041114078
23,23,35.400727428576516,0.9881896271993149,0.29081081613476634,0.2557315413695507
24,24,570.4946805500534,0.9909372066416684,0.003995758453309098,0.5900444887248493
25,25,628.1212685763489,0.9989999999999999,0.007690890145530224,0.6456657736711797
26,26,312.29322097506866,0.9945088092191151,0.033927232243258186,0.394167411884303
27,27,104.93734487215004,0.9875045292161398,0.1863922473927616,0.28508178597974143
28,28,938.5743203355619,0.9484356023419553,0.6916987720359284,0.999
29,29,1204.1118607348976,0.999,0.7462354685201598,0.999
30,30,214.14308027035594,0.7087819330017788,0.4118572699442693,0.3381247700669703
31,31,-114.88586182196129,0.9688817686114009,0.11670591964990576,0.20220911448764228
32,32,811.2825087923064,0.11384643885814175,0.5007062063813421,0.8595804441681546
33,33,605.8729109734387,0.9975428786145659,0.009086321833273302,0.6236057198486875
34,34,71.8207669368814,0.8957642576890683,0.3759973526858281,0.27070706650981047
35,35,27.41597795249304,0.9477994271431617,0.6463329150902795,0.2525611570425669
36,36,616.0835686852497,0.999,0.008901895205865356,0.6336248338101425
37,37,722.1478727849591,0.999,0.44542554994866984,0.7478288174455896
38,38,336.0797735612262,0.9646298614720044,0.1628351907071479,0.40909216325567177
39,39,-65.07604086149179,0.9810434841527822,0.23871730100247585,0.21857561212438423
40,40,1904.9412833331512,0.507212152107679,0.31023696604625733,0.999
41,41,169.66922736173913,0.9989999999999999,0.9199470136667716,0.3154269456176474
42,42,628.1813007799656,0.8891254807518028,0.38516183419432176,0.6457099718908352
43,43,37.192049936966704,0.999,0.119399709400875,0.2564513379488569
44,44,854.4601558098826,0.5680332129658356,0.1011128309516233,0.9195739175152309
45,45,1407.9877000587385,0.9876735391426491,0.2196513448581904,0.999
46,46,575.8188389171075,0.13207331266854533,0.8242960897501299,0.5949826391948991
47,47,50.934970003979394,0.9786306783548395,0.2929157375396927,0.2620158405806448
48,48,1006.7151348386799,0.999,0.006019225040507899,0.999
49,49,523.2901616418663,0.9605565867051011,0.999,0.5480946530451678
50,50,151.39683761022138,0.9914201279229005,0.13748897614521577,0.3065482160284767
51,51,182.66303244874962,0.9989999999999999,0.09633908857453996,0.3218996722299379
52,52,595.5666766634351,0.989019188682581,0.999,0.6136396445558383
53,53,423.4789604002465,0.999,0.8121959124227494,0.46895328068205955
54,54,203.90253695592725,0.999,0.05575853109935429,0.3327591344084312
55,55,129.91750741622778,0.9634789554965635,0.2992805432199793,0.2964299532875455
56,56,725.8981276389623,0.09616900283397184,0.20169364989749566,0.7522227298122361
57,57,540.6940007039884,0.999,0.999,0.5632108076845821
58,58,238.14048603204117,0.9664572396834377,0.10519519624872489,0.35104676999528706
59,59,-234.5995242287212,0.9099067825357126,0.4523140139423555,0.16771321381577836
