,p_id,gof,A,B,Eps
0,0,938.8344859456453,0.16138159481516579,0.0,0.9181757845404084
1,1,659.8406474323289,0.8458993882402115,0.28388551315461574,0.6177537189336564
2,2,168.3436862004617,0.6363724703637781,0.9733194755759342,0.30733693346227875
3,3,299.28912136054873,0.7535594403234889,1.0,0.3701615289110356
4,4,481.28640408940214,0.0,0.38620582401809667,0.4793685947350408
5,5,435.6719142639677,0.9802516257210638,0.11326163040262455,0.4492933807450996
6,6,-23.91492217154134,0.7163642038477436,1.0,0.23389058406686725
7,7,70.64798902406903,0.868949209056568,1.0,0.2675121807620192
8,8,304.436590977227,0.8453410606629073,0.9158783176499237,0.3728795445914664
9,9,760.8397744732102,0.997617169885868,0.006218175555506423,0.7130628983895801
10,10,220.5813635189435,0.5617890201094442,0.8389652669193193,0.33100846583623716
11,11,110.6359609266782,0.7046208943236141,0.8823915820113076,0.28314750858668275
12,12,985.3052988227056,0.8523476385615492,0.0,0.9808292599288567
13,13,754.115767875049,0.9969988884485225,0.0015448781834040933,0.7063182450301653
14,14,426.28202491855274,0.08312850345886803,0.4247826386048834,0.44333744771982164
15,15,37.81575443798683,0.7952647655676419,1.0,0.25532551095610145
16,16,754.4844342212817,0.0,0.13640976597306126,0.7066481970181668
17,17,327.52054682588033,0.9771627164648605,0.17368690028613043,0.3853076690855185
18,18,290.0748268517967,0.6223034381866406,0.9891782266476492,0.3653492643811444
19,19,-88.83171914360639,0.8386229527328033,1.0,0.21328201034680339
20,20,588.5392331149129,0.9971936400038476,0.005992107709550622,0.5582792316044014
21,21,427.388394632625,1.0,0.00012806601742989946,0.4440404419206133
22,22,597.7130017667336,0.6613837868739252,0.6457875569022877,0.5655746757723481
23,23,-54.689214552597015,0.7936338515844272,1.0,0.22388800855767832
24,24,523.550678668459,0.3606762728352533,0.20025858649356584,0.5090243249442448
25,25,557.3985049143431,0.4748482730672845,0.8989539403538243,0.5340953714237706
26,26,324.25491481081855,0.6804335246106303,0.9469865908130772,0.3835260815410728
27,27,114.28343732586475,0.8015650171952222,0.78511875584783,0.284619334097991
28,28,902.1703203512877,0.9927330761062718,0.01723143622098322,0.871568839104155
29,29,826.3557840336497,0.9964254335470559,0.001982722495435764,0.782630649219842
30,30,180.83460675075466,0.41860013859907996,0.7366157607177886,0.31283752484417215
31,31,233.51904116124354,0.6809168520964801,1.0,0.3371503979049687
32,32,614.8264552505584,0.0,0.3040142973574653,0.5794903860349605
33,33,582.8607494977106,0.654829504465051,0.5366039538965706,0.5537676134922763
34,34,92.05961807009831,0.7040344450520919,0.7857678839579338,0.2757744142060634
35,35,42.66421963461565,0.7656777736800539,1.0,0.2570839759873651
36,36,618.4865080677789,0.996411089359199,0.011329609371591482,0.5825261604511549
37,37,665.1125966418032,0.880654494559485,0.3785097895121948,0.6223968498322445
38,38,393.22465352933136,0.6662504550346104,0.778576704846633,0.4230006646183748
39,39,84.17509350056582,0.796063319404539,1.0,0.272707241610021
40,40,872.5177647944441,0.9391423987657956,0.0,0.835632077676943
41,41,80.65633130925926,0.8568561255035907,1.0,0.2713420010995009
42,42,533.8926571647643,0.42726250583300196,0.7201942120140523,0.5165589925108258
43,43,21.70103070978866,0.8296236337371565,0.9268642642991105,0.2495467412722235
44,44,594.3288311814443,0.0,0.07353931619677348,0.5628697708647343
45,45,919.1102688054127,0.0,0.15978683286907494,0.892808441771122
46,46,539.1998229302444,0.23317773088844995,0.5236527159870676,0.5204655503195663
47,47,98.90622675393682,0.8044135466073148,0.9498807672624447,0.27846893535633443
48,48,839.3322207772751,0.9990471325207089,0.002611709702308556,0.797150748215379
49,49,469.925435568334,0.9777066795326774,0.11664529551838407,0.4717021118221211
50,50,241.00183035036218,0.7528780112553741,1.0,0.34075195436859257
51,51,210.66922045873625,0.7746426437974128,1.0,0.32638112593034985
52,52,525.4601754218173,0.9233513204370964,0.3148839980875505,0.5104079783584172
53,53,378.5643188056296,0.8508296162695714,1.0,0.41428526024537105
54,54,127.5164866457049,0.771162206193352,0.8104900670278105,0.29002063990381766
55,55,115.94416756483389,0.7514850097851956,0.8983789611014555,0.2852905458449936
56,56,617.1939679316949,0.0,0.14008769221808398,0.5814396348884381
57,57,500.72244040766714,0.9806804703125658,0.12142873468573717,0.49278891534429725
58,58,278.94817724744723,0.5926374071615641,0.8640490892556709,0.35962151896598793
59,59,64.17137216505827,0.7653643968467392,1.0,0.26506017608134047
