p_id,gof,test gof,As,Bs,Af,Bf,Eps,cv itr
0.0,inf,inf,0.999,0.1623443705787936,0.999,0.1779545378937994,0.999,0
1.0,580.91646286861,59.937934347177546,0.9989999999999999,0.006928160282193964,0.7689498487675814,0.18004843780642682,0.6633902945897641,0
2.0,126.18739934938984,6.4760719809361476,0.96227735475552,0.00012355580771722586,0.9583546704871754,0.15928801133904474,0.30123321404991055,0
3.0,inf,inf,0.999,0.999,0.999,0.999,0.8819767100071814,0
4.0,418.39944986149305,53.40611089975667,0.9959791368416381,0.0007620000927475494,0.5326493124537032,0.14368964766023287,0.5003009831940581,0
5.0,inf,inf,0.999,0.074789649242648,0.999,0.0777413826836807,0.5248782484132213,0
6.0,-12.925897162155485,-14.1207685314537,0.9571587002781736,0.1872207053061703,7.000073053636748e-05,0.4972036007948982,0.23655796295758585,0
7.0,-164.1369080316242,-31.113714080478392,0.9899307863155944,2.3713440264653593e-05,0.9898566389959214,0.3236594202930092,0.18197233681410158,0
8.0,333.326103304157,48.75570548636028,0.9905512661178404,0.46922492584052605,0.5624909331267246,0.4692256397698753,0.43143789077262185,0
9.0,752.8269533651313,85.98044737785891,0.9989999999999999,0.014811632603313273,0.8378891655560428,0.058068685599637425,0.8940910662940422,0
10.0,224.69799515811587,27.374915795697,0.9989999999999999,3.281642598703769e-15,0.8075764979207667,0.48763874605469604,0.3574222264028923,0
11.0,97.09389642089958,25.39852167770004,0.9606238391996405,0.1591556099107561,0.520442637187564,0.3472359640906044,0.28639857558333137,0
12.0,1622.6748522870935,129.66098025434826,0.7629540089558957,0.034499434532996094,0.7629111247203408,0.05983765184537581,0.9989999999999999,0
13.0,771.9391850453962,78.81199626080523,0.9989999999999999,0.0011430518648592547,0.6264716390138076,0.09662007917664901,0.9242600106082808,0
14.0,456.5893080970954,50.02702991511194,4.398288542353737e-05,4.405490113756627e-05,0.0,0.6207003238387359,0.5346095700276535,0
15.0,-136.96458344536012,-5.137370025479759,0.9701662968758704,0.2647214403802838,0.00041475377857283654,0.26472573160178936,0.19076766986012206,0
16.0,778.5258200316797,82.17972383201558,0.2669915301606154,0.04408491023713447,0.2669802539303089,0.15041192606776504,0.9349036857168285,0
17.0,inf,inf,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.999,0
18.0,223.87110248583838,29.747029745318475,0.9662495995662166,0.029386251775347892,0.9661349230737251,0.14938642340707986,0.3569181796558063,0
19.0,-131.79262251898177,27.97010018750215,0.999,0.22286802771719832,0.9989999999998729,0.4047130676117144,0.19248443793713182,0
20.0,inf,inf,0.999,0.0002209374615183,0.999,0.005476693955101,0.5682496480640663,0
21.0,inf,inf,0.999,0.0001572447477229,0.999,0.0001617972719787,0.6510332084914938,0
22.0,539.7467187197492,73.57937307243836,0.999,1.7315928892188795e-06,0.983610984213254,0.07505408417133592,0.6176242908905183,0
23.0,23.126158850330096,10.43076421248813,0.9916575042300618,0.2255184802863358,0.060633969281686836,0.7199504403230657,0.2518833969190545,0
24.0,522.3652269429658,46.133455249658894,0.9920217352478461,0.002037704203867412,0.6394218540724681,0.0688104435282932,0.5992609249948111,0
25.0,558.8921158318067,59.937074129423955,0.9989999999999999,0.007810738850495938,0.27395763370873677,0.19541285815799192,0.6384941951477408,0
26.0,295.28244253437623,16.835490227225492,0.9989999999999999,0.009400612521271768,0.9832859106842683,0.03688959877566486,0.4040153023031321,0
27.0,96.64158325382303,8.314829120299978,0.9881960561445979,0.02347280127689971,0.9881930907174287,0.1546297764679762,0.2861877665825926,0
28.0,816.3997929705413,119.22532723125413,0.9989999999999999,0.019894425954664646,0.3633122557037787,0.9989999999999999,0.9989999999999999,0
29.0,1095.6313144700684,108.06918323516425,0.9989999999999999,0.24577879087450413,0.8700577991949437,0.4494199757642611,0.9989999999999999,0
30.0,199.78783553366142,14.475250419776234,0.6681349663815501,0.21582879440240854,0.6680360901988551,0.24844641552705382,0.34229566859278415,0
31.0,-92.22445159148579,-22.366800565531268,0.9648667626815959,0.1275864908706824,0.0001397811944495391,0.12762522204300242,0.20616884960093623,0
32.0,719.1059105186246,92.45433303086885,0.15970229644562733,0.25259269697310816,0.004492364114509921,0.2526011701537668,0.8432406741451473,0
33.0,528.8368113270021,66.53535926717811,0.9989999999999998,0.005423409553922518,0.8263800099946843,0.08948402323460275,0.6060325734576102,0
34.0,64.48592927414559,6.521605900546556,0.8804571618170747,0.351222461630072,2.414582078710579e-07,0.6737771547499259,0.2706351084513419,0
35.0,30.828387266409138,-3.337675617838758,0.9491213515144719,0.317688335427188,0.9490566392579025,0.3176977786286522,0.2552723960948794,0
36.0,540.3557583745761,68.16369781636305,0.9989999999999999,0.009617601478831828,0.7335785742027077,0.10122529451678448,0.6182751067243979,0
37.0,inf,inf,0.999,0.1680970128882264,0.999,0.2773445563846306,0.747827375937175,0
38.0,309.8624470759861,25.660131704531633,0.9493792028109146,0.18252791957180275,3.1103580301314925e-05,0.8514596270790243,0.41438019725151265,0
39.0,-66.89398903917238,2.0490031570288516,0.983410798936165,0.00045542964437281306,0.9833344094203016,0.22116915570249734,0.21543628968643655,0
40.0,1727.436026812796,177.78883044570944,0.5282605939897614,0.009162059712868296,0.5281611212616972,0.3123955313331809,0.9989999999999999,0
41.0,inf,inf,0.999,0.8482322019104522,0.999,0.999,0.3010526140979441,0
42.0,562.5538281486374,63.0291531792364,0.8228194152400745,0.5307595234342756,5.242824312865123e-06,0.6911747570685984,0.6425669992899459,0
43.0,inf,inf,0.999,0.0,0.999,0.1194117602909173,0.2564490020616797,0
44.0,729.5064218036425,128.482761789204,0.5015443548432086,0.002838857786516061,0.5014340564177843,0.09995628949923407,0.8586154392805103,0
45.0,1263.261789403942,144.73206068009014,0.9884491032076718,0.06327680596004105,0.9884452416676361,0.14783624607323814,0.9989999999999999,0
46.0,523.4908041910235,52.44013817075377,0.23993198853405814,0.420911032462297,0.009626735229463858,0.4209118255563712,0.600434561796826,0
47.0,63.695551151947335,-12.10834374675938,0.9960162004016373,1.696588692204296e-07,0.9776630487140388,0.2914273852441278,0.2702653937538596,0
48.0,899.421714321016,101.10109035960201,0.9989999999999999,0.006324482641648215,0.5140006832426862,0.222918714128839,0.9989999999999999,0
49.0,inf,inf,0.999,0.9989999999999998,0.999,0.9989999999999998,0.999,0
50.0,141.06060331381252,10.51976075874006,0.999,3.29036093161094e-08,0.9898914990309426,0.14446981958618443,0.3091216538773117,0
51.0,inf,inf,0.999,0.0,0.999,0.0963680162288418,0.321896451221842,0
52.0,inf,inf,0.999,0.9989999999999998,0.999,0.9989999999999998,0.999,0
53.0,inf,inf,0.999,0.0109255419203786,0.999,0.8012800652499947,0.4689529960031549,0
54.0,inf,inf,0.999,0.0263634587789081,0.999,0.0294018810549251,0.3327666681154233,0
55.0,129.4468590246231,0.8916899992844065,0.9779463739383922,1.3684614651776134e-07,0.9629418874467578,0.2874775426951861,0.3029461308460298,0
56.0,626.5112318167277,100.84163214228275,0.11625938559172587,0.10053907503608292,0.006592942031855459,0.10261893486940102,0.7180449758125542,0
57.0,inf,inf,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.999,0
58.0,224.31304909217278,14.092301990077594,0.9704147067842919,0.00031619757446106666,0.9703409107854741,0.09228303511628919,0.3571834479356568,0
59.0,-201.55018134698636,-32.74554036855985,0.9028666403460882,8.452654633215873e-14,0.9028612187688262,0.4764770377394776,0.1705605492828871,0
0.0,inf,inf,0.999,0.1623443705787936,0.999,0.1779545378937994,0.999,1
1.0,576.3440394417986,64.42105105296628,0.9989999999999999,0.007328488917978149,0.7792088364475978,0.1363094081741099,0.6581339095432621,1
2.0,47.03893320838992,96.5415414895248,0.9490298184460804,5.950629927576449e-05,0.9489501252268615,0.18672436019540867,0.2625601837585589,1
3.0,inf,inf,0.999,0.999,0.999,0.999,0.8819767100071814,1
4.0,430.03473810517767,41.43381071146202,0.9948256422818382,0.0006762629867900745,0.5403212774682544,0.14726213088633913,0.5105101866998045,1
5.0,inf,inf,0.999,0.074789649242648,0.999,0.0777413826836807,0.5248782484132213,1
6.0,-11.937139914400186,-15.102424128661236,0.9539117028260591,0.1985665368207756,7.637287351555441e-05,0.5931195174548025,0.23700477383453952,1
7.0,-171.51286704354266,-23.93127165987221,0.9984421562726082,1.006217630131117e-08,0.9900319908761837,0.30564919092707543,0.17965618390026272,1
8.0,347.2973034779669,34.501307228725615,0.991853502034233,0.4688480054773525,0.44565693154901476,0.46885470927119266,0.44220064364583234,1
9.0,752.4070701079194,85.80817874437876,0.9989999999999999,0.01256696578408946,0.6618930262215232,0.09064186883749857,0.8934391813677078,1
10.0,238.52398449048832,13.82930173139623,0.9423188339094462,3.833402710558124e-15,0.7775434223457008,0.5445114635523495,0.3661064170661536,1
11.0,106.75089191779267,14.231040602671781,0.9777455345402752,0.09718454393564704,0.009275883954037287,0.2591226481303984,0.2912402118226197,1
12.0,1566.711212563405,185.43395090392386,0.7565693614735259,0.03377860488718973,0.7564917648233322,0.0572212117102393,0.9989999999999999,1
13.0,775.8453414088466,75.26950930693148,0.9989999999999999,0.001135362539387154,0.6444489051511064,0.10609863700122193,0.9305481200432689,1
14.0,463.84028008774266,43.05396369873042,4.340519539494268e-05,7.730513830456907e-05,0.0,0.596166096630933,0.5413516707407933,1
15.0,-127.82831926276728,-14.249312438443502,0.9643088355357265,0.3204915270068579,0.0,0.320494000611274,0.1938034087083338,1
16.0,771.9981812114664,88.72445882291626,0.4931789496629143,0.0,0.3438364889399772,0.17233006202963397,0.9243511160557969,1
17.0,inf,inf,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.999,1
18.0,233.02196005836603,20.625409772978085,0.9683265040663764,0.019211078486047625,0.9682972961276757,0.1450549448637187,0.3626263594193466,1
19.0,-105.54216034751353,-0.6656216634988439,0.9989999999999999,0.24162594166258522,0.9989999999997935,0.34129883178435305,0.20145821412324855,1
20.0,inf,inf,0.999,0.0002209374615183,0.999,0.005476693955101,0.5682496480640663,1
21.0,inf,inf,0.999,0.0001572447477229,0.999,0.0001617972719787,0.6510332084914938,1
22.0,541.3254769087799,71.88816905755324,0.9989999999999999,0.0008523729955936823,0.9871474844687673,0.053884954345681274,0.6193251172276014,1
23.0,27.040134856746942,6.510903905208928,0.9917511324793363,0.2296576741344589,1.9929061885928646e-06,0.6804223003099699,0.2535936876346135,1
24.0,499.5607702820647,70.20906671121999,0.9917547634890111,0.0031234326930173056,0.1689735596666776,0.03883486582379903,0.5760010028042393,1
25.0,564.4176366977383,54.23362259583436,0.9989999999999999,0.007939462159590713,0.3308597859276379,0.2386099542724328,0.6446372276486553,1
26.0,287.4978964812662,24.450743901427742,0.999,0.008931017243147054,0.983959013780366,0.0335566612499531,0.39857260492275753,1
27.0,98.1851538076885,6.7871449851999754,0.9873275544112359,0.026354430128874277,0.9873244848173107,0.1585572223242137,0.2869327205767091,1
28.0,843.8176027541552,91.01826600110144,0.9989999999999999,0.02449574208051878,0.6029538554902814,0.9989999999999999,0.9989999999999999,1
29.0,1080.2769852608494,123.56629680270505,0.9989999999999999,0.12251861350387808,0.7170037842197916,0.4743161359971222,0.9989999999999999,1
30.0,194.33316549440684,19.838175161637423,0.7253194810064392,0.18520777398082644,0.7252994467021474,0.20772416315621156,0.3390681369649212,1
31.0,-103.31937655418515,-10.788102471037682,0.9626769268941561,0.10614054149834293,0.00021840493805596388,0.7738709169025526,0.20223995390445815,1
32.0,740.1489658477273,71.43981903076225,0.0020000875791915283,0.22091901060310035,0.001996464897161469,0.35126474678490444,0.8746325418321141,1
33.0,539.1903637784022,56.11037892842264,0.9989999999999999,0.005438911004288716,0.8291169662516986,0.08987533613299066,0.6169926885820765,1
34.0,69.91274403886267,1.1213550943979333,0.8732229443281576,0.37788072473080114,1.9195586685795233e-05,0.6090277005216846,0.27318255635994027,1
35.0,21.771471661160938,5.710212214149513,0.9421687918617971,0.36536856397387796,0.9409225176297167,0.36537132864065364,0.25130974567422315,1
36.0,545.7923427063171,62.456890299569714,0.999,0.009479445267082751,0.7185724376809932,0.09788172822173548,0.6241375587737781,1
37.0,inf,inf,0.999,0.1680970128882264,0.999,0.2773445563846306,0.747827375937175,1
38.0,299.71720679276825,35.73538925246831,0.9625761749173201,0.13692859848005717,7.657115800390256e-07,0.87441319420311,0.40713237848831696,1
39.0,-49.92887653758574,-14.844808771526889,0.9824450383979801,0.0003053529917384735,0.9824110193660753,0.2114909291500756,0.22187970865650983,1
40.0,1696.1999456562771,209.30075389333746,0.6978956737853075,0.011562332904115034,0.6978950115132374,0.1616996642828658,0.999,1
41.0,inf,inf,0.999,0.8482322019104522,0.999,0.999,0.3010526140979441,1
42.0,577.3960407342206,48.41339243641389,0.8507952312193685,0.3767859127124098,5.4273004385865206e-05,0.776167273546527,0.6593019611568789,1
43.0,inf,inf,0.999,0.0,0.999,0.1194117602909173,0.2564490020616797,1
44.0,773.3726783794004,81.14073010919194,0.4959953447291089,0.0024892186770676126,0.495858568047424,0.11260664506924922,0.9265589098005489,1
45.0,1271.7315341450098,136.6757505628787,0.9929076472853178,0.07074771313123385,0.9929064993244676,0.15784105278042243,0.9989999999999999,1
46.0,519.6205328427845,56.26329872466835,0.5177753558076492,0.30954744140139767,0.015147162517614094,0.3095475111464268,0.596434415091104,1
47.0,63.66346449275073,-12.058100663926572,0.9988819770531709,1.0624236326767906e-07,0.9756993328314447,0.31539952035084406,0.27025598077875335,1
48.0,901.219565503652,99.4103632586574,0.9989999999999999,0.006561249752301025,0.5466008472863111,0.18926211699150253,0.9989999999999999,1
49.0,inf,inf,0.999,0.9989999999999998,0.999,0.9989999999999998,0.999,1
50.0,121.631938759737,30.190745727803442,0.9989999999999999,0.0,0.9918979858778345,0.13270767149087445,0.29886195981315644,1
51.0,inf,inf,0.999,0.0,0.999,0.0963680162288418,0.321896451221842,1
52.0,inf,inf,0.999,0.9989999999999998,0.999,0.9989999999999998,0.999,1
53.0,inf,inf,0.999,0.0109255419203786,0.999,0.8012800652499947,0.4689529960031549,1
54.0,inf,inf,0.999,0.0263634587789081,0.999,0.0294018810549251,0.3327666681154233,1
55.0,126.60523897248873,3.500712357881789,0.9661325527625171,1.5281919250566e-07,0.9659713771396461,0.27929985986976485,0.30145403247462493,1
56.0,664.1775783226893,62.03032666518215,3.0007572796081263e-06,2.348048769219568e-05,3.5209184099011916e-09,0.23472365316509355,0.7665522539499561,1
57.0,inf,inf,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.999,1
58.0,197.01811459489312,41.91614766120311,0.9622374560433048,0.0002886351099526788,0.9620478372436205,0.11340432041738421,0.3406545839357971,1
59.0,-216.43329663012446,-17.955686211210253,0.9613577831512904,8.008879390688341e-14,0.9081820101555786,0.4496168836513166,0.16618022904954544,1
0.0,inf,inf,0.999,0.1623443705787936,0.999,0.1779545378937994,0.999,2
1.0,563.0161501684803,78.19338294771156,0.9989999999999999,0.007114928930330817,0.7564160920709968,0.1425090864196047,0.6430766221888943,2
