,p_id,gof,As,Bs,Af,Bf,Eps
0,0,1658.3542408250642,0.9989999999999999,0.1623443705787936,0.9989999999999999,0.1779545378937994,0.9989999999999999
1,1,640.6030140831588,0.9989999999999999,0.007169043792893287,0.7590620680762044,0.16379571585725072,0.6583606282721302
2,2,132.528127719178,0.9610550657351083,0.0,0.9522243511593734,0.17944363229726057,0.2976421722879049
3,3,827.74432056144,0.999,0.999,0.999,0.999,0.8819767100071814
4,4,471.36720347806516,0.9955410796153172,0.0006557307328629238,0.5305433340254111,0.14657617170537163,0.5049275970982026
5,5,495.5889048930463,0.999,0.07478964924264801,0.999,0.07774138268368075,0.5248782484132213
6,6,-27.378133722973363,0.952047621515514,0.20382472427496112,0.0,0.575181418223053,0.2318377818616664
7,7,-195.52366877801873,0.9938720407709136,0.0,0.9893999133559173,0.32981538215488215,0.17827114129452565
8,8,381.7045874712074,0.9937370246716133,0.4666928510857852,0.533735398040394,0.46669285810027916,0.43932432222003825
9,9,838.1567471424851,0.9989999999999999,0.012851573554464576,0.796941067605583,0.058342256289596425,0.8964453565428594
10,10,252.03828074001333,0.9445625637137578,3.89051324826072e-15,0.7861383238721174,0.5352734230109508,0.35875028099340234
11,11,120.87530359835394,0.9750563048804755,0.10325279209790765,0.07894517879401758,0.2948016220022891,0.29227169889757865
12,12,1752.1363507185335,0.7540662253712518,0.03261576776395991,0.7540579071013965,0.057756371642934276,0.9989999999999999
13,13,850.6500395284635,0.9989999999999999,0.001198888288530201,0.6153060855643033,0.09353968844363858,0.9141151973640993
14,14,506.6088808166759,4.2993192283638054e-05,0.0,0.0,0.6268809998341967,0.5340112184275867
15,15,-142.27880623517686,0.9683613717019552,0.2754572126629861,0.0,0.27545751645110195,0.19373528294120623
16,16,860.6118407720239,0.2720579818049136,0.04363915432996857,0.27196928535216935,0.15939039617937995,0.9284553613968163
17,17,1083.8569834730317,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.9989999999999998,0.999
18,18,253.52004056427893,0.9714391318451947,0.030950227558832144,0.9714257841603494,0.12361345772102035,0.35958150789503096
19,19,-106.43062308605892,0.999,0.230129246997341,0.9989999999998256,0.4017486850585327,0.20489937554729118
20,20,546.3629102840284,0.9989999999999999,0.00022093746151837575,0.9989999999999999,0.005476693955101054,0.5682496480640663
21,21,633.405734018917,0.9989999999999999,0.00015724474772294296,0.9989999999999999,0.0001617972719787791,0.6510332084914938
22,22,612.9815189599921,0.9989999999999999,0.0007550366429669961,0.9855079850216806,0.06158024821958252,0.6305560605197653
23,23,33.256540022070084,0.9860530960665619,0.32230848842488435,0.2223544365162557,0.7809702274379762,0.25487659491887055
24,24,568.0959931116785,0.9924583340546356,0.002018200705116811,0.6108904345501907,0.06534696409198404,0.5878461835998838
25,25,618.5233689784523,0.999,0.007930532734878051,0.31971472799604506,0.2314546650657041,0.6360388763255712
26,26,311.69111432555695,0.9989999999999999,0.009941144957541255,0.9794696027699431,0.041128065311321356,0.3938083424724549
27,27,104.93734562531206,0.9875114850266842,0.025887317617579383,0.9875083408348512,0.16048248768144524,0.2850899975923802
28,28,934.8357962540367,0.999,0.024520046558104868,0.6009152198525818,0.999,0.999
29,29,1203.625603469508,0.9989999999999999,0.1710443688637021,0.8281439503474026,0.49849025077501885,0.9989999999999999
30,30,214.14308027093585,0.7087967053700261,0.19832421604881728,0.7087765941599545,0.21352653752192435,0.33812524605269145
31,31,-114.91484035514645,0.9694057905260351,0.11129668804360134,0.0,0.11129797584616327,0.20219946094691643
32,32,811.3018046529545,0.16483339954097537,0.2563100706967456,0.004385465716170146,0.25631069160780107,0.8596179486891543
33,33,595.2617210678105,0.9989999999999999,0.005511430155250451,0.8283969448463581,0.08695187535450319,0.6133372171112327
34,34,70.95672673579398,0.8712967948957215,0.3814502689431858,0.0,0.6249900280336339,0.27034168824857635
35,35,27.466545892290014,0.940390266797267,0.36435384001754834,0.9403794555719651,0.37145813380633746,0.25279084676573926
36,36,608.0350756940759,0.9989999999999999,0.00902819048451418,0.714285690218452,0.09772460759200528,0.6256998406963701
37,37,722.1478727784712,0.9989999999999999,0.16809701288822643,0.9989999999999999,0.2773445563846306,0.747827375937175
38,38,335.38487389933476,0.9510689627447804,0.179442826660709,0.0,0.8486969987135824,0.4086498626199305
39,39,-65.0760408585506,0.9912412334561587,0.0,0.9810438530077811,0.23870706927553764,0.21857648383629752
40,40,1904.9412833326985,0.5072246379615051,0.009635720012896401,0.5071989502537579,0.30060980559467215,0.9989999999999999
41,41,139.81875188490073,0.999,0.8482322019104522,0.999,0.999,0.30105261409794415
