,p_id,gof,A,B,Eps
0,0,-610.6378738428418,0.7661020102269112,0.5892733902065841,0.09319565339370782
1,1,-297.48206627909946,0.8116917681482372,0.6545992872407569,0.15201804607274833
2,2,-623.3946044772608,0.9968985943933939,0.016376565021607368,0.0913561056609861
3,3,-551.4772869253561,0.9975327293827043,0.023223343898667433,0.10222569114628377
4,4,-637.6911178440745,0.6705012547309382,0.8596804643765681,0.08933824246158187
5,5,-491.0164181104267,0.9242080346904916,0.6366036647222679,0.11234882859781778
6,6,-729.2642910918423,0.9869565743591449,0.05692690882487304,0.07743151096510387
7,7,-693.8133565002516,0.9964933846645333,0.026062547916398584,0.08183512851076513
8,8,-430.59751010508296,0.8896904306771323,0.950436137661114,0.12347026749781775
9,9,-109.8372990316805,0.9964879348402149,0.02065195067072517,0.20379367984396624
10,10,-639.4509433878452,0.9713528884630585,0.09313776518727584,0.08909266142230472
11,11,-649.5251112877841,0.9941393400010734,0.028865586232550755,0.08769680626237653
12,12,-620.5557200814669,0.7627391092250838,0.6316014610608842,0.09176225922576847
13,13,-546.8034801899208,0.778919020865013,0.6301675842970474,0.10297040105713523
14,14,-720.973999517096,0.9927302751520553,0.020629293361330882,0.07843437161242611
15,15,-861.4276238252621,0.996080221490602,0.02659594443957722,0.062984344508908
16,16,-582.1036520900795,0.703248575221316,0.8570068723128239,0.0974448482179503
17,17,-615.578915055252,0.9103534282992114,0.6639070659088937,0.0924782274032268
18,18,-518.6815110132212,0.9975373554894148,0.01286230760422026,0.10759182450783789
19,19,-606.7821709341528,0.9955871698237206,0.03160279107303429,0.0937596340439913
20,20,-315.08003705811905,0.8548338607836262,0.6178290015378358,0.14789517762767274
21,21,-653.0337275146039,0.7115755159934071,0.7372046316101342,0.08722044006024413
22,22,-505.11399819997996,0.9952377205408651,0.026359661527010553,0.1099057634171012
23,23,-522.1053609933815,0.9933038719300654,0.036260110439203755,0.10702538123610553
24,24,-714.9678626707373,0.7086359152393016,0.7673660129530644,0.07917709197554798
25,25,-265.88740960294444,0.7838386171670715,0.8158500675037157,0.15971149100670348
26,26,-507.8208347707159,0.999328875712176,0.011854370644698145,0.10944718324820274
27,27,-649.0193188289209,0.9966152526170999,0.021374909451658736,0.087762053104541
28,28,-491.8199311578071,0.928426921601588,0.6104389859142098,0.11220747247610408
29,29,-417.79989031512497,0.7814966380039949,0.6821103220186039,0.12596501815964578
30,30,-647.4058759089143,0.9892367777419969,0.030966703839003802,0.08798704901753313
31,31,-629.5822456506663,0.9942535849681391,0.02907988331598807,0.09047186367470367
32,32,-633.3206396871369,0.7365763308678132,0.6978037423520991,0.08995057357739891
33,33,-396.90290487549703,0.8074449279673515,0.6104844739207813,0.13014640701115493
34,34,-642.335045518596,0.9841954508678636,0.050653291055412886,0.08868972280151949
35,35,-720.3860474419862,0.9952668805006128,0.027977658616306432,0.07851325716629258
36,36,-237.66471514818934,0.9191974570292445,0.534347539479296,0.16691198143350713
37,37,-279.59502351710415,0.8806993221697861,0.8058918762270509,0.15632697260115092
38,38,-460.36296150186325,0.9925787638229022,0.030649247946730157,0.11784607621244103
39,39,-694.9548340415334,0.9944369374676467,0.027396604510692327,0.0816982317593638
40,40,-680.0662980707441,0.7604878121901189,0.6178555696065964,0.08361529271513647
41,41,-406.33396632381647,0.9003340310632475,0.6948600974232721,0.12824178028538288
42,42,-373.63447638511474,0.9982759242072494,0.013117544586681237,0.1349686321241847
43,43,-601.0593608977521,0.9989995746014176,0.017417829695583885,0.09459960431024064
44,44,-663.9187823216162,0.682447130760666,0.8240389322552311,0.08575049761910783
45,45,-481.19346990095465,0.724614392794406,0.7021492665714564,0.11408547452235611
46,46,-590.1104254444318,0.8861441176547107,0.2970183130812965,0.0962326190098664
47,47,-650.6465296814125,0.9967885934679788,0.018204843209536886,0.0875414907314363
48,48,-178.67384776710767,0.8703415256314144,0.5832667771467821,0.18302807100456278
49,49,-383.78402513131675,0.9524816274146326,0.428383428940575,0.1328416029534095
50,50,-555.5175923334651,0.9978391095966452,0.019648759187085554,0.10158253583358506
51,51,-615.0094245078394,0.9975724531274887,0.02056423504421248,0.09256121426535938
52,52,-351.9082976447849,0.923192143262519,0.5145414791139957,0.13962464907361122
53,53,-444.2335272505352,0.9216423041517945,0.8709669874456594,0.12086829775029617
54,54,-395.86725347238774,0.9986756808607599,0.01384989079592669,0.13035238350270612
55,55,-657.8614413231412,0.9867982117262983,0.05365678809083334,0.08656685539429054
56,56,-679.4812390373082,0.706305759477021,0.7610168971790474,0.0836906821069636
57,57,-578.0152280511378,0.9366029798763174,0.7786435524974754,0.09806906011310704
58,58,-595.3113451695841,0.9957633163281241,0.015859805441277408,0.09545463201767367
59,59,-725.3670006680095,0.996892260161095,0.018208232591554477,0.07789267565450808
