p_id,gof,test gof,A,B,Eps,cv itr
0.0,-532.0417303109226,-78.00093789424972,0.7698603522471159,0.5795695324120115,0.09607112155943916,0
1.0,-261.85514188261334,-35.56044626375097,0.8116088120405544,0.6546235885958085,0.15357898150689991,0
2.0,-549.0334041318574,-74.03128727951236,0.9967858425660348,0.016628340148847606,0.09326769787468064,0
3.0,-487.4979698654732,-63.79541215620269,0.9976288306296025,0.022714499494331956,0.10379400952937547,0
4.0,-567.357573869919,-69.88035888202795,0.6912784433046307,0.8090187227636736,0.09035789287091252,0
5.0,-428.79003567927424,-61.82823956387308,0.9232500867063698,0.6373034202182126,0.11493635141104905,0
6.0,-658.6713952043831,-70.57541958256796,0.9871031226855781,0.05646489900796679,0.07710252099345943,0
7.0,-627.4069066219321,-66.28728570107086,0.9962816911580592,0.026912690694828552,0.0813886024710167,0
8.0,-375.2686161940757,-54.9936323796017,0.8915204480461075,0.927784297262039,0.12613277708644893,0
9.0,-91.07734307939158,-18.57651757217804,0.9963099765618053,0.021385392203749035,0.20661298921612964,0
10.0,-576.8766383217541,-62.48422484468627,0.9738655979213076,0.08522796377830574,0.08887008122764067,0
11.0,-586.6393988805665,-62.44297391730296,0.9947050862722042,0.027191307219567876,0.08740912373291403,0
12.0,-544.9775333978472,-75.21708588906174,0.7629512418451283,0.63229920141245,0.09394077439181703,0
13.0,-484.73047528214585,-61.96781959132701,0.7790741766827696,0.6301124069427042,0.10429764664209734,0
14.0,-645.2605335474483,-75.68628847719273,0.9926775725139331,0.020736812050128103,0.07892980592394926,0
15.0,-783.633023916989,-77.35926390039063,0.9961027236437119,0.02680570214086319,0.062066932776517245,0
16.0,-521.3899167818691,-60.69519034494401,0.7036798683241294,0.8570150424053946,0.09786962085129713,0
17.0,-548.7406726677225,-66.75973290498132,0.9079274058115265,0.6818613469648226,0.09332955461780404,0
18.0,-470.6745351711637,-47.639245100792195,0.9976022602437957,0.012902470961035027,0.10687316900143747,0
19.0,-544.6058544802564,-62.13079902319728,0.995363470976177,0.032650753025163265,0.09398477369506428,0
20.0,-279.04625500995525,-35.94019041943386,0.8564889837177263,0.6157433292591031,0.14906007438976798,0
21.0,-573.6818166141433,-78.97046990142742,0.7112152954534174,0.7371364585777673,0.08937387930496889,0
22.0,-451.422372931166,-53.508207139891304,0.9953949864020593,0.02545966772666663,0.11050618396711309,0
23.0,-480.8945824282578,-40.88223400307423,0.9928365505615948,0.03842832567692307,0.10499456504686548,0
24.0,-654.5057628186611,-60.18428603730419,0.7078494914500508,0.7672942952903525,0.07767584350360679,0
25.0,-239.6762068621564,-26.188537627269604,0.782703631215109,0.8159316322998441,0.1596063683395832,0
26.0,-462.81828638916755,-44.88103070452622,0.9992588136358493,0.012086610206808417,0.1083635245932264,0
27.0,-578.520859494398,-70.37759253201416,0.9967603870368857,0.020846966650425524,0.08864567224559641,0
28.0,-440.51205527695384,-51.286801493192826,0.927946138434393,0.6116315348697008,0.11262244044406974,0
29.0,-365.5816859985112,-51.974562224135404,0.7827957386623842,0.6812721152476129,0.1282683553255789,0
30.0,-581.7870274867552,-65.42038677533307,0.988067048346241,0.033666554677570605,0.08813261198237987,0
31.0,-568.4632968667307,-60.959868558963805,0.9943490140287907,0.028435486871024998,0.09020309603026616,0
32.0,-560.9017666173518,-72.19860959438347,0.7376679882829567,0.6977674694884709,0.09138023369010445,0
33.0,-353.7239536870202,-43.13707482925778,0.8066375800937687,0.6109245123697185,0.13094001282825402,0
34.0,-583.1124190675788,-58.990532108819494,0.982414898879008,0.05535218949278646,0.08793077480189104,0
35.0,-643.8911589243286,-76.2848477103262,0.9951577062030641,0.028691155630747776,0.0791102863117962,0
36.0,-211.1840837904663,-26.457884403290713,0.9197128719098806,0.5335304718292051,0.1677008828630695,0
37.0,-241.92823506639,-37.46178636035647,0.8797093653367642,0.8061303248471978,0.15898500555456846,0
38.0,-408.98687874252425,-51.28187380601228,0.9920469792215649,0.03233984157563201,0.11897248061719687,0
39.0,-616.7941714229962,-78.01762889648695,0.9944158753512374,0.02745238306441434,0.08292364684028583,0
40.0,-597.5515167946016,-82.11506746358454,0.760508930313881,0.6178449312584926,0.0857480608256968,0
41.0,-364.781502798942,-41.54209163532013,0.9007690188123165,0.6945364994951069,0.12844810882413255,0
42.0,-323.3517501255871,-49.93454442722833,0.998355030445654,0.012869281141225476,0.1380144943399466,0
43.0,-544.786153144368,-56.2209672030455,0.999029072778435,0.017221638854008875,0.09398520583808578,0
44.0,-585.8365824439751,-77.82219527396973,0.6823643457102581,0.8239575652886502,0.08750662874997367,0
45.0,-443.0682221193898,-37.875664918744334,0.7232342590045608,0.7024198751394908,0.1121232532167471,0
46.0,-525.1153399770612,-64.88290929524405,0.8782188344635231,0.3185151634246317,0.09723651149109457,0
47.0,-595.5621535544562,-54.84560424219508,0.9968488382513933,0.018103275524700223,0.08605251123258953,0
48.0,-159.49726217711216,-19.173015328261,0.86975717360923,0.5859638651043957,0.18344467297567357,0
49.0,-338.9746224451629,-44.583192486369626,0.9484600902349182,0.4674855257723828,0.1343326204484343,0
50.0,-509.5385134899998,-45.48008173383244,0.9980556902690202,0.019018800020452843,0.09991202922623219,0
51.0,-555.6365152732643,-59.015681559867254,0.997867914364351,0.019390249043903497,0.09222112493026802,0
52.0,-315.1124030383075,-36.748620567070674,0.9195633844276472,0.5367464846268504,0.14001070608230232,0
53.0,-391.6163439795974,-52.48626601698466,0.9218964705908931,0.8707643047045394,0.12259940691291529,0
54.0,-363.883169870109,-31.70903935578535,0.9985153863389447,0.014441348356179865,0.12866658906730732,0
55.0,-601.3203731534059,-56.27996410045259,0.9871597401629484,0.05279499374810865,0.08519629059168675,0
56.0,-595.1769025737401,-83.77226914592393,0.7056053775771323,0.761031674491075,0.08610530145184914,0
57.0,-523.0295905936894,-54.78626382776914,0.93781906657703,0.7803862438514582,0.09759060306064331,0
58.0,-536.0966547677081,-59.21405680893224,0.995750197614699,0.015888520423842402,0.09539507795107036,0
59.0,-646.9326088676763,-78.3036251055982,0.9969084366391067,0.01805859082370289,0.07871341421579547,0
0.0,-538.5890338294564,-71.817151223771,0.766817369331939,0.5877256515467639,0.09499265904519516,1
1.0,-271.06608067635574,-26.366206214733083,0.8124992677060652,0.6552084881810671,0.15114146011012058,1
2.0,-556.8215849464063,-66.4750186648804,0.9969327738623632,0.016380150582224404,0.09204241993031415,1
3.0,-498.1393899502799,-53.31544001120921,0.9975916826309977,0.02289840213287913,0.1019007244198423,1
4.0,-562.364780782199,-75.06909655025831,0.6700933178008979,0.8614257319592442,0.09114922903548721,1
5.0,-500.1406496518532,16.342266270348812,0.9254328673011565,0.6376049984251075,0.10154847855135865,1
6.0,-657.5995882072166,-71.65501681320123,0.9867348819277368,0.057828233200315715,0.07726820347664687,1
7.0,-632.0648072957164,-61.48136967179944,0.9962475272389917,0.02700205751779567,0.08074314616169972,1
8.0,-383.16318831800663,-47.38013605300068,0.8904233094373135,0.9501187223353686,0.12441100380156395,1
9.0,-123.0231540930247,15.59959996085399,0.9970394185647582,0.01813530038097116,0.19546726904767053,1
10.0,-574.4255514260778,-64.54128755725908,0.976803178022245,0.0759764598555394,0.08925804489603842,1
11.0,-572.9460230443192,-76.3006620280712,0.9942760441416333,0.0283262596451251,0.08948984528180773,1
12.0,-543.6662163976267,-76.4676477049906,0.7626552455817812,0.6326257524727062,0.09415232819500195,1
13.0,-492.49952508677023,-54.26828420001029,0.7780394340748606,0.6304070934426129,0.10290226462602556,1
14.0,-653.8329410088592,-66.5260594260513,0.9921682315098637,0.02206233268868097,0.07775680940791563,1
15.0,-772.9621868593196,-88.21545477916212,0.9958593707374803,0.027316388831412186,0.06325137941832143,1
16.0,-518.8981213726447,-63.15274602941696,0.7040715855866013,0.8557137528270031,0.09829283406333866,1
17.0,-623.717963648019,18.316364628334156,0.9099031321285602,0.6656029423163199,0.08194119663883762,1
18.0,-462.5513607303137,-55.923897917954655,0.9975167072327933,0.01305231329649072,0.10842729545805407,1
19.0,-535.9670684223324,-70.54271813076907,0.9953635566775847,0.0323981588592476,0.09539547549403754,1
20.0,-276.4332203109065,-38.51203860184511,0.8562231728398513,0.6160507349047282,0.14973818129507283,1
21.0,-575.8894213699007,-76.85773244000816,0.7121875447259151,0.7372717597486587,0.08903271706125929,1
22.0,-449.35031665465,-55.695840173094545,0.9951403081037251,0.026781494406186365,0.11092522400826323,1
23.0,-461.48179891407744,-60.41381859085533,0.9933214501465812,0.035820495654262756,0.10856393605110408,1
24.0,-629.6281125807122,-84.97413055401312,0.7088029489989353,0.7674339584762764,0.08110167500010468,1
25.0,-263.93559466914763,-0.7449011246006063,0.7841450846096933,0.8157952225303429,0.15302342497297955,1
26.0,-455.9548360926831,-51.77361193316035,0.9994092832366465,0.011659998146113935,0.10962592942982022,1
27.0,-583.8209284491084,-65.18013701074428,0.9966086137649441,0.02147690013198489,0.08782609030243109,1
28.0,-439.52069891756986,-52.280281030152835,0.92849888840541,0.6103225909573264,0.11281488922037741,1
29.0,-365.83945168615895,-51.605318055836854,0.7841439426776791,0.680562129701711,0.1282092368161919,1
