,p_id,gof,A,B,Eps
0,0,1.328273074036835,1.0,0.00013300713391337614,0.9133231035745304
1,1,0.6245568950977478,0.9985423458076901,0.006182965532517819,0.4518514260838321
2,2,0.030975405031692726,0.9927725284439666,0.02481166561657131,0.2495999787172224
3,3,0.1799649233841861,0.9963801459222772,0.02384192964634835,0.289697580599879
4,4,0.6382031706615723,0.9912449616031589,0.003978478878582017,0.4580850424507845
5,5,0.5596773257749752,0.988101568256752,0.07341169253554969,0.42345534894581927
6,6,-0.21229574938471735,0.9875302574346596,0.05067549730521717,0.195699349391373
7,7,-0.3651543598018288,0.9978886162531835,0.03149269902653279,0.1679501501563198
8,8,0.42961100739139707,0.8562663713145966,0.8542822674050932,0.3718270828677951
9,9,1.022713992167988,0.99842959948397,0.00536565158813276,0.6728598988168955
10,10,0.23700837698521016,0.9866713788796146,0.028968660633002283,0.30666959667970944
11,11,0.005303432894307832,0.9893887213350003,0.037447062185666916,0.24324812378591057
12,12,1.3980232731618394,0.12837664774265378,0.0,0.9793019434113663
13,13,0.9292017152826069,1.0,0.0010831616767179057,0.6127800053641588
14,14,0.5922097715196982,0.9798215228756135,0.010322054841708235,0.43747158419249743
15,15,-0.3780329900342572,0.9935791677624883,0.04304451189227483,0.1658195015464508
16,16,1.05668008247489,0.9854509780106859,0.0024454602699541805,0.6960925012484283
17,17,0.4125527194004217,0.986141947762474,0.11180065403416327,0.3655309735252066
18,18,0.14244224654883655,0.9958541460983563,0.01684892396221272,0.27899040625346083
19,19,-0.35027375755787954,0.9915049526284849,0.06510755810472785,0.17046521965922926
20,20,0.6410994358262111,0.9984294396089981,0.004994967676198742,0.4594145410782829
21,21,0.5777724625234449,1.0,0.00019919621439576786,0.43118729139919776
22,22,0.800406536405248,0.9883785581581765,0.026581773581479375,0.5387291766201805
23,23,-0.18923078602218316,0.9626651951957863,0.19487984309645828,0.2002534684465965
24,24,0.6526821841252578,0.9960316187968725,0.001966254045886788,0.46472588231153117
25,25,0.6387761612399804,0.9970624931161247,0.0075824593272205126,0.45833436308381664
26,26,0.36072558518423176,0.9888439608831389,0.039651590799614216,0.3470540123958421
27,27,-0.12032945604377478,0.994510636572072,0.029552470121758566,0.21454342804964843
28,28,1.2539355107385313,0.9955775690590686,0.012051008258760567,0.8479043302594029
29,29,1.1391558900142167,0.9983165968051079,0.001520445397190423,0.7559526940818548
30,30,0.2094780597982374,0.9780381975162534,0.03016812868974598,0.2983520958239591
31,31,-0.1289229828786878,0.9977000038122594,0.014287195241994993,0.212721449422811
32,32,0.7793256565740155,0.9985159555428387,0.0012275927062639657,0.5275212518382493
33,33,0.6496705338241312,0.9969584819523079,0.007260072293761199,0.46334947300640006
34,34,-0.027928494518285222,0.9908077932549303,0.029165396616169733,0.2353144229562201
35,35,-0.15853223446305253,0.9930492261893524,0.03743610243575283,0.20650465433697998
36,36,0.7750482306922357,0.9981570269340116,0.007985455139720217,0.5252633730752803
37,37,0.932462574810313,0.9861444547607046,0.04695276630671576,0.6147953076574815
38,38,0.3824255932857945,0.9962084637429507,0.013971110261364293,0.3546825467737236
39,39,-0.25588395592399477,0.9960412960939595,0.029234303860074744,0.18734153402321407
40,40,1.236411893159113,0.4783529145721166,0.0,0.8331624427008353
41,41,-0.019456256045946828,0.9808631027146737,0.1485212639245738,0.23730737633979898
42,42,0.7300698849100432,0.98429137468598,0.022180119122430494,0.5021256214705692
43,43,-0.14364361562083733,0.9844475428157917,0.09765710802474642,0.20959101586300954
44,44,0.817873461932128,1.0,0.0002594639899836537,0.5482041911980713
45,45,1.277735846748862,1.0,0.0005215763450125496,0.868331569154946
46,46,0.7349755384600414,0.9876602397035288,0.010044875173387504,0.5046220773103804
47,47,-0.08487844264985783,0.9952915776150117,0.031480610660058014,0.22229898591465383
48,48,1.146193126920943,0.9995405721906925,0.0024331440357728603,0.7612652613650804
49,49,0.6009850524984378,0.9923451099684285,0.04520166679934297,0.44135585961973944
50,50,0.11637740724285983,0.9959283367503805,0.02475437219053115,0.27184187938799076
51,51,0.09151776008707367,0.9943954570773882,0.03434308479822233,0.2651607984566904
52,52,0.7407163946069134,0.9435357564121802,0.23428754713216074,0.5075175714101441
53,53,0.5197939926901419,0.8847651956433207,0.7944751037231594,0.40691782809944443
54,54,0.06988617147435577,0.9902662003350671,0.040438180875137585,0.2594990326567304
55,55,-0.005189423598879437,0.9918470948803053,0.03620202609760319,0.24071555435736497
56,56,0.832812351794304,1.0,0.00044963756804600603,0.556474583450484
57,57,0.6770070183113961,0.9880919440214471,0.07934135804754874,0.4761969622909604
58,58,0.24126515878207577,0.9939934388351879,0.01699613226884139,0.3079780186795939
59,59,-0.35512475302427116,0.9967740957327187,0.021940371179144446,0.1696452548433471
