,p_id,gof,As,Bs,Af,Bf,Eps
0,0,1.3323275940276433,0.2604037305257399,0.0,0.0,0.0,0.9170338135609628
1,1,0.9354082182561776,0.8123480723857185,0.27964316525031074,0.0,0.3506131896398531,0.6166004269973504
2,2,0.24446704051313325,0.8062014699805884,1.7947143539428741e-13,0.6269766378238277,1.0,0.30898224223235043
3,3,0.5727103256414182,1.0,0.5123638011423014,0.753988152694687,1.0,0.4290240944003839
4,4,0.6742209878889374,0.4832242892654508,0.038115218316566495,0.0,0.3121882860763483,0.4748690854280426
5,5,0.621722541155093,0.9894317206660437,1.4152408224095962e-05,0.9807369984210772,0.1104821792688959,0.4505820644259695
6,6,-0.025835543688007497,0.8339006588294449,0.0,0.7171548146328671,1.0,0.23579817069162534
7,7,0.10443662030610477,0.8688333319838526,0.07423575340701848,0.8688333218498001,1.0,0.26860698432559516
8,8,0.432254145518141,0.9940154091402342,0.008723247817724827,0.8166943494462825,0.8810246087944724,0.37280602604347535
9,9,1.0573796600922885,0.9985924823636518,0.00453916750067049,0.061808143921053944,0.3713118863943151,0.6965895109716966
10,10,0.31682611867301286,0.5835584876020978,1.3856346970098295e-14,0.484342848990539,1.0,0.332168660936627
11,11,0.16089296709582765,0.8141098950694572,0.0,0.6682722584018949,1.0,0.2842089863985752
12,12,1.3980232731618394,0.403031387228159,0.0,0.08184618517484915,6.260203130823206e-17,0.9793019434969441
13,13,1.060288624542036,0.9991222835237186,0.0006366565373999509,0.0,0.17089966145616664,0.6986138560681411
14,14,0.606847015849046,0.00017597617255423362,5.062999577645569e-05,0.0,0.4688462013052432,0.44395392338982265
15,15,0.05634088978830431,1.0,0.0,0.7954980377985456,1.0,0.2560236828164533
16,16,1.0663351591163976,0.00012463521323878644,0.0,1.6002122079529198e-05,0.13690288627933436,0.7028452909844343
17,17,0.46371300174220703,0.9866759466886728,0.09557302543943004,0.49967348056916827,0.3809541128630757,0.3847261740993575
18,18,0.41366815965335585,1.0,0.0,0.6175700670837443,1.0,0.36592050007743065
19,19,-0.11716082043780572,1.0,0.0,0.8389326667970776,1.0,0.21518856846237866
20,20,0.7937192561690426,0.9981552728215911,0.004235189918622673,0.0,0.4155909698943102,0.5351440244845482
21,21,0.5982215593309961,1.0,0.0,1.0,0.00013389566062420007,0.4401132289734012
22,22,0.8463461763014434,1.0,0.0,0.4676016211806578,1.0,0.5640927238325202
23,23,0.1675123716713842,1.0,0.3035344357735117,0.7934568848966796,1.0,0.286099169521995
24,24,0.7373933369907583,0.5118245585294281,1.3931415256563934e-13,0.3050075287516144,0.2188744674529433,0.505834772309699
25,25,0.7527691199176977,0.9978623076990476,0.004075435618221924,0.0,0.755650545814998,0.5136780290530683
26,26,0.4650952743408834,0.8454603996368345,1.146878221899997e-14,0.6651215117428667,1.0,0.38525753280795066
27,27,0.16622150289491783,0.820230446327538,1.5863235405776218e-13,0.8081154009586755,0.7590775818733051,0.2857274096515596
28,28,1.273598457428399,0.9952021333554429,0.010530740004025457,0.019120869830199554,0.438885422968439,0.8647280723965869
29,29,1.1639678637617807,0.9989140496483099,0.0008110290244632822,0.0,0.17793881650735555,0.7749396679116463
30,30,0.26264008760781754,0.982454683868466,0.0,0.4360137635227664,0.7153099155624612,0.3146487174459114
31,31,0.333710863534527,1.0,0.0,0.6837045445915569,1.0,0.33779284456199626
32,32,0.8710369875192646,0.00023046791264566123,0.0,0.0,0.3043651994339152,0.5781393785906925
33,33,0.8294643800736345,0.9956668351032276,0.0014292310981618163,0.562558534779137,0.5821340952259693,0.5544781211768584
34,34,0.13373546127283145,0.7750105419106589,0.0,0.7073546974482289,0.7788285383884485,0.27659440864840873
35,35,0.30024660340136405,1.0,0.4672216094677315,0.7660100135607506,1.0,0.326710671452593
36,36,0.8215254659430687,0.9986079148599131,0.006186016396682775,0.673264171522485,0.2216887514066879,0.5502308757298688
37,37,0.9300218071653014,0.9969495497308928,0.008348218066256236,0.6760583378083087,0.48345128699043644,0.613288202557851
38,38,0.5611628237144056,0.8027755777708963,0.0,0.6700402091100126,0.7700177617229578,0.4241043653194376
39,39,0.30987447118037026,1.0,0.480498762317358,0.7959591659043792,1.0,0.32986436569470917
40,40,1.236411893159113,0.0913617828343542,0.0,0.0,0.0,0.8331624527026797
41,41,0.169521604235938,0.9679384736111533,0.21834344833873137,0.14925887986026032,0.34290155066537553,0.2866721914608329
42,42,0.7573777483094756,0.8176502521787122,0.0,0.45584735157753015,0.6863714055673251,0.5160452724608364
43,43,0.03161338981599893,0.8428332238304284,2.341126832012314e-13,0.8171735504007008,1.0,0.24974244698288323
44,44,0.8383908469069916,5.7303296943330984e-05,0.0,0.0,0.0747201125998777,0.5595851976418927
45,45,1.3043991475218104,0.000297562097615552,1.8263626715697125e-05,0.0,0.15868963494322702,0.8917445079067299
46,46,0.7684259702635523,0.8532916781280397,0.0,0.2752540951977799,0.49670563768320886,0.5217782643871905
47,47,0.14900605993513397,0.8101098163844036,1.625056448678787e-12,0.7948534172697076,1.0,0.28085056149359733
48,48,1.1914812609419556,0.9991887303991217,0.002497806099805812,0.17762392919832684,0.02725489115613407,0.7965565925431972
49,49,0.6470959591999947,0.9962345345589929,0.019905130187852966,0.46129286506774564,0.735960049690058,0.4621620584119288
50,50,0.3448702368667038,1.0,0.0,0.7524108708668692,1.0,0.3416276449432205
51,51,0.3023544492980063,0.7663164345678632,0.04010652851719273,0.7662781656330424,1.0,0.32739518402548595
52,52,0.7446583033852051,0.9974963497264142,0.003910129385297496,0.8988675136223284,0.3298780784287828,0.5095210125418895
53,53,0.5551520903615005,0.9961764605031369,0.00045672630288599283,0.8622104498246819,0.9224811946115219,0.42165215305140114
54,54,0.1828010655959676,0.9365364907116311,3.58443805745276e-16,0.7684529421067818,0.820825873858025,0.2905041342556781
55,55,0.1650697532092347,0.9835186514671888,0.0,0.7255563450572409,1.0,0.285398516447703
56,56,0.8789098277673136,2.799516290456011e-07,0.0,5.056118672116951e-09,0.14149495868544415,0.582717120280208
57,57,0.6954525568473172,0.9969103843075559,0.020258351962061508,0.9018946453559633,0.16905040894593293,0.48505208140977585
58,58,0.39887765903533234,0.7692626850672315,1.989094801778247e-14,0.535126321766992,1.0,0.36057299098530604
59,59,0.3289159901871517,1.0,0.46462705232639895,0.7658835203838594,1.0,0.33620264745780976
