p_id,gof,test gof,A,B,Eps,cv itr
0.0,-388.1012108032152,18.025985910180367,0.6817079478786419,0.8023380698512848,0.1310665079935509,0
1.0,-100.68515844567165,36.12382109832615,0.7218536658098464,0.9610696550191413,0.20638703407782444,0
2.0,-147.74530181305119,-14.125009875651802,0.6919446945687416,0.9458783339489991,0.19159841511689607,0
3.0,-182.8163434542451,-22.458229070380643,0.8075118739843095,0.9642301525974268,0.18127666019206623,0
4.0,-270.49479593536614,-39.568866569147254,0.6489189227505425,0.9057144156190536,0.15782742196142174,0
5.0,-394.2405631833199,-57.0961433669191,0.8982010622419488,0.8374300865242813,0.1297969830502811,0
6.0,-321.98293022236464,-36.701981809515516,0.8182993965027663,0.6872299591492657,0.1454973178384671,0
7.0,-181.15466890386944,-11.067025703704134,0.7919324829651957,0.948641478209052,0.18174940721182306,0
8.0,-354.7155375319172,-51.72454113765604,0.8878290346431867,0.9376991763543321,0.13816400961202807,0
9.0,-75.84407032367243,-12.677337191612882,0.8165028548953295,0.7942387239731499,0.214649292488126,0
10.0,-193.9757729590395,-22.444735028515833,0.714599847229035,0.8672452444056186,0.17810519024799093,0
11.0,-258.2532277039042,-34.41901404207115,0.7431862034227363,0.9306790869536083,0.16090919502260342,0
12.0,-236.19317952886195,-43.28122249019045,0.7032548378290442,0.7868503563007183,0.1666150599788021,0
13.0,-216.45542477674138,-22.632317540362152,0.7225660783451155,0.7855478706978463,0.17188980344709426,0
14.0,-249.49811300724264,-37.30141682158122,0.6050687495869196,0.8669382578437679,0.16315203585548557,0
15.0,-409.1338412347941,-57.221729603450655,0.7785630246409176,0.9689880322855079,0.12677848436859118,0
16.0,-238.49771940826213,21.21769219087441,0.7213023831777832,0.8049677077403883,0.16600785813154595,0
17.0,-453.92700441352355,-68.56429168519134,0.8712616949680059,0.9252159563742175,0.11812255512385748,0
18.0,-112.42824553206707,-18.22859678035671,0.656475579147425,0.905333783101349,0.20259235866203465,0
19.0,-243.14018605994883,-34.93081251567746,0.7958436005546358,0.9640988052565007,0.16479780618892137,0
20.0,-188.5077754783963,-18.90917247186553,0.7912300535346141,0.8828094526002663,0.1796469275527585,0
21.0,-388.6026114959182,-57.23473486258122,0.6807097959287218,0.8066185817561593,0.13096049481612215,0
22.0,-232.16307804206517,-23.81134301204309,0.7628158568510688,0.8998038548713245,0.16767932813074587,0
23.0,-350.94558446760277,-51.21388793654525,0.7588073008593,0.9701288503084955,0.13898991938853777,0
24.0,-275.22772451182,-45.17243771215853,0.6910179295592942,0.8085937806526615,0.15664939082552815,0
25.0,-160.44041059972335,-24.314230434476958,0.7625153003150656,0.8790558434124428,0.18779911650790135,0
26.0,-174.0676685225179,-6.852203041283157,0.7496010400873976,0.9427757635310965,0.18379401772088436,0
27.0,-222.24223115640928,36.582428381269786,0.7845785586697285,0.8341285763406128,0.1703278008928867,0
28.0,-358.95527219155247,-50.34881969178365,0.8894207488029906,0.9137049205559085,0.13723928602498958,0
29.0,-312.0600220001341,-43.95863898677862,0.7310504851507442,0.8230581600060602,0.1477908765907835,0
30.0,-277.90463265070383,27.712778299490594,0.6304134081975125,0.8930482182767852,0.1559917020307029,0
31.0,-224.74865068158013,-40.399351994263284,0.7463251115087055,0.9266139689819024,0.16965408298720625,0
32.0,-199.46576515669892,-34.314847135225314,0.6948282987283877,0.8009162034599089,0.17656862026755876,0
33.0,-136.59038732130526,-15.24120126198134,0.7433882720191257,0.8056667630778792,0.19500737210142777,0
34.0,-170.72306784486628,-35.81538235971501,0.690039027297505,0.8655100331650203,0.184772903536348,0
35.0,-325.3900534910734,-34.35070068890673,0.8320323101176123,0.6891987949730252,0.14471530030380053,0
36.0,-190.4999671471107,-27.25399574368314,0.895572049817194,0.6755603829192172,0.17908952167707862,0
37.0,-231.79068996893093,-31.064659560845783,0.8654177376345253,0.8893858570674488,0.16777708173064088,0
38.0,-179.64466726996167,-16.136160037004817,0.6970175138621755,0.9906661154613414,0.18218209931607054,0
39.0,-203.62726318087223,-20.28549229546014,0.7292303121645431,0.9537138289777971,0.1754109918279,0
40.0,-495.89724416384945,-72.8652969336241,0.6866769609641762,0.8022714954743388,0.11054214647629962,0
