,p_id,gof,As,Bs,Af,Bf,Eps
0,0,1766.1259375083887,1.0,0.0031204938758835656,1.0,0.32532245352531236,1.0
1,1,712.5764095802208,1.0,0.005429731370814997,0.7564822952232721,0.19377795664016859,0.6658090608746752
2,2,153.4628323139923,0.9933658660369862,0.029418195247885748,0.44640807843237457,0.12924944524082044,0.30090751661826803
3,3,1046.4525297206073,1.0,1.0,1.0,1.0,1.0
4,4,529.8507824776159,0.7243776235562341,0.025058224080665964,0.7243640157652983,0.087772693700859,0.5136027011769166
5,5,528.0818915060981,0.9961652232589358,0.007258073069110036,0.9961645603132836,0.3309021446236891,0.5123115826170761
6,6,-22.880389481099563,0.9916768530724814,0.04063928164705193,0.8356908642049448,0.11845775115177631,0.2342317553819228
7,7,0.6006309599676469,1.0,0.052027956985555956,0.9443067222702373,0.09036723525665893,0.24217609861336814
8,8,405.2327338050062,1.0,0.038431439427141306,0.9785421638954153,0.9375339898506223,0.4302789697862377
9,9,911.0450963422585,1.0,0.012124078873187961,0.8195494505617289,0.2568579440397004,0.8826390829318566
10,10,289.7724630744804,0.9788487650064913,0.05366770657538132,0.0,0.14014991184960024,0.3651880986741245
11,11,137.0065346734384,0.9892307478176565,0.050806132799295904,0.0,0.1346978408079358,0.2939553606535631
12,12,1830.7207550012747,5.528166558747642e-13,0.06753540632031702,0.0,0.2953373736553394,1.0
13,13,919.8874380978589,1.0,0.0008603683362162179,0.7432656067668154,0.07219542509414076,0.8937929413016179
14,14,552.0384729023122,0.9340569503297869,0.03130557330638342,0.0,0.16060958005101678,0.5300488044740194
15,15,39.478971548428966,0.9917274196154229,0.08070225690379931,0.6970352979929476,0.17095067057996202,0.25592734049955845
16,16,945.4972542032405,0.20502652500318716,0.0,0.003500977528221554,0.27535723615267177,0.9269064118195242
17,17,1811.5772370310756,1.0,1.0,1.0,1.0,1.0
18,18,322.79540071626764,0.9970685018352539,0.023164197589163445,0.6574796184054233,0.09875911020635858,0.38273107430558434
19,19,-61.35728616082868,1.0,0.11240792691517598,0.686728154314138,0.22383674367733977,0.22177614560389913
20,20,634.6842836174379,1.0,0.004229563677364564,0.4237697226519765,0.24284444929451962,0.596070042827986
21,21,672.1798429091486,1.0,0.0001273571891912064,0.0,0.03421134468324044,0.6286729080461547
22,22,655.2099760491784,1.0,0.004328314444431951,0.9594490056277996,0.11249602215908144,0.6137182383222857
23,23,46.16277942805895,0.9785339125687156,0.07439029695575813,0.9785310511812675,0.41415166050821073,0.2583690686584345
24,24,632.262681217876,1.0,0.0,0.9935702783266399,0.003155089210192482,0.594052430535021
