,p_id,gof,A,B,Eps
0,0,1.3323275940276433,0.2604037305257399,0.0,0.9170338135609628
1,1,0.9359756899375365,0.8094225475540153,0.3506131896398531,0.6169541514171022
2,2,0.24438249791307792,0.6419608927098431,0.9578880815217254,0.3089563564808768
3,3,0.4308414711110123,0.7539881526947043,0.9998999999999936,0.37228580810726386
4,4,0.6742306191331392,0.19110443476045363,0.31218822211910113,0.47487295624213066
5,5,0.6217225378689549,0.9807369984210772,0.11048217926889597,0.4505723680345616
6,6,-0.02585591506575186,0.7213031498812702,0.9844880060482231,0.23579397337329167
7,7,0.10502059483938253,0.8688333218498001,0.9998999999999998,0.26876274790912447
8,8,0.4332811621167801,0.851698972263962,0.879258375825023,0.3731945159853698
9,9,1.0803305478652925,0.9976654636527107,0.0061612623077507474,0.7127707724572138
10,10,0.3153265922345119,0.5659707066013363,0.8317988561010742,0.3316708185682967
11,11,0.1600512386107324,0.7019692057642368,0.8919713019717824,0.2839705675369448
12,12,1.3980232731618396,0.20098150817701904,0.0,0.9793019404443624
13,13,1.07039740551033,0.9971091550493654,0.001522993438191635,0.705693344567354
14,14,0.6068473200483008,0.0001,0.46884620130524324,0.4439273997294143
15,15,0.056341834532915774,0.7954980377985456,0.9998999999999989,0.2559991563476165
16,16,1.0663351637784642,0.0001,0.13689185057785153,0.7028565173962098
17,17,0.4693095780186095,0.979261088260637,0.1580040893254278,0.38688203251356634
18,18,0.4136684605021386,0.6175700670837804,0.999899999999994,0.36594215734332614
19,19,-0.11715686742185273,0.8389326667970776,0.9998999999999998,0.2152204833241642
20,20,0.8361170020245624,0.9972467153946036,0.005937307576531986,0.5583323586671168
21,21,0.5982214971650452,1.0,0.0001338956606242191,0.44008189833038835
22,22,0.8463470252473276,0.46760162118065784,0.9998999999999998,0.564062487662953
23,23,-0.06964079943188617,0.7934568848967636,0.9999,0.22569182577121605
24,24,0.7373933369924948,0.3050240227453416,0.2188695485711052,0.5058343420282222
25,25,0.7983295061745195,0.7297376750252215,0.4619570606171223,0.5376174610153901
26,26,0.4645551517068591,0.698555315250561,0.8924597853642975,0.3850502607583719
27,27,0.16622150290732174,0.8081167344039833,0.7590775818474719,0.28572801945651094
28,28,1.2817544917834445,0.9928873629089123,0.016937037575835485,0.8718432011208244
29,29,1.1709880495566458,0.9965363681356536,0.001956591942510722,0.7803962050335731
30,30,0.2626400876097597,0.43601376352276644,0.7153084001455436,0.3146484983582956
31,31,0.3337033112341276,0.6837045445915569,0.9934831115831273,0.3378227642785891
32,32,0.8710370817975789,0.0001,0.30436519943391527,0.5781684321449163
33,33,0.8307758092815444,0.6252337532273329,0.5820761684532887,0.5553470027416998
34,34,0.13373546128693234,0.707355946365977,0.7788227623440191,0.27659526969889514
35,35,0.06293773894475874,0.766010013560751,0.9998999999999998,0.2576908990809097
36,36,0.877742139214229,0.9965611009364981,0.010995217103812826,0.5820548376487245
37,37,0.9451998986617667,0.8768974517554704,0.3906692712286095,0.6226689179402285
38,38,0.5611628237258873,0.6700402091100126,0.7700174925076492,0.42410292948079725
39,39,0.12103626077926025,0.7959591659043792,0.9998999999999998,0.27310956247110246
40,40,1.236411893159113,0.09136178283435425,0.0,0.8331624527026797
41,41,0.17826055850922787,0.9697210718046827,0.2170069348836704,0.2891887782692716
42,42,0.7573777483132907,0.4558490684241634,0.6863661498385383,0.5160457610314293
43,43,0.03132526460997396,0.8279794955341708,0.9371708704578394,0.24967159447919007
44,44,0.8383908541102424,0.0001,0.07472011259987775,0.5595913139778024
45,45,1.304399226239478,0.0001,0.15868384247895764,0.8917857133447674
46,46,0.7684259702680053,0.2752543148453395,0.49670563760377917,0.521777164316868
47,47,0.14856164217558995,0.8113589425758863,0.9146033601664533,0.2807257235747134
48,48,1.1917889839826066,0.9990810344618049,0.002597688053099472,0.7967814405662759
49,49,0.6710443114852043,0.979330152464216,0.10831540719305872,0.47336089518197605
50,50,0.34487094771250837,0.7524108708668692,0.9998999999999998,0.3416147562023407
51,51,0.3024265057878817,0.7747468246389282,0.9999,0.32741928471455
52,52,0.7464150767797842,0.923382658028279,0.3150839120832867,0.5104191902184778
53,53,0.5551650686719412,0.8622104498246957,0.9222765503584329,0.4215681077485992
54,54,0.18280106559632356,0.7684531873992653,0.820825873858025,0.29050402227743694
55,55,0.16453545394605246,0.7515855799989051,0.9004789364409009,0.28524608709631816
56,56,0.8789098288660064,0.0001,0.14144604666796057,0.5827325216963959
57,57,0.7127129601464725,0.9816652331726821,0.11522143405463187,0.49350551537725346
58,58,0.397794574853835,0.5942813101972453,0.8624182516469884,0.3601819781430256
59,59,0.09614837885116222,0.7658835203838594,0.9998999999916709,0.266392056212725
